case,geometry,noise,model,arm,parameter,true,estimated,absolute_error
905101_00,rich,0.0,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.452257483023025,0.0326946270381112
905101_00,rich,0.0,seed_29/repaired,encoder,rho_fast,-0.2232606221005313,-0.0461795751110131,0.1770810469895181
905101_00,rich,0.0,seed_29/repaired,encoder,v0_fast,0.0893864723699807,0.0755037054737301,0.0138827668962506
905101_00,rich,0.0,seed_29/repaired,refined,kappa_slow,0.4515711432074293,0.4375984144176581,0.0139727287897711
905101_00,rich,0.0,seed_29/repaired,refined,theta_slow,0.0318710771089639,0.038216390438818,0.0063453133298541
905101_00,rich,0.0,seed_29/repaired,refined,sigma_slow,0.036660762881715,0.0488971474609477,0.0122363845792327
905101_00,rich,0.0,seed_29/repaired,refined,rho_slow,-0.3905875624875868,-0.2357578430703104,0.1548297194172764
905101_00,rich,0.0,seed_29/repaired,refined,v0_slow,0.0520946267116691,0.058589759673942,0.0064951329622729
905101_00,rich,0.0,seed_29/repaired,refined,kappa_fast,8.066470891631734,8.003959652309382,0.0625112393223528
905101_00,rich,0.0,seed_29/repaired,refined,theta_fast,0.0781259932795358,0.0714710790233794,0.0066549142561564
905101_00,rich,0.0,seed_29/repaired,refined,sigma_fast,0.4195628559849137,0.4287360373232631,0.0091731813383494
905101_00,rich,0.0,seed_29/repaired,refined,rho_fast,-0.2232606221005313,-0.2358249444745284,0.0125643223739971
905101_00,rich,0.0,seed_29/repaired,refined,v0_fast,0.0893864723699807,0.0828699167561724,0.0065165556138083
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_slow,0.4515711432074293,0.4573165714673568,0.0057454282599275
905101_00,rich,0.0,seed_43/repaired,encoder,theta_slow,0.0318710771089639,0.0566667294892497,0.0247956523802858
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_slow,0.036660762881715,0.1100512106313939,0.0733904477496789
905101_00,rich,0.0,seed_43/repaired,encoder,rho_slow,-0.3905875624875868,-0.3714914030668222,0.0190961594207645
905101_00,rich,0.0,seed_43/repaired,encoder,v0_slow,0.0520946267116691,0.0667801919131372,0.0146855652014681
905101_00,rich,0.0,seed_43/repaired,encoder,kappa_fast,8.066470891631734,6.921040131245591,1.1454307603861436
905101_00,rich,0.0,seed_43/repaired,encoder,theta_fast,0.0781259932795358,0.0558920003976853,0.0222339928818504
905101_00,rich,0.0,seed_43/repaired,encoder,sigma_fast,0.4195628559849137,0.4429334317361645,0.0233705757512508
905101_00,rich,0.0,seed_43/repaired,encoder,rho_fast,-0.2232606221005313,-0.0435796694373961,0.1796809526631352
905101_00,rich,0.0,seed_43/repaired,encoder,v0_fast,0.0893864723699807,0.071357837688705,0.0180286346812756
905101_00,rich,0.0,seed_43/repaired,refined,kappa_slow,0.4515711432074293,0.4349509635412082,0.016620179666221
905101_00,rich,0.0,seed_43/repaired,refined,theta_slow,0.0318710771089639,0.0385471617321252,0.0066760846231612
905101_00,rich,0.0,seed_43/repaired,refined,sigma_slow,0.036660762881715,0.0491567653813917,0.0124960024996767
905101_00,rich,0.0,seed_43/repaired,refined,rho_slow,-0.3905875624875868,-0.2301172124597755,0.1604703500278113
905101_00,rich,0.0,seed_43/repaired,refined,v0_slow,0.0520946267116691,0.058996056298329,0.0069014295866599
905101_00,rich,0.0,seed_43/repaired,refined,kappa_fast,8.066470891631734,7.992627705855121,0.0738431857766137
905101_00,rich,0.0,seed_43/repaired,refined,theta_fast,0.0781259932795358,0.0710609954662233,0.0070649978133125
905101_00,rich,0.0,seed_43/repaired,refined,sigma_fast,0.4195628559849137,0.4290965882571705,0.0095337322722568
905101_00,rich,0.0,seed_43/repaired,refined,rho_fast,-0.2232606221005313,-0.2366984056325248,0.0134377835319934
905101_00,rich,0.0,seed_43/repaired,refined,v0_fast,0.0893864723699807,0.0824603349766508,0.0069261373933298
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_slow,0.4515711432074293,0.4515711432074366,7.271960811294775e-15
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_slow,0.0318710771089639,0.0318710771089435,2.0337898032352086e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_slow,0.036660762881715,0.0366607628816771,3.781697177629439e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,rho_slow,-0.3905875624875868,-0.3905875624880321,4.4531045517715034e-13
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,v0_slow,0.0520946267116691,0.0520946267116497,1.9317880628477724e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,kappa_fast,8.066470891631734,8.06647089163308,1.3447021274259896e-12
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,theta_fast,0.0781259932795358,0.0781259932795557,1.9886869928598117e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,sigma_fast,0.4195628559849137,0.4195628559849265,1.27675647831893e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,rho_fast,-0.2232606221005313,-0.2232606221004981,3.316791286067655e-14
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,v0_fast,0.0893864723699807,0.0893864723700008,2.0067281170099704e-14
905101_00,rich,0.01,unified_v6/unified,encoder,kappa_slow,0.4515711432074293,0.4668238384159203,0.0152526952084909
905101_00,rich,0.01,unified_v6/unified,encoder,theta_slow,0.0318710771089639,0.0585957903343017,0.0267247132253378
905101_00,rich,0.01,unified_v6/unified,encoder,sigma_slow,0.036660762881715,0.1143250863999355,0.0776643235182205
905101_00,rich,0.01,unified_v6/unified,encoder,rho_slow,-0.3905875624875868,-0.3496552935015476,0.0409322689860392
905101_00,rich,0.01,unified_v6/unified,encoder,v0_slow,0.0520946267116691,0.0672839994423561,0.015189372730687
905101_00,rich,0.01,unified_v6/unified,encoder,kappa_fast,8.066470891631734,7.232688539702999,0.8337823519287353
905101_00,rich,0.01,unified_v6/unified,encoder,theta_fast,0.0781259932795358,0.0597023251231851,0.0184236681563507
905101_00,rich,0.01,unified_v6/unified,encoder,sigma_fast,0.4195628559849137,0.4606563044250315,0.0410934484401178
905101_00,rich,0.01,unified_v6/unified,encoder,rho_fast,-0.2232606221005313,0.0025291751782745,0.2257897972788058
905101_00,rich,0.01,unified_v6/unified,encoder,v0_fast,0.0893864723699807,0.0703617038110367,0.019024768558944
905101_00,rich,0.01,unified_v6/unified,refined,kappa_slow,0.4515711432074293,0.4824161868165801,0.0308450436091508
905101_00,rich,0.01,unified_v6/unified,refined,theta_slow,0.0318710771089639,0.0515394876675986,0.0196684105586347
905101_00,rich,0.01,unified_v6/unified,refined,sigma_slow,0.036660762881715,0.0901695204254408,0.0535087575437258
905101_00,rich,0.01,unified_v6/unified,refined,rho_slow,-0.3905875624875868,-0.249882870362202,0.1407046921253847
905101_00,rich,0.01,unified_v6/unified,refined,v0_slow,0.0520946267116691,0.0720613163522115,0.0199666896405424
905101_00,rich,0.01,unified_v6/unified,refined,kappa_fast,8.066470891631734,12.248799921311347,4.1823290296796145
905101_00,rich,0.01,unified_v6/unified,refined,theta_fast,0.0781259932795358,0.0588394930023565,0.0192865002771793
905101_00,rich,0.01,unified_v6/unified,refined,sigma_fast,0.4195628559849137,0.4551344463723357,0.035571590387422
905101_00,rich,0.01,unified_v6/unified,refined,rho_fast,-0.2232606221005313,-0.1658938249707264,0.0573667971298049
905101_00,rich,0.01,unified_v6/unified,refined,v0_fast,0.0893864723699807,0.068148348671842,0.0212381236981387
905101_00,rich,0.01,seed_17/repaired,encoder,kappa_slow,0.4515711432074293,0.4528088476325078,0.0012377044250784
905101_00,rich,0.01,seed_17/repaired,encoder,theta_slow,0.0318710771089639,0.0572699459046692,0.0253988687957053
905101_00,rich,0.01,seed_17/repaired,encoder,sigma_slow,0.036660762881715,0.1113173909683107,0.0746566280865957
905101_00,rich,0.01,seed_17/repaired,encoder,rho_slow,-0.3905875624875868,-0.3716516951510021,0.0189358673365847
905101_00,rich,0.01,seed_17/repaired,encoder,v0_slow,0.0520946267116691,0.0658747637036564,0.0137801369919873
905101_00,rich,0.01,seed_17/repaired,encoder,kappa_fast,8.066470891631734,6.634890153668032,1.4315807379637029
905101_00,rich,0.01,seed_17/repaired,encoder,theta_fast,0.0781259932795358,0.0586891174850146,0.0194368757945212
905101_00,rich,0.01,seed_17/repaired,encoder,sigma_fast,0.4195628559849137,0.4359741804151314,0.0164113244302177
905101_00,rich,0.01,seed_17/repaired,encoder,rho_fast,-0.2232606221005313,-0.0311586257496783,0.1921019963508529
905101_00,rich,0.01,seed_17/repaired,encoder,v0_fast,0.0893864723699807,0.0688865935175372,0.0204998788524435
905101_00,rich,0.01,seed_17/repaired,refined,kappa_slow,0.4515711432074293,0.4557446635978979,0.0041735203904685
905101_00,rich,0.01,seed_17/repaired,refined,theta_slow,0.0318710771089639,0.0523450534827085,0.0204739763737446
905101_00,rich,0.01,seed_17/repaired,refined,sigma_slow,0.036660762881715,0.0845517487353159,0.0478909858536009
905101_00,rich,0.01,seed_17/repaired,refined,rho_slow,-0.3905875624875868,-0.2611658703938137,0.1294216920937731
905101_00,rich,0.01,seed_17/repaired,refined,v0_slow,0.0520946267116691,0.0732788162682849,0.0211841895566158
905101_00,rich,0.01,seed_17/repaired,refined,kappa_fast,8.066470891631734,11.30129620848098,3.2348253168492445
905101_00,rich,0.01,seed_17/repaired,refined,theta_fast,0.0781259932795358,0.0574355170536924,0.0206904762258433
905101_00,rich,0.01,seed_17/repaired,refined,sigma_fast,0.4195628559849137,0.4448235662482873,0.0252607102633736
905101_00,rich,0.01,seed_17/repaired,refined,rho_fast,-0.2232606221005313,-0.1684038966958119,0.0548567254047194
905101_00,rich,0.01,seed_17/repaired,refined,v0_fast,0.0893864723699807,0.066679756156691,0.0227067162132897
905101_00,rich,0.01,seed_29/repaired,encoder,kappa_slow,0.4515711432074293,0.4597454518418571,0.0081743086344278
905101_00,rich,0.01,seed_29/repaired,encoder,theta_slow,0.0318710771089639,0.0583224177244605,0.0264513406154965
905101_00,rich,0.01,seed_29/repaired,encoder,sigma_slow,0.036660762881715,0.1111902309282511,0.0745294680465361
905101_00,rich,0.01,seed_29/repaired,encoder,rho_slow,-0.3905875624875868,-0.3735769980395655,0.0170105644480213
905101_00,rich,0.01,seed_29/repaired,encoder,v0_slow,0.0520946267116691,0.0672264082312495,0.0151317815195804
905101_00,rich,0.01,seed_29/repaired,encoder,kappa_fast,8.066470891631734,6.896776801636498,1.1696940899952368
905101_00,rich,0.01,seed_29/repaired,encoder,theta_fast,0.0781259932795358,0.0601831813898362,0.0179428118896995
905101_00,rich,0.01,seed_29/repaired,encoder,sigma_fast,0.4195628559849137,0.4484561219938299,0.0288932660089162
