case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_00,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0003203266196854,0.0020108120608077,0.3446934209242423,0.9572614462186134,False,False,0.2350767919997451,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,2.7606647910261e-05,8.664127555120686e-05,0.1252834216900094,0.4721417810776357,False,False,1.0089000840016524,1.482147737874584e-14,1.4932499681208355e-14,False
905101_00,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0014348366808785,0.0043048808977473,0.3260942840558417,0.9548329786072508,False,False,0.0060787499969592,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,2.5232145021371263e-05,8.112596913394171e-05,0.1286291132950616,0.4764687658975823,False,False,0.3356603330030339,1.482147737874584e-14,1.4876988529977098e-14,False
905101_00,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.0003423212122622,0.0024671779699713,0.3201032251370262,0.925256521378837,False,False,0.0055247499985853,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,2.7057662092585004e-05,8.388000862206568e-05,0.1211524571685986,0.4538495343447097,False,False,0.3338995419981074,1.482147737874584e-14,1.4932499681208355e-14,False
905101_00,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0019674583481621,0.0063167719100054,0.3214629243960959,0.9394989300931244,False,False,0.0053683340011048,1.482147737874584e-14,1.4432899320127035e-14,False
905101_00,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,2.6127661896487485e-05,8.247827979181749e-05,0.1271587503099023,0.4695160891177232,False,False,0.3450169999996433,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,1.1340369131402102e-16,1.2984547556162717e-15,6.165586384199908e-13,3.0207745773301267e-12,True,True,1.969316875001823,1.482147737874584e-14,1.4876988529977098e-14,False
905101_00,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.0005325024020517,0.0032030949907553,0.3436475493518017,0.9560637010151668,False,False,0.0074777920017368,1.482147737874584e-14,1.4710455076283324e-14,False
905101_00,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.0002080344294718,0.0015167945906158,0.2733663105876345,0.6928056655365701,False,False,0.3758504170036758,1.482147737874584e-14,1.5876189252139742e-14,False
905101_00,rich,0.01,seed_17/repaired,encoder,60,30,0,0,0,0.0013962746596195,0.0061851961965556,0.327041411215332,0.9560995807637062,False,False,0.0058141249974141,1.482147737874584e-14,1.4599432773820812e-14,False
905101_00,rich,0.01,seed_17/repaired,refined,60,30,0,0,0,0.0002046486069803,0.0015043075182363,0.2656725884065021,0.6711828759960805,False,False,0.3769104169987258,1.482147737874584e-14,1.482147737874584e-14,False
905101_00,rich,0.01,seed_29/repaired,encoder,60,30,0,0,0,0.0002964743833909,0.0015608954919797,0.3147053278840802,0.9294843747446124,False,False,0.007407790995785,1.482147737874584e-14,1.498801083243961e-14,False
905101_00,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,0.0002037614901714,0.0014844117170199,0.2504400511687369,0.6414372564167806,False,False,0.3915808749952703,1.482147737874584e-14,1.5210055437364645e-14,False
905101_00,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.0018621440205562,0.0065951962013062,0.3220807875148122,0.93665177107293,False,False,0.0069821249999222,1.482147737874584e-14,1.4432899320127035e-14,False
905101_00,rich,0.01,seed_43/repaired,refined,60,30,0,0,0,0.0002054855596299,0.0014934807954651,0.2648632866029899,0.6559521849733841,False,False,0.3786939999990864,1.482147737874584e-14,1.5709655798445965e-14,False
905101_00,rich,0.01,seed_43/repaired,hybrid_polish,60,30,0,0,0,0.0002552609358337,0.0018146926458112,2.7876532056912615,10.19007248069304,False,False,48.51267899999948,1.482147737874584e-14,5.3679283240626325e-14,False
905101_00,single_expiry,0.0,unified_v6/unified,encoder,10,5,0,0,0,0.0001977338908728,0.0013632082707444,0.3852466066317838,1.028841125481053,False,False,0.0052118750027148,8.076872504148014e-15,7.965850201685498e-15,False
