start_index,start_strategy,optimizer_success_is_unique_recovery_proof,initial_kappa_slow,initial_theta_slow,initial_sigma_slow,initial_rho_slow,initial_v0_slow,initial_kappa_fast,initial_theta_fast,initial_sigma_fast,initial_rho_fast,initial_v0_fast,success,optimizer_status,optimizer_message,nfev,loss,price_rmse,price_mae,max_abs_price_error,parameter_rmse,parameter_mae,max_relative_parameter_error,boundary_near,boundary_reasons,predicted_kappa_slow,predicted_theta_slow,predicted_sigma_slow,predicted_rho_slow,predicted_v0_slow,predicted_kappa_fast,predicted_theta_fast,predicted_sigma_fast,predicted_rho_fast,predicted_v0_fast,runtime_seconds,surface_id,wall_seconds_all_starts
2,disclosed_target_perturbation,False,1.1348904090209488,0.1340063165030848,0.37211483182067234,-0.7221963103909701,0.06551347752482273,6.22322688246431,0.08228940081728099,0.45144554627139655,0.30398098042749105,0.053708079351926966,False,0,The maximum number of function evaluations is exceeded.,300,5.2583265034089344e-14,7.490028754860378e-07,6.12927361132165e-07,1.3778843026557297e-06,0.14178380864671655,0.08003183233026444,0.3757934484854896,False,,0.5827316680598422,0.139243862060636,0.31225383417397323,-0.5805045339335091,0.068511936541002,5.312851798894042,0.07201645817176752,0.4848525931375904,0.2566843175941269,0.0629481990805399,162.49984330000007,R2_FINAL_interior_train_008991,664.7897972000001
2,disclosed_target_perturbation,False,0.9700132310082504,0.12201598412892557,0.19238278338354012,-0.17309809531539241,0.1313666559982101,6.894536107061229,0.02641678174045734,0.1909883861226051,0.07847869649857046,0.07218307532364593,False,0,The maximum number of function evaluations is exceeded.,300,1.4066981980661066e-15,2.9313065454205923e-07,2.3895402234686003e-07,4.862843718811405e-07,0.3202886910077346,0.122204677557187,0.2548819917424399,False,,0.9714678032535782,0.10358672596612441,0.15593339116103735,-0.1290817021216121,0.13509545648652946,6.703917890240406,0.024408637282244704,0.1992621397576176,0.07530136946179951,0.08483606042094403,149.70604249999997,R2_FINAL_interior_train_009004,406.41950840000027
2,disclosed_target_perturbation,False,1.3709015016015729,0.04513609653506112,0.24942335326264928,-0.48757945707758427,0.05647240125312053,4.246597798852207,0.01932665730840412,0.09868498593657288,-0.5027557615068483,0.037094110193822936,False,0,The maximum number of function evaluations is exceeded.,300,2.8445145301971e-16,4.856062998942402e-08,3.934297955199284e-08,9.629295760760215e-08,0.14600944265473437,0.06302075874055804,0.20235858334493032,False,,1.2647059878221214,0.035584239417986566,0.19239440212372758,-0.4414609831224418,0.06504843583213822,3.7676449888249888,0.015037868365440823,0.0872798223778476,-0.48849446127642193,0.037620929240666005,274.8710766999993,R2_FINAL_interior_train_009009,653.9827917999992
2,disclosed_target_perturbation,False,1.3221942498408283,0.042863764840612176,0.2462412251537145,-0.17145560374670804,0.12355195984644791,3.236156582629362,0.049638632965409185,0.24123745031885058,0.15363765926900524,0.07270681079560813,False,0,The maximum number of function evaluations is exceeded.,300,5.55432848868561e-17,1.821881108874372e-08,1.521354437983291e-08,3.8206721342248784e-08,0.09822317973025727,0.05601378607786278,1.361803398208522,False,,1.3459450438608977,0.030000155592881345,0.19608481422364935,-0.2447297509136348,0.1248194879718546,2.510344456967289,0.053869838033591126,0.2175372728176229,0.28152144109365174,0.0859243944028007,181.05809150000005,R2_FINAL_interior_train_009012,565.5879103999996
2,disclosed_target_perturbation,False,1.3346802457989086,0.0992071518935463,0.26434907229868276,-0.6488484480167173,0.07943493428797828,3.0316931154579763,0.053158670105285175,0.2373832771278257,-0.24750171868305565,0.04110436658397307,False,0,The maximum number of function evaluations is exceeded.,300,4.0831536748731435e-18,4.916228341401882e-09,3.9871038984284904e-09,1.1540734590198554e-08,0.015146629065144883,0.00816618048705824,0.05154620787976064,False,,1.0733717961299112,0.08199789969496385,0.20836790414115225,-0.5865194300494659,0.07703082345284937,2.3618726724250516,0.04887775533993324,0.23792707027235935,-0.24103933957643778,0.053180380120611874,131.7232926000006,R2_FINAL_interior_train_009039,397.4506511999998
2,disclosed_target_perturbation,False,1.5934971854400453,0.047714664970047053,0.18421689554109638,0.16660275539307492,0.03923121954741639,3.9420135681556627,0.07768358658701721,0.4082957827889894,-0.045220106470967504,0.0360241128883191,True,1,`gtol` termination condition is satisfied.,29,1.1934721376115377e-16,2.7076435786566835e-08,2.2794067677800457e-08,4.665847086471331e-08,0.1463620101091936,0.061265613067589555,0.35038995687644686,False,,0.9267954951848565,0.025299311419532858,0.13874233748113035,0.13543421616576218,0.03810992635642285,3.254444095850985,0.07409468128762858,0.39982360462377076,-0.03085567585931612,0.0462260673505805,17.04657760000009,R2_FINAL_interior_train_009054,607.3509539000006
2,disclosed_target_perturbation,False,0.3999758863079232,0.09778351839813718,0.11535029291760514,-0.21584154198869968,0.042226371634319755,5.519186963815355,0.03925612642072619,0.33388031198093876,0.13355285422872598,0.06692585738498757,False,0,The maximum number of function evaluations is exceeded.,300,3.6593932899501897e-16,8.32328126479039e-08,6.108692829909223e-08,1.6787072354418342e-07,0.04227800287178488,0.02448966616945896,0.5817597120010697,False,,0.20588706290604575,0.13078395754525818,0.08731848950087293,-0.15167970461985236,0.04301999834343639,4.31943403304385,0.03092770830471213,0.32749730945212535,0.10296417231906659,0.0808317226177269,128.85018390000005,R2_FINAL_interior_train_009063,398.13144099999954
1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,True,1,`gtol` termination condition is satisfied.,45,2.136069960914483e-17,1.7583359258462354e-08,1.3496672424118117e-08,3.880792576183012e-08,0.5108798518514627,0.26222613994589117,2.527933593356786,False,,1.8540443842684209,0.11148039642227843,0.13326149294050157,-0.3545020500503274,0.1526653940845872,7.136406224196196,0.038061118668764125,0.30276112326691057,-0.6695080001997155,0.010969545455242927,26.134761400000116,R2_FINAL_interior_train_009064,411.9168562
2,disclosed_target_perturbation,False,1.0555002742217166,0.0887101608184392,0.20734387439321106,-0.0656007034168192,0.08959266338494663,5.9401195230218855,0.08588227145865673,0.4287441222771626,0.30426838481976387,0.06012267247590577,True,1,`gtol` termination condition is satisfied.,24,8.406900090935338e-23,5.500896990734943e-11,4.966895783553582e-11,1.0101075531565584e-10,0.0038397557961060524,0.0015264992379766516,0.013985328024337738,False,,0.8745429236028376,0.07496667833136832,0.16119097403060237,-0.056938254838673756,0.08832837864132137,4.7821243134868885,0.07788999989656618,0.43887696492014977,0.24422840317155733,0.07443577912429677,16.436362100000224,R2_FINAL_interior_train_009072,431.1486103999996
2,disclosed_target_perturbation,False,1.4203447278172137,0.1257543765165061,0.4164349265080809,-0.044904226133349365,0.1331035798613016,6.226981565667851,0.06990964687772949,0.47328036906769466,-0.26008404552472,0.014850323436399714,True,1,`gtol` termination condition is satisfied.,31,4.478953945754523e-19,4.7895288222006654e-09,3.805371662224388e-09,8.513296734236064e-09,0.4521281225782123,0.1590099694884386,0.4232785083690931,False,,1.248734603409853,0.12404292707019447,0.3444644167871159,-0.03874863490905032,0.13801328922497158,6.509051833906587,0.04949546807046688,0.5203783197483549,-0.21860501281247988,0.010986087884591711,10.508256600000095,R2_FINAL_interior_train_009074,231.88453000000027
