start_index,start_strategy,optimizer_success_is_unique_recovery_proof,initial_kappa_slow,initial_theta_slow,initial_sigma_slow,initial_rho_slow,initial_v0_slow,initial_kappa_fast,initial_theta_fast,initial_sigma_fast,initial_rho_fast,initial_v0_fast,success,optimizer_status,optimizer_message,nfev,loss,price_rmse,price_mae,max_abs_price_error,parameter_rmse,parameter_mae,max_relative_parameter_error,boundary_near,boundary_reasons,predicted_kappa_slow,predicted_theta_slow,predicted_sigma_slow,predicted_rho_slow,predicted_v0_slow,predicted_kappa_fast,predicted_theta_fast,predicted_sigma_fast,predicted_rho_fast,predicted_v0_fast,runtime_seconds,surface_id,wall_seconds_all_starts
0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,False,0,The maximum number of function evaluations is exceeded.,300,4.384460404158757e-12,4.816780136360602e-06,3.5808703448436676e-06,9.421683500931977e-06,0.1313380966339372,0.055817375910715804,0.5978285062598064,False,,0.39250395941654753,0.039857844439619004,0.14484309290515493,-0.1564405749947671,0.026607874870386825,5.705822631109017,0.04227591278819988,0.428398673525631,0.30158206603490184,0.03237920311302512,129.7025365999998,R2_FINAL_interior_train_009952,246.99749669999983
1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,False,0,The maximum number of function evaluations is exceeded.,300,1.190844447256353e-09,6.313125378319617e-05,5.039097613106503e-05,0.00012985311099145136,2.278596458088578,1.105807562356857,6.938914429193669,True,kappa_slow:near_upper_hard_bound;kappa_fast:near_upper_hard_bound;slow_feller:near_boundary,2.9997550295190605,0.019233322905654337,0.33963059006970053,0.41523574820959747,0.03882901200769774,11.938242338310385,0.03509973857124331,0.20804783662908655,-0.4810772798054127,0.018604270708195758,110.16292770000109,R2_FINAL_interior_train_009952,246.99749669999983
2,disclosed_target_perturbation,False,0.4788406459708365,0.09376345652874465,0.17823793145706104,-0.11351860414365471,0.02763489515346672,6.4847562690453975,0.043765516307138014,0.455627232874881,0.34789063549478244,0.024916818526521486,True,1,`gtol` termination condition is satisfied.,27,1.943354707041044e-18,3.92525140563289e-09,2.678717581083845e-09,9.762999741980138e-09,0.011816838224789752,0.004732806090918411,0.09755657685830753,False,,0.34099236382632764,0.08367540264344964,0.1375285314789761,-0.09875844006815433,0.027114075731053087,5.301131775556543,0.03873185798817922,0.4360405040956065,0.2829003511862886,0.032026847017509116,7.110406699999658,R2_FINAL_interior_train_009952,246.99749669999983
0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,False,0,The maximum number of function evaluations is exceeded.,300,1.996703925213461e-13,2.8753320314193936e-06,2.2944586796747045e-06,5.53471826947316e-06,0.23928978455737507,0.12466638794167109,0.5238068019219165,False,,0.9891610812098427,0.0337442698174109,0.1433101270537557,-0.6459344581148947,0.07194527095798352,5.0277611988032405,0.06542921468445913,0.5387379758822943,-0.24955942216227792,0.03757331643414257,119.07057409999834,R2_FINAL_interior_train_009900,250.7689274000004
1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,False,0,The maximum number of function evaluations is exceeded.,300,5.841847564844833e-12,1.4152274053359922e-05,1.1539572366903172e-05,2.4556828009281162e-05,1.4261232655077154,0.6849161204547236,3.5220904971479605,False,,2.9354613195359938,0.1369304071915376,0.3237273428947531,-0.4366877793394184,0.06592466917618728,8.237010427256102,0.010273982509893812,0.34474930314495905,-0.16192080248476323,0.05512548969902718,124.99137340000016,R2_FINAL_interior_train_009900,250.7689274000004
2,disclosed_target_perturbation,False,0.8094824795277084,0.08105878759697777,0.19556727443839408,-0.6396165225247639,0.06179057332823636,5.497354965629192,0.06957373701037917,0.47584273939386107,-0.3022630633246922,0.04033566314843857,True,1,`gtol` termination condition is satisfied.,27,2.2062208229556032e-17,3.75875252481067e-08,2.4100094009327223e-08,9.122240474113141e-08,0.031235427563125667,0.019473656127152305,0.1687141126242798,False,,0.7160991747565071,0.07895962352020097,0.15877529275467925,-0.5592308401833639,0.06301302224637201,4.42724673917418,0.05746473724886581,0.46826724439647627,-0.2791945952077931,0.04913818207923707,6.686940099998537,R2_FINAL_interior_train_009900,250.7689274000004
0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,True,1,`gtol` termination condition is satisfied.,235,1.881683041379054e-13,2.1480064074008372e-06,1.539784865323135e-06,3.4856649122616545e-06,0.6231395443359382,0.27504347370480364,3.2828390696893823,False,,2.5237232696541216,0.02561399389836795,0.26650577334078346,0.34561499203153456,0.0297473457871211,3.2271342772716127,0.0424318629137163,0.2713145884288638,-1.3445861353992576e-05,0.05299019716893051,73.85177730000032,R2_FINAL_interior_train_009858,290.16686669999945
1,deterministic_broad_start,False,1.8025633564628878,0.05747124834542011,0.24803791287065705,0.01802890964890657,0.21701898612728798,9.595190170183407,0.01789185520849032,0.2388030977115153,-0.4696664325607068,0.04270729942273789,False,0,The maximum number of function evaluations is exceeded.,300,2.5858422877982434e-13,2.5426482567579566e-06,1.8195399866138828e-06,4.265727383767626e-06,2.2666688376128343,0.9120213277620797,2.9806932556155017,False,,2.3456795912905206,0.060728474465572786,0.2714479443149495,0.1407568545362577,0.06869015187261,9.897797167425695,0.009162261244980107,0.37018114973986127,0.026098168119725897,0.015756727371158616,95.40138959999967,R2_FINAL_interior_train_009858,290.16686669999945
2,disclosed_target_perturbation,False,0.7382760436544747,0.0985848380944467,0.197663129673657,0.21381036683642587,0.025180161328908726,3.881513963011074,0.030396275327190733,0.35804196760389556,0.14251358624186852,0.046831710171781026,False,0,The maximum number of function evaluations is exceeded.,300,1.95730672945695e-13,2.2161590191726674e-06,1.582626651264185e-06,3.843811100523453e-06,0.6527966387629741,0.26278385657754477,0.7816792191508014,False,,0.9903325113836502,0.10731266100599268,0.27246767438819897,0.15024776360114636,0.02159154572785704,4.971785642923149,0.021177836299204424,0.2947734776706868,0.10833435591811137,0.06624110894782118,120.89745860000039,R2_FINAL_interior_train_009858,290.16686669999945
0,neutral_transform_midpoint,False,1.5250000000000001,0.1275,0.31429918305898585,0.475,0.1525,6.762505,0.101,0.5868855184710715,0.0,0.126,False,0,The maximum number of function evaluations is exceeded.,300,8.533300588445117e-11,2.389725275739381e-05,1.4014606295970067e-05,5.5192561916328486e-05,2.1064393820550684,0.9069742237948079,3.4926731888356333,False,,1.7638247226288934,0.08584802543044791,0.29368630780087285,0.16724062224217245,0.019865997249793908,11.139684146289932,0.04332340067370372,0.17191042806819967,0.1589379165964255,0.04515914985119019,116.66653440000118,R2_FINAL_interior_train_009444,348.8864485999984
