case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,1,kappa,0.41794635285563697,0.42296319815572575,0.005016845300088779,0.012003562815684266,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,1,theta,0.02744775838222551,0.014933503470980528,0.012514254911244983,0.45592994287463945,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,1,sigma,0.035353739296332155,0.020728024065203778,0.014625715231128378,0.41369641577477356,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,1,rho,-0.2636337189555912,-0.5419103594012116,0.2782766404456204,,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,1,v0,0.12092989002661622,0.10775815434427348,0.013171735682342742,0.10892043050269616,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,2,kappa,10.645222707957492,10.51714423498439,0.12807847297310282,0.012031544711353188,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,2,theta,0.04221406652547318,0.055287165064242895,0.013073098538769715,0.30968583732346733,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,2,sigma,0.394567596694371,0.24891217932115925,0.14565541737321178,0.3691519997929159,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,2,rho,0.09826367912974099,0.12267472217263997,0.024411043042898983,,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_adam909111,2,v0,0.078565727680909,0.09194362530051577,0.013377897619606768,0.17027650623870588,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,1,kappa,2.264051600086165,2.8991689873337294,0.6351173872475644,0.2805224877486861,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,1,theta,0.03201432983481975,0.06550557194363736,0.03349124210881761,1.0461328499337046,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,1,sigma,0.19382559910831057,0.2335433228167639,0.039717723708453334,0.20491474754198438,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,1,rho,-0.377042169298927,-0.24898730366004562,0.12805486563888135,,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,1,v0,0.01802161803024638,0.04328680275932997,0.02526518472908359,1.4019376443713352,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,2,kappa,5.198657904196243,6.5069389540465945,1.3082810498503514,0.25165746120635013,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,2,theta,0.06959367656961139,0.035869452637267235,0.03372422393234416,0.48458747395837537,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,2,sigma,0.3851993238399047,0.4867087293858472,0.10150940554594251,0.26352436067133783,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,2,rho,-0.1625172632053115,-0.16318321101271221,0.0006659478074007019,,True
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_adam909111,2,v0,0.0508665188038253,0.02552978952826779,0.025336729275557506,0.49810228557752445,False
