method,seed,range_scaled_parameter_rmse,standardized_parameter_rmse,constraint_validity_rate,normalized_price_rmse_mean,per_surface_inference_ms
model1,11,0.1659897399843306,0.9018723872647582,1.0,0.0007113906475855834,0.003420320001896471
model1,22,0.16593019606128862,0.9014672967989323,1.0,0.0008329029241779702,0.003585200000088662
model1,33,0.16605358968689704,0.9020267858271067,1.0,0.0008224935615102414,0.00411792000522837
model2,11,0.16718774309658918,0.9078707076914349,1.0,0.0009096769682474842,0.008254559995839373
model2,22,0.16731086176848303,0.9083988315687643,1.0,0.0011334751347609852,0.008006399997975677
model2,33,0.1662427386624238,0.9029710160547836,1.0,0.0010375360218816724,0.008163999998942018
