S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,-0.35667494393873245,90.0,19.867474336578052,18.59760155532117,16.29157990774019,16.286170938921284,3.575894428837863,2.3060216475809803,-0.00540896881890518
70.15,-0.3545343794396214,90.0,19.86747433657812,18.598037522445555,16.299510155325127,16.29461664998246,3.567964181252993,2.2985273671204283,-0.004893505342668192
70.3,-0.3523983871714722,90.0,19.867474336578052,18.598546268589708,16.307570223963534,16.303193141185574,3.559904112614518,2.2909760446261735,-0.004377082777960339
70.45,-0.3502669476434021,90.0,19.86747433657796,18.599127716092916,16.31576039635808,16.311900690807647,3.55171394021988,2.283367319734836,-0.0038597055504325795
70.6,-0.34814004148889505,90.0,19.867474336578017,18.59978178360742,16.324080946728266,16.320739516812775,3.5433933898497507,2.275700836879153,-0.003341429915490579
70.75,-0.34601764946474434,90.0,19.867474336578063,18.600508385726002,16.33253213709659,16.329709781928877,3.534942199481474,2.267976248629413,-0.0028223551677122316
70.9,-0.3438997524500094,90.0,19.867474336577885,18.601307433162294,16.34111421992148,16.33881159839852,3.526360116656406,2.2601932132408145,-0.002302621522957793
71.05,-0.3417863314449817,90.0,19.867474336578017,18.60217883261975,16.349827440504498,16.348045032400478,3.5176468960735185,2.2523513921152514,-0.0017824081040203055
71.2,-0.3396773675701612,90.0,19.86747433657792,18.603122487026223,16.358672030487988,16.357410108132196,3.508802306089933,2.2444504565382353,-0.0012619223557912562
71.35,-0.33757284206524607,90.0,19.86747433657792,18.604138295072676,16.36764821161993,16.366906811559335,3.499826124957991,2.236490083452747,-0.0007414000605940885
71.5,-0.33547273628812946,90.0,19.867474336578066,18.605226151638355,16.37675619425697,16.37653509382873,3.4907181423210965,2.2284699573813853,-0.00022110042824152742
71.65,-0.3333770317139105,90.0,19.867474336577974,18.606385947197445,16.385996177399782,16.386294874359383,3.4814781591781916,2.220389769797663,0.0002986969596001643
71.8,-0.33128570993391293,90.0,19.86747433657812,18.60761756851726,16.39536834946856,16.39618604361474,3.472105987109561,2.212249219048701,0.0008176941461819354
71.95,-0.3291987526547145,90.0,19.867474336578038,18.60892089799155,16.40487288633852,16.40620846557398,3.462601450239518,2.204048011653029,0.0013355792354587948
72.1,-0.327116141697188,90.0,19.867474336577907,18.610295813966005,16.414509951206263,16.416361979910462,3.4529643853716436,2.1957858627597417,0.0018520287041994266
72.25,-0.32503785899554977,90.0,19.867474336578145,18.611742190593716,16.424279696380523,16.426646403901447,3.4431946401976212,2.187462494213193,0.0023667075209239385
72.4,-0.32296388659642056,90.0,19.867474336578134,18.613259897871995,16.43418226052139,16.437061534079977,3.4332920760567447,2.1790776373506056,0.002879273558587414
72.55,-0.32089420665789464,90.0,19.867474336578045,18.61484880151974,16.44421776987576,16.447607147652292,3.4232565667022854,2.170631031643982,0.003389377776532143
72.7,-0.3188288014486177,90.0,19.86747433657805,18.616508763097993,16.45438633743773,16.458283003698853,3.41308799914032,2.1621224256602645,0.003896666261123727
72.85,-0.3167676533468776,90.0,19.86747433657804,18.61823963987486,16.464688063219302,16.46908884417872,3.402786273358739,2.153551576655559,0.004400780959418427
73.0,-0.31471074483970024,90.0,19.86747433657812,18.620041284848863,16.475123033541372,16.4800243947587,3.3923513030367474,2.144918251307491,0.004901361217328315
73.15,-0.312658058521958,90.0,19.867474336578066,18.621913546801792,16.485691320539818,16.491089365487454,3.3817830160382485,2.1362222262619746,0.0053980449476362935
73.3,-0.3106095770954856,90.0,19.867474336578013,18.62385627013187,16.496392983158593,16.50228345133492,3.37108135341942,2.1274632869732777,0.005890468176328767
73.45,-0.308565283368205,90.0,19.867474336577974,18.625869295024536,16.507228065435854,16.5136063326148,3.3602462711421204,2.1186412295886825,0.006378267178945407
73.6,-0.3065251602532608,90.0,19.867474336578148,18.627952457251148,16.518196597097578,16.525057675312624,3.34927773948057,2.1097558601535695,0.006861078215045779
73.75,-0.3044891907681621,90.0,19.867474336577864,18.63010558835296,16.529298593309232,16.536637131333002,3.338175743268632,2.1008069950437296,0.007338538023770269
73.9,-0.30245735803393514,90.0,19.867474336578077,18.632328515474946,16.540534053989916,16.548344338688057,3.3269402825881613,2.09179446148503,0.007810284698141601
74.05,-0.3004296452742837,90.0,19.867474336577974,18.634621061460482,16.55190296423616,16.560178921637977,3.3155713723418145,2.0827180972243227,0.008275957401817635
