S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
85.0,90.0,0.18872780078041484,0.14928220024160652,0.10269746635929844,0.10310236718202442,0.0860303344211164,0.04658473388230808,0.00040490082272598427
85.06,90.0,0.1920528939965309,0.15221628823573463,0.10512665270669717,0.10553432029417435,0.08692624128983371,0.04708963552903746,0.00040766758747717846
85.12,90.0,0.19542627076435773,0.15519809324976203,0.1076031879275811,0.1080135499279612,0.08782308283677663,0.04759490532218093,0.0004103620003800962
85.18,90.0,0.19884844756444697,0.15822818958193136,0.11012775020705025,0.1105407325553703,0.08872069735739672,0.04810043937488111,0.00041298234832004566
85.24,90.0,0.20231994351533136,0.16130715487611633,0.11270102233393674,0.11311654928491399,0.08961892118139463,0.04860613254217959,0.00041552695097725467
85.3,90.0,0.20584128034639798,0.16443557008496934,0.1153236916387118,0.11574168580110039,0.09051758870768618,0.04911187844625754,0.00041799416238859355
85.36,90.0,0.2094129823701764,0.16761401943229834,0.1179964499299116,0.11841683230225662,0.09141653244026479,0.049617569502386744,0.00042038237234502673
85.42,90.0,0.21303557645406196,0.17084309037453727,0.12071999342900692,0.12114268343674099,0.09231558302505503,0.05012309694553034,0.00042269000773406673
85.48,90.0,0.21670959199145984,0.17412337356124363,0.12349502270348105,0.12391993823753918,0.09321456928797879,0.050628350857762586,0.000424915534058129
85.54,90.0,0.22043556087235824,0.1774554627949377,0.12632224259860447,0.12674930005528126,0.09411331827375377,0.051133220196333234,0.0004270574566767882
85.6,90.0,0.22421401745333155,0.1808399549898396,0.1292023621675428,0.1296314764896358,0.09501165528578875,0.051637592822296796,0.0004291143220929994
85.66,90.0,0.2280454985269818,0.18427745012987515,0.13213609459991565,0.13256717931918358,0.09590940392706615,0.05214135552995949,0.00043108471926792125
85.72,90.0,0.23193054329080215,0.1877685512258513,0.13512415714891676,0.13555712442970305,0.09680638614188539,0.052644394076934525,0.00043296728078628943
85.78,90.0,0.23586969331549357,0.1913138642716711,0.13816727105689047,0.13860203174093086,0.0977024222586031,0.05314659321478063,0.00043476068404038615
85.84,90.0,0.23986349251270855,0.1949139981997806,0.14126616147947665,0.14170262513180482,0.0985973310332319,0.05364783672030396,0.00043646365232816176
85.9,90.0,0.24391248710224767,0.19856956483581428,0.14442155740826154,0.1448596323641766,0.09949092969398612,0.05414800742755274,0.0004380749559150521
85.96,90.0,0.24801722557870443,0.2022811788522466,0.14763419159205524,0.14807378500508764,0.10038303398664919,0.054646987260191376,0.00043959341303240196
86.02,90.0,0.25217825867753835,0.2060494577214241,0.15090480045662896,0.15134581834753932,0.10127345822090938,0.055144657264795144,0.00044101789091036125
86.08,90.0,0.2563961393406329,0.2098750216676089,0.15423412402326808,0.15467647132981208,0.1021620153173648,0.055640897644340825,0.00044234730654399423
86.14,90.0,0.2606714226812774,0.2137584936183309,0.15762290582573485,0.15806648645339572,0.10304851685554256,0.05613558779259606,0.0004435806276608667
