S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,-0.35667494393873245,365.0,21.065356559019545,20.127130591615582,20.053496922750448,20.059077108180585,1.0118596362690973,0.0736336688651349,0.005580185430137163
70.15,-0.3545343794396214,365.0,21.06535655901953,20.131367207612783,20.05795873535168,20.063473789455696,1.0073978236678514,0.0734084722611037,0.005515054104016315
70.3,-0.3523983871714722,365.0,21.06535655901953,20.135624944277048,20.06243664932222,20.067885776993574,1.0029199096973116,0.07318829495482859,0.005449127671354859
70.45,-0.3502669476434021,365.0,21.065356559019566,20.13990362542619,20.06693052279407,20.072313029075804,0.9984260362254957,0.07297310263211898,0.005382506281733868
70.6,-0.34814004148889505,365.0,21.065356559019538,20.14420307557571,20.071440214561232,20.076755502921134,0.9939163444583059,0.07276286101447837,0.005315288359902581
70.75,-0.34601764946474434,365.0,21.06535655901953,20.148523119942205,20.075965584079672,20.08121315461341,0.9893909749398588,0.07255753586253277,0.005247570533736479
70.9,-0.3438997524500094,365.0,21.065356559019566,20.152863584446287,20.080506491468594,20.085685939033958,0.9848500675509726,0.07235709297769333,0.00517944756536437
71.05,-0.3417863314449817,365.0,21.06535655901953,20.157224295716386,20.085062797511334,20.09017380979819,0.9802937615081966,0.0721614982050518,0.005111012286857175
71.2,-0.3396773675701612,365.0,21.065356559019545,20.161605081089608,20.08963436365522,20.094676719196443,0.9757221953643231,0.07197071743438599,0.0050423555412209
71.35,-0.33757284206524607,365.0,21.065356559019634,20.16600576861659,20.09422105201264,20.09919461813906,0.9711355070069949,0.07178471660395047,0.0049735661264200814
71.5,-0.33547273628812946,365.0,21.065356559019534,20.170426187062287,20.098822725361742,20.103727456105585,0.9665338336577918,0.0716034617005441,0.004904730743842123
71.65,-0.3333770317139105,365.0,21.065356559019566,20.174866165910032,20.103439247146422,20.10827518109769,0.9619173118731439,0.07142691876360985,0.004835933951266469
71.8,-0.33128570993391293,365.0,21.065356559019566,20.17932553536367,20.108070481477387,20.112837739596507,0.9572860775421788,0.07125505388628284,0.004767258119120044
71.95,-0.3291987526547145,365.0,21.065356559019566,20.18380412634933,20.11271629313188,20.11741507652339,0.9526402658876876,0.07108783321745094,0.0046987833915110855
72.1,-0.327116141697188,365.0,21.065356559019524,20.188301770518724,20.11737654755425,20.122007135204637,0.9479800114652726,0.07092522296447257,0.00463058765038582
72.25,-0.32503785899554977,365.0,21.065356559019545,20.19281830025102,20.122051110856816,20.126613857339994,0.9433054481627288,0.07076718939420346,0.004562746483177449
72.4,-0.32296388659642056,365.0,21.06535655901955,20.19735354865523,20.126739849819316,20.131235182974446,0.9386167092002324,0.0706136988359134,0.00449533315513051
