x,days,err_BS,err_SH,err_DH,err_PINN
0.2245681645448342,7.459200287071759,,-14.920050407636081,-2.9211826102020555,-28.938113330717762
0.1810830526050954,7.459200286967592,-27.89069329869383,-10.632785339670942,-1.9362251259205487,-23.58988347412831
0.1394103562045275,7.459200286863426,-19.873139262019897,-6.043165290788349,-0.8283773410474871,-16.85310271123993
0.1152156276174704,7.459200286759259,-15.018553900196569,-3.385641962834102,-0.34533280690167145,-12.776352537549524
0.1072790780217342,7.459200286643519,-13.634136602363059,-2.763411658340398,-0.4520518569899712,-11.656504341174257
0.0994050215908282,7.459200286539352,-12.102870486407891,-2.011619742930587,-0.4215210482959919,-10.392527957138501
0.0915924818540345,7.459200286435185,-10.719184267632917,-1.4264075309223023,-0.5385239332727665,-9.278858635690254
0.0838405050497167,7.459200286331019,-9.382319907240714,-0.9089699737868773,-0.6875299641413812,-8.214806113238124
0.076148159426561,7.459200286203704,-8.020402990078216,-0.3896641566583259,-0.7761750395670675,-7.1286690609833645
0.0685145345714898,7.459200286099537,-6.736960721599175,0.025436040159276807,-0.882664700064395,-6.124279078000658
0.0609387407630322,7.459200285995371,-5.544541043170079,0.320898108861134,-0.9925428309035311,-5.214619055502878
0.0534199083490049,7.459200285891204,-4.404467767015138,0.5319035948514295,-1.0436603373347815,-4.3615222344226625
0.0459571871474152,7.459200285787037,-3.4149157953217464,0.5577528224547573,-1.119639431188485,-3.663576298377552
0.0385497458695535,7.459200285682869,-2.488263740200758,0.48196359678072676,-1.1300099638489796,-3.0331408759402407
0.0311967715642947,7.459200285578703,-1.5881270353817256,0.3390428808827145,-1.0459658896789903,-2.433030505052808
0.0238974690826831,7.459200285474537,-0.7820040916788812,0.06241016955157164,-0.9487898766344038,-1.9294284831151338
0.0166510605619159,7.45920028537037,-0.09554131819095868,-0.3651871254352068,-0.8793882071868236,-1.5473088486194608
0.0094567849278888,7.4592002852662045,0.5443584560244186,-0.8457815267797264,-0.7779097900314835,-1.2137613051572016
0.0023138974155086,7.459200285162037,1.177918185965543,-1.2816785907607875,-0.6135132746739241,-0.8887390300977682
-0.0047783308939832,7.459200285081018,1.281175749048216,-2.089146617145948,-0.9150695241380985,-1.0962969742316004
-0.011820613519396,7.459200284976851,1.6134208120459737,-2.3698876179016364,-0.9238392184176797,-1.0778842840298704
