tau_days,ATM_IV_BS,ATM_IV_SH,ATM_IV_DH,ATM_IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
7.0,19.757463903531452,19.095786947988486,19.941191975705216,19.950109387695104,-0.1837280721737642,-0.8454050277167298,0.008917411989887825
7.283208020050125,19.761993857391406,19.098515973287604,19.939142545063984,19.947230506652545,-0.1771486876725774,-0.8406265717763794,0.008087961588561399
7.5664160401002505,19.766183777920354,19.101242606101536,19.93711739117425,19.944491502902107,-0.17093361325389722,-0.8358747850727148,0.007374111727855848
7.849624060150376,19.77007056645433,19.103966848572863,19.935116365832055,19.941877374461225,-0.1650457993777259,-0.8311495172591918,0.006761008629169396
8.132832080200501,19.78206215247448,19.106688702843478,19.93313932167418,19.939374816051142,-0.1510771691996986,-0.8264506188307017,0.006235494376962691
8.416040100250626,19.84419754605426,19.10940817105424,19.931186112169716,19.936971790588125,-0.0869885661154548,-0.8217779411154744,0.005785678418408935
8.699248120300751,19.902111793083886,19.112125255344246,19.92925659161241,19.934657316600312,-0.027144798528524916,-0.8171313362681651,0.005400724987900674
8.982456140350877,19.956221574323376,19.114839957851952,19.927350615110985,19.932421382161362,0.0288709592123908,-0.8125106572590326,0.005070767050376901
9.265664160401002,20.00689039272045,19.117552280714495,19.925468038583986,19.930254919848718,0.08142235413646404,-0.8079157578694911,0.004786881264731591
9.548872180451127,20.016409521471267,19.12026222606788,19.923608718748827,19.928149798641535,0.09280080272244007,-0.8033464926809479,0.004541079892707245
9.832080200501252,20.007156166373367,19.122969796047393,19.921772513117837,19.926098807402834,0.08538365325552988,-0.7988027170704441,0.00432629428499709
10.115288220551378,19.99841703382394,19.12567499278664,19.919959279988245,19.92409561953329,0.07845775383569631,-0.7942842872016058,0.004136339545045331
10.398496240601503,19.990150416175425,19.12837781841802,19.918168878436145,19.92213473871316,0.07198153773927984,-0.7897910600181248,0.003965860277016731
10.681704260651628,19.982318997715133,19.131078275073353,19.91640116831056,19.92021143131936,0.06591782940457236,-0.7853228932372076,0.003810263008798387
10.964912280701753,19.96327666250966,19.13377636488309,19.914656010223734,19.918321652879403,0.04862065228592627,-0.7808796453406437,0.0036656426556689325
11.248120300751879,19.934050569117183,19.136472089976234,19.912933265548233,19.91646197505743,0.021117303568949808,-0.776461175571999,0.0035287095091973697
11.531328320802004,19.906220254715265,19.139165452480768,19.91123279640719,19.914629517486972,-0.005012541691925776,-0.7720673439264232,0.003396721079781173
11.81453634085213,19.8796879859465,19.14185645452373,19.90955446567003,19.912821886365148,-0.029866479723530404,-0.767698011146301,0.003267420695117096
12.097744360902254,19.85436495224004,19.144545098230726,19.90789813694486,19.91103711981649,-0.05353318470481838,-0.7633530387141327,0.003138982871632834
12.38095238095238,19.8301702695877,19.147231385726435,19.90626367457419,19.909273638892046,-0.07609340498649075,-0.7590322888477559,0.0030099643178544966
12.664160401002505,19.81986147484987,19.14991531913412,19.904650943626812,19.90753020268774,-0.08478946877694327,-0.7547356244926924,0.002879259060929229
12.94736842105263,19.821027334663093,19.15259690057627,19.903059809893485,19.905805866240357,-0.08203247523039181,-0.7504629093172142,0.0027460563468721944
13.230576441102755,19.82214321845977,19.15527613217351,19.90149013988124,19.904099940325292,-0.07934692142146815,-0.7462140077077315,0.002609800444052013
13.51378446115288,19.82321227224155,19.157953016046143,19.899941800807028,19.902411952812557,-0.07672952856547965,-0.7419887847608848,0.002470152005528803
