S,x,tau_days,IV_BS,IV_SH,IV_DH,IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
85.0,-0.16251892949777494,90.0,19.867474336578027,18.97277718016051,17.719252811731568,17.731456759855128,2.148221524846459,1.2535243684289412,0.012203948123559627
85.075,-0.16163696560112192,90.0,19.867474336578052,18.97610784622813,17.72923876663695,17.741293549674236,2.138235569941102,1.2468690795911783,0.012054783037285688
85.15,-0.16075577887939405,90.0,19.86747433657808,18.979449996965602,17.739245880025592,17.75115105455815,2.1282284565524883,1.24020411694001,0.011905174532557794
85.225,-0.15987536796412463,90.0,19.867474336578013,18.982803581035785,17.74927400423671,17.76102917970775,2.118200332341303,1.233529576799075,0.011755175471041213
85.3,-0.15899573149045795,90.0,19.867474336577963,18.986168547049864,17.759322991194434,17.770927829481767,2.108151345383529,1.22684555585543,0.011604838287333052
85.375,-0.1581168680971372,90.0,19.86747433657804,18.989544843571547,17.769392692422446,17.780846907381648,2.098081644155595,1.220152151149101,0.011454214959201181
85.45,-0.15723877642649142,90.0,19.86747433657799,18.992932419119267,17.779482959057553,17.790786316037543,2.087991377520435,1.2134494600617138,0.011303356979990298
85.525,-0.15636145512442293,90.0,19.86747433657808,18.99633122216697,17.789593641861508,17.800745957193627,2.0778806947165727,1.206737580305461,0.01115231533211869
85.6,-0.15548490284039498,90.0,19.86747433657799,18.999741201147867,17.799724591233726,17.810725731694813,2.067749745344262,1.2000166099141403,0.011001140461086578
85.675,-0.15460911822741882,90.0,19.86747433657799,19.003162304455497,17.80987565722673,17.820725539473013,2.0575986793512584,1.193286647228767,0.010849882246283471
85.75,-0.153734099942042,90.0,19.867474336578024,19.006594480447436,17.820046689556644,17.830745279533737,2.0474276470213795,1.186547790890792,0.01069858997709261
85.825,-0.15285984664433552,90.0,19.867474336577992,19.01003767744605,17.830237537617315,17.840784849943976,2.037236798960677,1.1798001398287354,0.010547312326661284
85.9,-0.15198635699788157,90.0,19.86747433657799,19.01349184374174,17.840448050494416,17.85084414781916,2.027026286083572,1.1730437932473237,0.010396097324743891
85.975,-0.15111362966976158,90.0,19.867474336578027,19.016956927594293,17.85067807697704,17.860923069311443,2.016796259600987,1.1662788506172532,0.010244992334403236
86.05,-0.15024166333054303,90.0,19.86747433657799,19.020432877236274,17.860927465570878,17.871021509597902,2.00654687100711,1.1595054116653962,0.010094044027024296
86.125,-0.14937045665426876,90.0,19.86747433657808,19.023919640873697,17.871196064513256,17.881139362869757,1.9962782720648242,1.1527235763604402,0.009943298356500208
86.2,-0.14850000831844395,90.0,19.867474336577946,19.02741716669029,17.88148372178356,17.89127652232131,1.9859906147943853,1.1459334449067313,0.009792800537749002
86.275,-0.14763031700402424,90.0,19.867474336578045,19.030925402847213,17.89179028511851,17.90143288013942,1.9756840514595346,1.1391351177287028,0.00964259502091025
86.35,-0.14676138139540384,90.0,19.86747433657808,19.03444429748758,17.902115602023418,17.911608327494445,1.9653587345546626,1.1323286954641603,0.009492725471027086
86.425,-0.1458932001804032,90.0,19.867474336578027,19.037973798737077,17.912459519787287,17.921802754530102,1.9550148167907402,1.1255142789497903,0.009343234742814843
86.5,-0.14502577205025774,90.0,19.86747433657798,19.041513854706768,17.922821885493676,17.932016050355486,1.9446524510843055,1.118691969213092,0.00919416486181035
86.575,-0.1441590956996057,90.0,19.867474336577903,19.04506441349523,17.933202546035545,17.942248103036153,1.9342717905423576,1.1118618674596839,0.009045557000607829
86.65,-0.14329316982647622,90.0,19.86747433657799,19.048625423190337,17.943601348127185,17.952498799586877,1.9238729884508032,1.1050240750631524,0.008897451459692007
86.725,-0.142427993132278,90.0,19.867474336578038,19.052196831872457,17.954018138317238,17.962768025964188,1.9134561982607998,1.0981786935552194,0.008749887646949617
86.8,-0.14156356432178688,90.0,19.86747433657815,19.055778587615297,17.964452763002463,17.973055667060148,1.903021573575689,1.0913258246128343,0.008602904057685379
86.875,-0.14069988210313514,90.0,19.867474336577946,19.059370638488577,17.974905068439092,17.983361606696093,1.8925692681388533,1.0844655700494847,0.008456538257000545
