S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,30.0,1.18032494109506e-10,-9.475753515175792e-13,-3.2834845953289005e-12,1.5878363225780932e-13,1.213159787048349e-10,2.3359092438113213e-12,3.44226822758671e-12
70.12,30.0,1.440361019616295e-10,-3.4640290635936917e-13,-3.2768299185192974e-12,1.6064901991193536e-13,1.473129318801488e-10,2.930427012159928e-12,3.4374789384312327e-12
70.24,30.0,1.7555581531522657e-10,4.171507583804929e-13,-3.2773250779882818e-12,1.6272434891166947e-13,1.7883314039321485e-10,3.694475836368775e-12,3.4400494268999512e-12
70.36,30.0,2.137153610027241e-10,1.346358580178721e-12,-3.2738478594751534e-12,1.650131097740743e-13,2.1698920886219925e-10,4.620206439653874e-12,3.438860969249228e-12
70.48,30.0,2.5985763015113325e-10,2.537503540622903e-12,-3.2631009005967815e-12,1.6751917305919657e-13,2.6312073105173e-10,5.800604441219685e-12,3.430620073655978e-12
70.6,30.0,3.1558544750543714e-10,4.0055181393937595e-12,-3.2555513840293325e-12,1.7024685135239684e-13,3.1884099888946646e-10,7.261069523423092e-12,3.4257982353817294e-12
70.72,30.0,3.8280954101501437e-10,5.816671588831907e-12,-3.2485836243267848e-12,1.7320098401696496e-13,3.8605812463934117e-10,9.06525521315869e-12,3.4217846083437497e-12
70.84,30.0,4.638049119490271e-10,8.08989319978098e-12,-3.2447999842588604e-12,1.7638705019651005e-13,4.670497119332859e-10,1.133469318403984e-11,3.4211870344553705e-12
70.96,30.0,5.612769932273537e-10,1.091315038337339e-11,-3.2369973368417982e-12,1.7981131650948122e-13,5.645139905641955e-10,1.4150147720215188e-11,3.4168086533512793e-12
71.08,30.0,6.784391981952181e-10,1.4406675852285538e-11,-3.2314417808265726e-12,1.8348102708688927e-13,6.816706399760447e-10,1.763811763311211e-11,3.4149228079134618e-12
71.2,30.0,8.191037073102659e-10,1.8735990536811457e-11,-3.22901705374079e-12,1.8740464533406786e-13,8.223327243640067e-10,2.1965007590552247e-11,3.4164216990748577e-12
71.32,30.0,9.877876202075728e-10,2.4104460649709554e-11,-3.213029842186188e-12,1.9159215943943497e-13,9.91000650049759e-10,2.731749049189574e-11,3.404622001625623e-12
71.44,30.0,1.1898369197049768e-09,3.072794463321212e-11,-3.219922106723064e-12,1.9605546794347528e-13,1.1930568418116999e-09,3.3947866739935184e-11,3.4159775746665395e-12
71.56,30.0,1.4315710577175903e-09,3.891242439380054e-11,-3.213238564114816e-12,2.008088687673451e-13,1.434784296281705e-09,4.2125662957915356e-11,3.414047432882161e-12
71.68,30.0,1.720451385977362e-09,4.900416072928291e-11,-3.203206588864305e-12,2.058696867823131e-13,1.7236545925662262e-09,5.2207367318147214e-11,3.409076275646618e-12
71.8,30.0,2.0652771234239997e-09,6.144869058033469e-11,-3.1985525339450772e-12,2.1125909381459817e-13,2.0684756759579448e-09,6.464724311427977e-11,3.4098116277596754e-12
71.92,30.0,2.4764130836408336e-09,7.675544644314522e-11,-3.188858066494049e-12,2.170032044943462e-13,2.4796019417073276e-09,7.994430450963928e-11,3.4058612709883955e-12
72.04,30.0,2.96605398749013e-09,9.556845537162012e-11,-3.1795943655765754e-12,2.231345758944155e-13,2.9692335818557064e-09,9.87480497371967e-11,3.402728941470991e-12
72.16,30.0,3.548530866478043e-09,1.1865402882449398e-10,-3.178408647386277e-12,2.2969430346600754e-13,3.5517092751254292e-09,1.2183243747188026e-10,3.4081029508522845e-12
72.28,30.0,4.240665830358689e-09,1.4695239913819757e-10,-3.1613778261885284e-12,2.3673499482755436e-13,4.243827208184877e-09,1.501137769643861e-10,3.398112821016083e-12
72.4,30.0,5.062182338610633e-09,1.8161134818228895e-10,-3.1566749214562134e-12,2.4432501895030143e-13,5.065339013532089e-09,1.8476802310374517e-10,3.400999940406515e-12
72.52,30.0,6.036179090103386e-09,2.2402161459211442e-10,-3.1550340118258208e-12,2.52554569161203e-13,6.039334124115212e-09,2.2717664860394024e-10,3.407588580987024e-12
72.64,30.0,7.189676741709258e-09,2.7581900319262613e-10,-3.1500935193662372e-12,2.6154423511417225e-13,7.192826835228624e-09,2.7896909671199237e-10,3.4116377544804094e-12
72.76,30.0,8.554247897068333e-09,3.390294178728962e-10,-3.134290604833722e-12,2.7145693460839315e-13,8.557382187673167e-09,3.421637084777299e-10,3.405747539442115e-12
72.88,30.0,1.0166742186717425e-08,4.1606566192343004e-10,-3.1315972037759815e-12,2.8251418977416166e-13,1.0169873783921201e-08,4.19197259127206e-10,3.414111393550143e-12
73.0,30.0,1.2070119805880632e-08,5.098502176004219e-10,-3.112621271839088e-12,2.9501783043739486e-13,1.2073232427152471e-08,5.12962838872261e-10,3.4076391022764827e-12
73.12,30.0,1.4314408603477296e-08,6.239005667652067e-10,-3.0993607680329637e-12,3.0937828720157083e-13,1.431750796424533e-08,6.269999275332396e-10,3.4087390552345348e-12
73.24,30.0,1.6957801745118527e-08,7.624267395200855e-10,-3.085836031146984e-12,3.261507740954875e-13,1.6960887581149675e-08,7.655125755512325e-10,3.4119868052424717e-12
73.36,30.0,2.006791512351909e-08,9.304490555805923e-10,-3.0601388090190096e-12,3.4608101278001215e-13,2.007097526232811e-08,9.335091943896113e-10,3.4062198217990218e-12
