tau_days,ATM_IV_DH_FAST_HEAVY,ATM_IV_PINN_FAST_HEAVY,TV_DH_FAST_HEAVY,ATM_IV_DH_SLOW_HEAVY,ATM_IV_PINN_SLOW_HEAVY,TV_DH_SLOW_HEAVY,ATM_IV_BS_fixed
7.0,19.941191975705216,19.950109387695104,1.101666055672501,20.623889569578303,20.638272760852956,1.139379673181501,20.0
8.81203007518797,19.928494761403247,19.933758016918826,1.2352611019608273,20.768372217621213,20.778595903966345,1.287316199908911,20.0
10.62406015037594,19.91675913522424,19.920600061193866,1.3555223176713094,20.906627172551893,20.91664285093,1.4228851514246743,20.0
12.436090225563909,19.905947992166674,19.908932670885786,1.4657638312688737,21.03899781007283,21.05021097708704,1.549185145806603,20.0
14.248120300751879,19.896025502168904,19.898117013227765,1.5681253939660023,21.16580244827988,21.178501070363662,1.6681900032828323,20.0
16.06015037593985,19.886957044034677,19.88802709374321,1.6640841509181659,21.287336815047393,21.30136321320857,1.7812451290836528,20.0
17.872180451127818,19.87870914831369,19.87868739066916,1.7547108891434515,21.4038761983781,21.41894749389559,1.8893144387720384,20.0
19.684210526315788,19.8712494478153,19.870110545597356,1.8408113200658272,21.51567732936786,21.531513722126906,1.9931155735341488,20.0
21.496240601503757,19.864546634585224,19.86227970941866,1.9230097969245352,21.622980038583385,21.639340156666233,2.093199452280281,20.0
23.30827067669173,19.858570422311754,19.855172292694743,2.001801786513513,21.72600871948093,21.742688648912598,2.1899997631335264,20.0
25.1203007518797,19.85329151324706,19.848774763188242,2.0775882731875916,21.82497362670163,21.84179686424215,2.2838651638120657,20.0
26.93233082706767,19.848681568838224,19.843083090553954,2.1506991675143805,21.920072032385722,21.936881443879397,2.3750810167659453,20.0
28.74436090225564,19.84471318335406,19.838096563792202,2.2214097351718087,22.011489259833784,22.028143737416762,2.4638845187318017,20.0
30.55639097744361,19.841359859895384,19.833811679882032,2.289952435157927,22.09939961074186,22.115774309609055,2.5504755112207733,20.0
32.368421052631575,19.838595988246187,19.830218850184274,2.3565256458465855,22.183967199688798,22.19995526003436,2.6350243807833182,20.0
34.18045112781955,19.836396824112498,19.827301868881424,2.4213002253325233,22.265346707467632,22.280860816337267,2.7176779467906362,20.0
35.992481203007515,19.834738469361838,19.825039020376316,2.4844245298845102,22.34368406312456,22.35865703532831,2.798563925680364,20.0
37.80451127819549,19.833597852946795,19.823404748990196,2.546028312336579,22.419117063137627,22.43350128012231,2.8777943679967666,20.0
39.61654135338346,19.832952712257686,19.822371246044355,2.606225792180328,22.49177593497254,22.505541840780204,2.9554683409913185,20.0
41.42857142857143,19.832781574706292,19.821909700273526,2.6651181032584015,22.5617838512551,22.57491782734082,3.0316740482953852,20.0
43.2406015037594,19.83306373939144,19.821991184033937,2.7227952670048516,22.62925739995716,22.641759329728842,3.106490523551014,20.0
45.05263157894737,19.83377925874336,19.822587238944365,2.779337799277204,22.694307015286725,22.70618778428186,3.179988997429728,20.0
46.86466165413534,19.834908920078217,19.823670241751323,2.8348180308536364,22.757037373367105,22.768316476367506,3.252234011321126,20.0
48.67669172932331,19.83643422702744,19.82521361923869,2.8893012017402353,22.817547756282718,22.828251117481855,3.323284332422877,20.0
50.48872180451128,19.838337380831188,19.827191962777892,2.942846375020869,22.87593238762666,22.886090449593297,3.393193711606962,20.0
52.30075187969925,19.840601261503846,19.829581077282036,2.995507205417791,22.93228074231364,22.94192684341125,3.462011515689495,20.0
54.11278195488722,19.84320940889476,19.832357987743134,3.047332589888363,22.98667783309717,22.995846868767234,3.5297832585290623,20.0
55.92481203007519,19.846146003681465,19.835500918681895,3.0983672216957303,23.039204475950367,23.0479318241551,3.5965510499956386,20.0
57.73684210526316,19.84939584833335,19.838989256670345,3.148652064920776,23.089937536229492,23.098258218994662,3.6623539777859317,20.0
59.54887218045113,19.85294434809401,19.84280350272915,3.1982247629580574,23.13895015732879,23.146898206771773,3.727228433960134,20.0
61.3609022556391,19.85677749202983,19.846925219194212,3.247119991887726,23.186311973349625,23.193919970271754,3.7912083956871125,20.0
63.17293233082707,19.860881834192536,19.851336974186896,3.2953697675473403,23.232089307151192,23.239388062012413,3.85432566783247,20.0
64.98496240601503,19.86524447494093,19.856022285829187,3.343003713500803,23.276345355005688,23.28336370400216,3.9166100935731976,20.0
66.796992481203,19.869853042468318,19.860965567646684,3.3900492958122252,23.31914035895803,23.325905051348258,3.97808973807926,20.0
68.60902255639098,19.87469567457392,19.86615207610223,3.436532029502881,23.360531767883813,23.3670674242314,4.03879104939529,20.0
70.42105263157895,19.87976100071633,19.87156786082664,3.4824756607424123,23.400574388138548,23.40690351249944,4.0987389999293855,20.0
72.23308270676692,19.885038124383208,19.877199717841012,3.527902328156385,23.439320524610498,23.445463556734865,4.157957211373481,20.0
74.04511278195488,19.890516605803892,19.883035145864543,3.5728327060875587,23.476820112910364,23.48279550919625,4.216468065407486,20.0
75.85714285714286,19.896186445032964,19.889062305667572,3.617286132203479,23.513120843364817,23.518945177576136,4.2742928021558715,20.0
77.66917293233082,19.90203806542283,19.895269982348548,3.6612807214758902,23.548268277421005,23.553956354086697,4.331451608051523,20.0
79.4812030075188,19.908062297505154,19.901647550366718,3.704833468255153,23.58230595701497,23.587870931996008,4.387963694504093,20.0
81.29323308270676,19.914250363294173,19.908184941142785,3.7479603379107274,23.6152755074091,23.6207290114,4.443847368557141,20.0
83.10526315789474,19.92059386102152,19.91487261303479,3.790676349298805,23.647216733959745,23.652568995724206,4.499120096541703,20.0
84.9172932330827,19.92708475031279,19.92170152349375,3.8329956491424455,23.67816771323788,23.68342768020424,4.553798561587191,20.0
86.72932330827068,19.933715337807183,19.928663103206205,3.8749315792603545,23.70816487889146,23.713340333391784,4.6078987157275435,20.0
88.54135338345864,19.940478263226307,19.935749232027224,3.9164967374564874,23.737243102603557,23.74234077256242,4.661435827236954,20.0
90.35338345864662,19.94736648588962,19.94295221651383,3.957703032774984,23.765435770476227,23.770461433761476,4.714424523743221,20.0
92.16541353383458,19.954373271676868,19.950264768866912,3.9985617357355396,23.792774855140006,23.797733437111145,4.766878831592419,20.0
93.97744360902256,19.96149218043258,19.957679987103113,4.039083524086095,23.819290983867727,23.82418664790465,4.8188122118767325,20.0
95.78947368421052,19.9687170538094,19.965191336288083,4.079278524544117,23.84501350295022,23.849849733936118,4.870237593483967,20.0
97.6015037593985,19.976042003542442,19.972792630683944,4.119156350940056,23.869970538569586,23.874750219448142,4.921167403481536,20.0
99.41353383458646,19.983461400149242,19.980478016684888,4.158726139128022,23.894189054391624,23.89891453602568,4.971613595109359,20.0
101.22556390977444,19.990969862046274,19.988241956439005,4.1979965789855855,23.917694906079607,23.9223680707179,5.021587673622207,20.0
103.0375939849624,19.998562245072936,19.99607921207959,4.236975943787846,23.940512892919877,23.945135211630536,5.071100720193594,20.0
104.84962406015038,20.00623363241471,20.003984830513442,4.275672117209073,23.96266680673172,23.967239391199925,5.120163414067841,20.0
106.66165413533834,20.013979324914143,20.011954128729375,4.314092618176602,23.984179478227976,23.988703127328815,5.168786053126212,20.0
108.47368421052632,20.021794831761007,20.01998267961199,4.35224462377779,24.00507282097514,24.00954806254311,5.216978573013497,20.0
110.28571428571428,20.02967586154884,20.028066298253897,4.390134990398698,24.02536787309571,24.029795001306205,5.264750564955467,20.0
112.09774436090225,20.03761831368984,20.036201028769256,4.427770273254916,24.045084836843827,24.049463945610245,5.312111292383487,20.0
113.90977443609022,20.04561827017404,20.04438313161728,4.46515674445771,24.064243116176552,24.06857412894856,5.359069706469671,20.0
115.7218045112782,20.053671987664906,20.052609071444138,4.502300409744597,24.082861352436144,24.087144048762624,5.40563446066562,20.0
117.53383458646616,20.061775889918014,20.06087550545308,4.539207023989899,24.100957458250242,24.105191497443577,5.451813924327709,20.0
119.34586466165413,20.069926560513196,20.069179272309494,4.57588210559976,24.118548649749197,24.122733591962,5.497616195503518,20.0
121.1578947368421,20.078120735888223,20.077517381584173,4.612330949885579,24.135651477195278,24.139786802190695,5.543049112946841,20.0
122.96992481203007,20.086355298665037,20.085887003735092,4.648558641501143,24.15228185411149,24.15636697798104,5.588120267421709,20.0
124.78195488721805,20.09462727125613,20.094285460623038,4.684570066020067,24.168455084991084,24.1724893750471,5.632837012350183,20.0
126.59398496240601,20.10293380974188,20.10271021655282,4.720369920723511,24.18418589166635,24.18816867970915,5.677206473853524,20.0
128.406015037594,20.11127219800801,20.11115886982925,4.7559627246612335,24.199488438408256,24.203419032544893,5.721235560231736,20.0
130.21804511278197,20.119639842134244,20.119629144811462,4.791352828043616,24.214376355824825,24.21825405099332,5.764930970922061,20.0
132.03007518796994,20.128034265023267,20.128118884449567,4.826544421016776,24.2288627636224,24.2326868509568,5.808299204973899,20.0
133.8421052631579,20.136453101261125,20.13662604328345,4.861541541868419,24.242960292290146,24.246730067442233,5.851346569073734,20.0
135.65413533834587,20.144894092200403,20.14514868088295,4.896348084707991,24.25668110376334,24.26039587428267,5.8940791851510745,20.0
137.46616541353384,20.15335508125644,20.15368495570748,4.930967806660536,24.27003691111964,24.273696002979655,5.936502997593685,20.0
139.2781954887218,20.161834009408018,20.162233119362355,4.965404334610635,24.283038997357355,24.28664176070434,5.978623780097908,20.0
141.09022556390977,20.170328910895066,20.170791511229996,4.99966117152958,24.295698233304208,24.299244047495147,6.020447142177998,20.0
142.90225563909775,20.178837909104338,20.17935855345216,5.0337417024160835,24.308025094699666,24.311513372688697,6.061978535355999,20.0
144.71428571428572,20.187359212635357,20.18793274624293,5.06764919987841,24.320029678493714,24.323459870618596,6.103223259052493,20.0
146.52631578947367,20.195891111539773,20.19651266350941,5.1013868293834586,24.33172171840143,24.335093315617197,6.1441864661965715,20.0
148.33834586466165,20.20443197372608,20.20509694876066,5.1349576541963255,24.343110599750325,24.34642313635257,6.184873168572125,20.0
150.15037593984962,20.212980241523102,20.21368431128505,5.168364640031841,24.354205373656423,24.35745842953236,6.225288241916182,20.0
151.9624060150376,20.221534428395174,20.222273522576554,5.201610659438055,24.365014770561974,24.368207973005394,6.265436430783955,20.0
153.77443609022555,20.23009311580295,20.230863412993887,5.234698495929935,24.37554721316618,24.37868023828999,6.305322353193987,20.0
155.58646616541353,20.238654950203287,20.23945286863445,5.26763084789012,24.385810828778993,24.3888834025563,6.344950505066022,20.0
157.3984962406015,20.247218640182172,20.248040828408207,5.300410332252431,24.39581346112669,24.398825360089642,6.3843252644632535,20.0
159.21052631578948,20.25578295371481,20.25662628129747,5.333039487982299,24.405562681634514,24.408513733260353,6.423450895649641,20.0
161.02255639097743,20.264346715547873,20.26520826378817,5.365520779367749,24.415065800212783,24.417955883022692,6.462331552972484,20.0
162.8345864661654,20.272908804697956,20.27378585746067,5.397856599132872,24.42432987557059,24.427158918967432,6.500971284579671,20.0
164.64661654135338,20.28146815206137,20.28235818672889,5.430049271385496,24.43336172507817,24.436129708947607,6.539374035980206,20.0
166.45864661654136,20.290023738130458,20.290924416716273,5.462101054409397,24.442167934201585,24.444874888299644,6.57754365345638,20.0
168.2706766917293,20.29857459081166,20.29948375125906,5.494014143310971,24.450754865527973,24.45340086867734,6.615483887335127,20.0
170.08270676691728,20.307119783340553,20.308035431027946,5.5257906725293235,24.459128667402254,24.461713846518425,6.6531983951257425,20.0
171.89473684210526,20.31565843229023,20.316578731759478,5.557432718218358,24.467295282192893,24.469819811160015,6.69069074453073,20.0
173.70676691729324,20.324189695668235,20.32511296258918,5.5889423005085925,24.475260454203706,24.47772455261885,6.727964416336018,20.0
175.51879699248119,20.332712771098215,20.333637464480127,5.620321385656002,24.483029737249492,24.485433669053286,6.765022807186499,20.0
177.33082706766916,20.341226894082702,20.34215160873932,5.651571888084684,24.490608501909282,24.492952573919617,6.801869232252377,20.0
179.14285714285714,20.34973133634375,20.35065479561662,5.682695672329757,24.498001942474048,24.50028650283795,6.838506927791649,20.0
180.95488721804512,20.358225404236475,20.359146452980383,5.713694554886101,24.505215083601108,24.507440520180058,6.874939053613527,20.0
182.7669172932331,20.36670843723451,20.367626035064315,5.744570305968777,24.51225278669053,24.51441952539155,6.911168695447589,20.0
184.57894736842104,20.375179806481857,20.37609302128178,5.775324651189962,24.51911975599433,24.521228259060123,6.947198867222854,20.0
186.39097744360902,20.38363891340987,20.384546915101936,5.8059592731572796,24.525820544472207,24.52787130874135,6.983032513260961,20.0
188.203007518797,20.39208518841528,20.3929872429847,5.836475812998038,24.532359559404174,24.53435311455204,7.018672510387441,20.0
190.01503759398497,20.400518089597412,20.401413553370375,5.866875871813421,24.538741067772012,24.54067797454141,7.054121669964664,20.0
191.82706766917292,20.408937101551302,20.409825415720636,5.897161012066676,24.54496920141893,24.54685004984972,7.089382739849909,20.0
193.6390977443609,20.417341734214194,20.41822241960742,5.927332758908754,24.551047961998524,24.552873369663207,7.124458406282019,20.0
195.45112781954887,20.42573152176365,20.42660417384739,5.957392601445022,24.556981225721024,24.55875183597439,7.1593512956995395,20.0
197.26315789473685,20.434106021564308,20.434970305678508,5.987341993946122,24.56277274790738,24.564489228155196,7.19406397649347,20.0
199.0751879699248,20.442464813161067,20.443320459976817,6.017182357005951,24.568426167358393,24.570089207351455,7.228598960697324,20.0
200.88721804511277,20.45080749731726,20.451654298510867,6.046915078649739,24.573945010547934,24.57555532070612,7.262958705617272,20.0
202.69924812030075,20.459133695094927,20.45997149923144,6.076541515394568,24.57933269564753,24.580891005417993,7.297145615404743,20.0
204.51127819548873,20.46744304697623,20.46827175559497,6.106062993265199,24.584592536389724,24.586099592643126,7.331162042574002,20.0
206.32330827067668,20.475735212022943,20.47655477591815,6.135480808767096,24.589727745777544,24.591184311245105,7.365010289466967,20.0
208.13533834586465,20.484009867073784,20.48482028276274,6.164796229819275,24.59474143964657,24.596148291400905,7.398692609667373,20.0
209.94736842105263,20.49226670597635,20.493068012348584,6.1940104966485885,24.599636640085794,24.600994568067538,7.432211209366391,20.0
211.7593984962406,20.500505438853374,20.50129771399285,6.223124822647785,24.604416278723797,24.605726084315904,7.4655682486816755,20.0
213.57142857142856,20.508725791401027,20.50950914957505,6.252140395198874,24.609083199885873,24.61034569453674,7.498765842931743,20.0
215.38345864661653,20.516927504217904,20.517702093025612,6.281058376463639,24.61364016362723,24.614856167524106,7.531806063867275,20.0
217.1954887218045,20.525110332163553,20.525876329837462,6.309879904142868,24.61808984864841,24.6192601894414,7.564690940861363,20.0
219.00751879699249,20.533274043745063,20.534031656598582,6.338606092205895,24.622434855096984,24.623560366674567,7.597422462059999,20.0
220.81954887218043,20.54141842053044,20.542167880545907,6.367238031591743,24.626677707261404,24.627759228576842,7.630002575494633,20.0
222.6315789473684,20.549543256587594,20.550284819137367,6.395776790883384,24.630820856160316,24.63185923011003,7.66243319015798,20.0
224.4436090225564,20.557648357947908,20.558382299643693,6.424223416956288,24.634866682032957,24.63586275438568,7.694716177044819,20.0
226.25563909774436,20.565733542092875,20.56646015875654,6.452578935602488,24.638817496734074,24.639772115110752,7.726853370158798,20.0
228.0676691729323,20.573798637463298,20.57451824221421,6.480844352131299,24.642675546037534,24.643589558941382,7.758846567486843,20.0
229.8796992481203,20.581843482989783,20.582556404442688,6.50902065194785,24.6464430118525,24.64731726774838,7.790697531942126,20.0
231.69172932330827,20.589867927643443,20.590574508211926,6.537108801110259,24.650122014355635,24.6509573607981,7.822407992276931,20.0
233.50375939849624,20.597871830006316,20.59857242430663,6.5651097468666375,24.653714614043352,24.65451189685168,7.853979643966574,20.0
235.3157894736842,20.6058550578599,20.606550031210602,6.593024418172649,24.65722281370639,24.6579828761868,7.885414150065284,20.0
237.12781954887217,20.61381748779194,20.61450721480423,6.620853726190612,24.660648560331055,24.661372242543735,7.916713142035214,20.0
238.93984962406014,20.621759004819992,20.622443868074377,6.648598564770946,24.663993746929382,24.664681884999677,7.947878220549576,20.0
240.75187969924812,20.629679502030882,20.630359890836296,6.6762598109165685,24.667260214301418,24.667913639773978,7.978910956270702,20.0
242.5639097744361,20.637578880236155,20.63825518946689,6.703838325231304,24.670449752732296,24.671069291966653,8.009812890604179,20.0
244.37593984962405,20.645457047642076,20.64612967664849,6.731334952352724,24.67356410362694,24.67415057723318,8.040585536429628,20.0
246.18796992481202,20.653313919533357,20.653983271123504,6.758750521370072,24.676604961084475,24.677159183397805,8.07123037880923,20.0
248.0,20.661149417971394,20.661815897458577,6.786085846228246,24.67957397341547,24.68009675200823,8.101748875674641,20.0
249.81203007518798,20.668963471504405,20.669627485818427,6.8133417261179385,24.682472744603633,24.682964879833094,8.132142458493103,20.0
251.62406015037593,20.676756014890234,20.67741797174837,6.840518945852847,24.685302835714474,24.685765120305454,8.16241253291346,20.0
253.4360902255639,20.684526988831404,20.685187295966113,6.8676182762344995,24.688065766253363,24.68849898491404,8.192560479392895,20.0
255.24812030075188,20.69227633972071,20.692935404161155,6.894640474404912,24.69076301547447,24.691167944543853,8.222587653804887,20.0
257.0601503759399,20.70000401939805,20.700662246802466,6.921586284187898,24.693396023642528,24.69377343076855,8.252495388029162,20.0
258.8721804511278,20.70770998491755,20.70836777895373,6.9484564364193036,24.69596619325018,24.696316837096933,8.28228499052428,20.0
260.6842105263158,20.715394198324148,20.716051960095633,6.9752516492666565,24.698474890191235,24.698799520173758,8.311957746883325,20.0
262.49624060150376,20.72305662644027,20.72371475395532,7.001972628538672,24.700923444893114,24.701222800938673,8.341514920373461,20.0
264.30827067669173,20.730697240660707,20.731356128342423,7.028620067984942,24.703313153408466,24.703587965743303,8.37095775245964,20.0
266.1203007518797,20.738316016756798,20.738976054991245,7.055194649586322,24.70564527846922,24.705896267428763,8.400287463313411,20.0
267.9323308270677,20.745912934688455,20.74657450940943,7.0816970438362326,24.70792105050294,24.708148926365237,8.429505252306779,20.0
269.7443609022556,20.753487978424115,20.75415147073221,7.108127910013307,24.71014166861454,24.71034713145465,8.458612298492236,20.0
271.5563909774436,20.761041135768483,20.76170692158214,7.134487896445729,24.712308301533028,24.712492041098265,8.487609761068882,20.0
273.36842105263156,20.768572398197005,20.76924084793472,7.1607776407674795,24.714422088525982,24.714584784130206,8.516498779835397,20.0
275.18045112781954,20.776081760697696,20.77675323898848,7.186997770166926,24.716484140282507,24.716626460718384,8.545280475630312,20.0
276.9924812030075,20.783569221619373,20.78424408704052,7.213148901627925,24.718495539765435,24.718618143234266,8.573955950759787,20.0
278.8045112781955,20.791034782526,20.791713387366574,7.239231642163779,24.72045734303478,24.7205608770923,8.602526289413543,20.0
280.61654135338347,20.798478448057537,20.799161138105664,7.265246589044338,24.722370580043087,24.722455681560138,8.630992558069211,20.0
282.42857142857144,20.805900225796115,20.806587340149072,7.291194330016348,24.724236255403476,24.72430355054121,8.659355805885449,20.0
284.24060150375936,20.81330012613796,20.813991997033487,7.317075443517535,24.726055349131933,24.726105453330455,8.687617065084236,20.0
286.05263157894734,20.820678162170633,20.821375114838283,7.342890498884364,24.72782881736465,24.72786233534388,8.715777351322807,20.0
287.8646616541353,20.828034349555253,20.828736702086562,7.368640056553987,24.729557593051133,24.729575118823526,8.743837664055294,20.0
289.6766917293233,20.835368706413355,20.83607676964981,7.394324668260261,24.731242586624287,24.73124470351838,8.771798986884649,20.0
291.4887218045113,20.84268125321908,20.843395330656257,7.41994487722446,24.73288468664806,24.73287196734215,8.799662287905063,20.0
