tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
7.0,1.0915164971556202,1.0549638050484034,1.101666055672501,1.1021586734343503,-0.01014955851688093,-0.04670225062409772,0.0004926177618491678
8.81203007518797,1.2349883687688523,1.1847295315024708,1.2352611019608273,1.2355873170223464,-0.00027273319197496093,-0.050531570458356434,0.0003262150615190862
10.62406015037594,1.3600900400086102,1.3020168156911038,1.3555223176713094,1.3557837035604066,0.00456772233730085,-0.05350550198020554,0.00026138588909718763
12.436090225563909,1.4598469798926261,1.4099405566360357,1.4657638312688737,1.465983581759167,-0.005916851376247534,-0.05582327463283798,0.00021975049029343552
14.248120300751879,1.5625901090160488,1.5105066768421993,1.5681253939660023,1.5682902172983377,-0.005535284949953478,-0.057618717123802954,0.00016482333233547308
16.06015037593985,1.6618468446848833,1.6050964366629283,1.6640841509181659,1.6641736766575792,-0.0022373062332825544,-0.05898771425523752,8.952573941334308e-05
17.872180451127818,1.7531070440666652,1.6947086772868047,1.7547108891434515,1.7547089688869644,-0.0016038450767863477,-0.06000221185664678,-1.9202564871534378e-06
19.684210526315788,1.8382043634860956,1.7800932348124965,1.8408113200658272,1.8407058343932303,-0.002606956579731534,-0.06071808525333067,-0.00010548567259682784
21.496240601503757,1.9190300265931493,1.8618299046367914,1.9230097969245352,1.9227903871712053,-0.003979770331385968,-0.06117989228774379,-0.0002194097533299022
23.30827067669173,1.9970933248851186,1.9403778749187806,2.001801786513513,2.0014593170041532,-0.004708461628394334,-0.06142391159473237,-0.00034246950935967746
25.1203007518797,2.072671998787806,2.0161080978998047,2.0775882731875916,2.077115715447317,-0.004916274399785703,-0.06148017528778693,-0.00047255774027465947
26.93233082706767,2.145575756102369,2.089325286602012,2.1506991675143805,2.1500926926098174,-0.005123411412011336,-0.061373880912368506,-0.0006064749045631146
28.74436090225564,2.216072106317868,2.1602833315351178,2.2214097351718087,2.2206692645697967,-0.005337628853940846,-0.061126403636690974,-0.0007404706020119889
30.55639097744361,2.2843435995439645,2.2291963935292705,2.289952435157927,2.2890815155570454,-0.005608835613962526,-0.060756041628656554,-0.0008709196008815923
32.368421052631575,2.350546796630071,2.2962470680191305,2.3565256458465855,2.3555308575389233,-0.005978849216514703,-0.06027857782745505,-0.0009947883076621977
34.18045112781955,2.4149337342197708,2.361592513353955,2.4213002253325233,2.420190403787148,-0.006366491112752559,-0.0597077119785685,-0.0011098215453753113
35.992481203007515,2.4777248196349966,2.4253691310421432,2.4844245298845102,2.483210005918135,-0.006699710249513657,-0.05905539884236699,-0.001214523966375225
37.80451127819549,2.5389835099851155,2.4876961951990295,2.546028312336579,2.5447202729129037,-0.007044802351463542,-0.05833211713754949,-0.0013080394236753001
39.61654135338346,2.598796711935214,2.548678705777385,2.606225792180328,2.6048357879628226,-0.007429080245113795,-0.05754708640294259,-0.0013900042175052363
41.42857142857143,2.6573982236074656,2.608409659211702,2.6651181032584015,2.6636576898595306,-0.007719879650935901,-0.05670844404669939,-0.00146041339887093
43.2406015037594,2.714767600471019,2.6669718755025498,2.7227952670048516,2.721275753633437,-0.0080276665338328,-0.05582339150230187,-0.0015195133714147602
45.05263157894737,2.7709476675726874,2.7244394831922203,2.779337799277204,2.777770078400432,-0.008390131704516524,-0.054898316084983634,-0.0015677208767717055
46.86466165413534,2.8260905432814676,2.7808791373582276,2.8348180308536364,2.833212467127566,-0.00872748757216879,-0.05393889349540881,-0.001605563726070347
48.67669172932331,2.8803269217306138,2.836351027005618,2.8893012017402353,2.8876675637218963,-0.008974280009621527,-0.052950174734617494,-0.0016336380183390453
50.48872180451128,2.9335590252239196,2.8909097146909257,2.942846375020869,2.9411937975897056,-0.009287349796949229,-0.05193666032994315,-0.0016525774311633157
52.30075187969925,2.985840567486253,2.944604841284465,2.995507205417791,2.993844174150548,-0.009666637931537991,-0.05090236413332594,-0.001663031267243209
54.11278195488722,3.0373319735656876,2.9974817214146188,3.047332589888363,3.0456669410176995,-0.010000616322675349,-0.0498508684737442,-0.0016656488706634498
55.92481203007519,3.0881601672075876,3.0495818496116156,3.0983672216957303,3.096706152981568,-0.010207054488142742,-0.04878537208411471,-0.0016610687141622726
57.73684210526316,3.138163596507093,3.1009433329778515,3.148652064920776,3.1470021539834607,-0.010488468413683005,-0.047708731942924576,-0.0016499109373153686
59.54887218045113,3.1873810783050294,3.1516012630009307,3.1982247629580574,3.196591990512801,-0.010843684653027985,-0.04662349995712667,-0.0016327724452565029
61.3609022556391,3.2358484758034267,3.2015880366441984,3.247119991887726,3.245509767983501,-0.011271516084299105,-0.04553195524352738,-0.0016102239042248279
63.17293233082707,3.283885638625872,3.250933634914188,3.2953697675473403,3.2937869594178686,-0.01148412892146844,-0.04443613263315216,-0.0015828081294717578
64.98496240601503,3.331324971894256,3.2996658655835063,3.343003713500803,3.3414526740242314,-0.011678741606546694,-0.04333784791729656,-0.0015510394765714253
