tau_days,ATM_IV_BS,ATM_IV_SH,ATM_IV_DH,ATM_IV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
7.0,19.757463903531452,19.095786947988486,19.941191975705216,19.950109387695104,-0.1837280721737642,-0.8454050277167298,0.008917411989887825
8.81203007518797,19.924094399302238,19.113206616833224,19.928494761403247,19.933758016918826,-0.0044003621010091365,-0.8152881445700224,0.005263255515579601
10.62406015037594,19.983879405039424,19.13052881651922,19.91675913522424,19.920600061193866,0.06712026981518449,-0.7862303187050195,0.0038409259696265963
12.436090225563909,19.825584631426064,19.147754105911854,19.905947992166674,19.908932670885786,-0.08036336074060912,-0.7581938862548192,0.0029846787191125657
14.248120300751879,19.82578604393749,19.164883041945053,19.896025502168904,19.898117013227765,-0.07023945823141275,-0.7311424602238503,0.002091511058861073
16.06015037593985,19.86021581664266,19.181916179590303,19.886957044034677,19.88802709374321,-0.026741227392015787,-0.7050408644443742,0.0010700497085345262
17.872180451127818,19.860536636680635,19.198854071823174,19.87870914831369,19.87868739066916,-0.018172511633054,-0.6798550764905151,-2.175764452871931e-05
19.684210526315788,19.84310280492061,19.215697269592543,19.8712494478153,19.870110545597356,-0.028146642894689933,-0.6555521782227558,-0.001138902217942217
21.496240601503757,19.82342796842538,19.232446321792022,19.864546634585224,19.86227970941866,-0.04111866615984283,-0.6321003127932023,-0.0022669251665625723
23.30827067669173,19.811851075056953,19.249101775230788,19.858570422311754,19.855172292694743,-0.046719347254800425,-0.6094686470809663,-0.0033981296170111364
25.1203007518797,19.806301347395344,19.265664174607455,19.85329151324706,19.848774763188242,-0.046990165851717336,-0.5876273386396065,-0.004516750058819241
26.93233082706767,19.80138647807721,19.28213406248313,19.848681568838224,19.843083090553954,-0.04729509076101479,-0.5665475063550929,-0.005598478284269959
28.74436090225564,19.797017797368817,19.29851197925793,19.84471318335406,19.838096563792202,-0.04769538598524292,-0.5462012040961284,-0.006616619561857107
30.55639097744361,19.792748639324664,19.314798463146673,19.841359859895384,19.833811679882032,-0.04861122057072009,-0.5265613967487113,-0.0075481800133516685
32.368421052631575,19.78824799081868,19.330994050156782,19.838595988246187,19.830218850184274,-0.05034799742750806,-0.5076019380894046,-0.008377138061913314
34.18045112781955,19.7842236670567,19.347099274066544,19.836396824112498,19.827301868881424,-0.0521731570557975,-0.4892975500459542,-0.009094955231073953
35.992481203007515,19.78123320305258,19.363114666405362,19.834738469361838,19.825039020376316,-0.05350526630925856,-0.47162380295647566,-0.009699448985521997
37.80451127819549,19.77870018007693,19.379040756433742,19.833597852946795,19.823404748990196,-0.054897672869863356,-0.454557096513053,-0.010193103956599003
39.61654135338346,19.77639859286303,19.394878071125714,19.832952712257686,19.822371246044355,-0.05655411939465793,-0.4380746411319727,-0.010581466213331225
41.42857142857143,19.775311921014733,19.41062713515088,19.832781574706292,19.821909700273526,-0.057469653691558875,-0.4221544395554133,-0.010871874432766049
43.2406015037594,19.774566946865722,19.42628847085816,19.83306373939144,19.821991184033937,-0.0584967925257196,-0.4067752685332806,-0.011072555357504399
45.05263157894737,19.773881874104088,19.441862598260414,19.83377925874336,19.822587238944365,-0.05989738463927097,-0.39191666048294493,-0.011192019798993869
46.86466165413534,19.773818059366672,19.457350035019864,19.834908920078217,19.823670241751323,-0.06109086071154479,-0.37755888505835244,-0.011238678326893847
48.67669172932331,19.774794679364444,19.47275129643394,19.83643422702744,19.82521361923869,-0.0616395476629954,-0.3636829305934981,-0.01122060778875067
50.48872180451128,19.775701154809823,19.488066895423035,19.838337380831188,19.827191962777892,-0.06263622602136465,-0.35027048540815287,-0.011145418053295941
52.30075187969925,19.77654478079664,19.503297342517513,19.840601261503846,19.829581077282036,-0.0640564807072046,-0.3373039189863327,-0.011020184221809615
54.11278195488722,19.7780572120625,19.51844314584742,19.84320940889476,19.832357987743134,-0.06515219683226192,-0.3247662630473407,-0.01085142115162796
55.92481203007519,19.780733455846416,19.53350481113106,19.846146003681465,19.835500918681895,-0.06541254783504868,-0.3126411925504051,-0.010645084999570287
57.73684210526316,19.78324138691829,19.548482841665585,19.84939584833335,19.838989256670345,-0.06615446141505998,-0.3009130066677663,-0.010406591663006282
59.54887218045113,19.785596399389156,19.563377738318124,19.85294434809401,19.84280350272915,-0.06734794870485317,-0.28956660977588555,-0.01014084536485882
61.3609022556391,19.787812065614823,19.578189999517097,19.85677749202983,19.846925219194212,-0.06896542641500858,-0.2785874925127345,-0.009852272835619402
63.17293233082707,19.791628890672623,19.592920121244568,19.860881834192536,19.851336974186896,-0.0692529435199134,-0.2679617129479688,-0.009544860005640032
64.98496240601503,19.79580505772638,19.60756859702956,19.86524447494093,19.856022285829187,-0.06943941721455005,-0.25767587791137103,-0.009222189111742551
66.796992481203,19.799753837054553,19.622135917941065,19.869853042468318,19.860965567646684,-0.07009920541376502,-0.24771712452725225,-0.0088874748216341
68.60902255639098,19.80349330819431,19.63662257258318,19.87469567457392,19.86615207610223,-0.07120236637961241,-0.23807310199074294,-0.008543598471689506
70.42105263157895,19.80703968348219,19.651029047089004,19.87976100071633,19.87156786082664,-0.07272131723413722,-0.22873195362732446,-0.008193139889687728
72.23308270676692,19.81147206215212,19.665355825116972,19.885038124383208,19.877199717841012,-0.07356606223108741,-0.2196822992662355,-0.007838406542195031
74.04511278195488,19.81716064553219,19.679603387846292,19.890516605803892,19.883035145864543,-0.07335596027170155,-0.2109132179576001,-0.007481459939349122
75.85714285714286,19.822575940597947,19.69377221397367,19.896186445032964,19.889062305667572,-0.07361050443501682,-0.20241423105929357,-0.007124139365391358
77.66917293233082,19.82773717973912,19.707862779710496,19.90203806542283,19.895269982348548,-0.07430088568370863,-0.19417528571233333,-0.006768083074280895
79.4812030075188,19.832661832044515,19.721875558780614,19.908062297505154,19.901647550366718,-0.07540046546063905,-0.1861867387245404,-0.006414747138435928
81.29323308270676,19.837365800862376,19.7358110224181,19.914250363294173,19.908184941142785,-0.07688456243179687,-0.17843934087607138,-0.0060654221513871676
83.10526315789474,19.84253588504062,19.74966963936621,19.92059386102152,19.91487261303479,-0.0780579759809008,-0.17092422165530863,-0.005721247986727462
84.9172932330827,19.849485493548936,19.763451875876108,19.92708475031279,19.92170152349375,-0.07759925676385393,-0.16363287443668284,-0.005383226819041909
86.72932330827068,19.856142424610645,19.77715819570709,19.933715337807183,19.928663103206205,-0.07757291319653703,-0.15655714210009108,-0.005052234600977812
88.54135338345864,19.862524786818636,19.790789060125803,19.940478263226307,19.935749232027224,-0.07795347640767147,-0.14968920310050393,-0.004729031199083522
90.35338345864662,19.868649224979805,19.804344927907167,19.94736648588962,19.94295221651383,-0.07871726090981568,-0.14302155798245408,-0.004414269375789814
92.16541353383458,19.87453106509756,19.817826255335074,19.954373271676868,19.950264768866912,-0.07984220657930763,-0.1365470163417939,-0.004108502809955894
93.97744360902256,19.880184442456073,19.831233496203502,19.96149218043258,19.957679987103113,-0.08130773797650548,-0.1302586842290765,-0.0038121933294661403
95.78947368421052,19.885956819559915,19.84456710181859,19.9687170538094,19.965191336288083,-0.0827602342494842,-0.12414995199080892,-0.003525717521316807
97.6015037593985,19.8939719215228,19.857827521000033,19.976042003542442,19.972792630683944,-0.08207008201964072,-0.11821448254240963,-0.003249372858498134
99.41353383458646,19.901691784204893,19.87101520008381,19.983461400149242,19.980478016684888,-0.08176961594434928,-0.11244620006543116,-0.002983383464354006
101.22556390977444,19.909132427119093,19.884130582925057,19.990969862046274,19.988241956439005,-0.08183743492718065,-0.1068392791212176,-0.002727905607269321
103.0375939849624,19.916308731306906,19.8971741109008,19.998562245072936,19.99607921207959,-0.0822535137660303,-0.10138813417213655,-0.0024830329933465123
104.84962406015038,19.92323453871841,19.91014622291343,20.00623363241471,20.003984830513442,-0.08299909369629788,-0.09608740950127981,-0.0022488019012669724
106.66165413533834,19.92992274135979,19.923047355394672,20.013979324914143,20.011954128729375,-0.08405658355435364,-0.09093196951947036,-0.002025196184767708
108.47368421052632,19.936385361416924,19.93587794230917,20.021794831761007,20.01998267961199,-0.0854094703440822,-0.08591688945183762,-0.001812152149017976
110.28571428571428,19.942633623403047,19.94863841515929,20.02967586154884,20.028066298253897,-0.08704223814579137,-0.0810374463895478,-0.0016095632949415517
112.09774436090225,19.9512545484872,19.96132920298937,20.03761831368984,20.036201028769256,-0.08636376520264122,-0.07628911070047195,-0.0014172849205849047
113.90977443609022,19.959963756280867,19.973950732390595,20.04561827017404,20.04438313161728,-0.08565451389317147,-0.07166753778344415,-0.0012351385567583861
115.7218045112782,19.96839659584168,19.986503427506612,20.053671987664906,20.052609071444138,-0.08527539182322741,-0.06716856015829364,-0.0010629162207678178
117.53383458646616,19.976566018800227,19.998987710038232,20.061775889918014,20.06087550545308,-0.08520987111778666,-0.06278817987978158,-0.0009003844649342341
119.34586466165413,19.984484179823273,20.011403999249634,20.069926560513196,20.069179272309494,-0.08544238068992271,-0.05852256126356181,-0.0007472882037014017
121.1578947368421,19.992162496995054,20.023752711974087,20.078120735888223,20.077517381584173,-0.08595823889316989,-0.05436802391413664,-0.000603354304050896
122.96992481203007,19.999611706789942,20.036034262620035,20.086355298665037,20.085887003735092,-0.08674359187509495,-0.05032103604500193,-0.0004682949299450456
124.78195488721805,20.006841914193572,20.04824906317755,20.09462727125613,20.094285460623038,-0.08778535706255752,-0.046378208078579064,-0.0003418106330919102
126.59398496240601,20.013862638464524,20.060397523224722,20.10293380974188,20.10271021655282,-0.08907117127735731,-0.04253628651715857,-0.00022359318906239878
