t_days,tau_days,TV_BS_S_over_K_0.9,TV_SH_S_over_K_0.9,TV_DH_S_over_K_0.9,TV_PINN_S_over_K_0.9,TV_BS_S_over_K_1.0,TV_SH_S_over_K_1.0,TV_DH_S_over_K_1.0,TV_PINN_S_over_K_1.0,TV_BS_S_over_K_1.1,TV_SH_S_over_K_1.1,TV_DH_S_over_K_1.1,TV_PINN_S_over_K_1.1
0.0,730.0,7.449414707358058,7.2857301610987415,7.3853529103653806,7.386131204575823,12.411762601412946,12.37791143249094,12.417399439731797,12.418469904623484,8.628840385073001,8.738598302627441,8.712173025039718,8.713398551363806
1.8120300751879699,728.187969924812,7.43390306251724,7.270739736533638,7.36966573377108,7.370441922891402,12.394453533687733,12.361215089718636,12.400101676696645,12.401173100323174,8.611513232891383,8.721946557458558,8.69506273282386,8.696289886359583
3.6240601503759398,726.375939849624,7.418371511829066,7.255732666728219,7.353962361306355,7.354736570420833,12.377119467667347,12.344497313764402,12.38278381938992,12.383856175381375,8.594163338421236,8.705275377394798,8.677935373029982,8.679163969556257
5.43609022556391,724.5639097744361,7.402819981979852,7.240708906979537,7.3382427535822075,7.339015107031328,12.359760298136457,12.327758031841812,12.365445806376407,12.36651906800047,8.576790615578808,8.688584704413088,8.660790905149174,8.662020760633695
7.2481203007518795,722.7518796992481,7.387248399208035,7.2256684124274475,7.3225068710638475,7.323277492433076,12.342375919135035,12.310997170773131,12.348087575886197,12.349161716048055,8.559394977736883,8.671874480236127,8.643629288516582,8.644860219129754
9.06015037593985,720.9398496240601,7.371656689300336,7.21061113805426,7.306754674069892,7.307523686178586,12.324966223951,12.294214656986341,12.33070906581178,12.33178405705414,8.541976337720033,8.655144646330857,8.626450482310393,8.627682304439478
10.87218045112782,719.1278195488721,7.356044777588057,7.195537038684117,7.290986122771777,7.2917536476618166,12.307531105112645,12.277410416512136,12.313310213705192,12.314386028208316,8.52453460779985,8.638395143907303,8.609254445550807,8.610486975814325
12.68421052631579,717.3157894736842,7.340412588943095,7.180446068982701,7.275201177192928,7.275967336117462,12.290070454381109,12.260584374980871,12.295890956775168,12.296967566356898,8.507069699689925,8.621625913916844,8.592041137099248,8.593274192361392
14.496240601503759,715.5037593984962,7.324760047774107,7.16533818345665,7.2593997972081326,7.260164710620154,12.272584162742618,12.243736457619503,12.278451231884107,12.279528608000046,8.48958152454114,8.604836897051047,8.574810515657301,8.576043913042636
16.30827067669173,713.6917293233083,7.309087078022594,7.150213336453207,7.243581942542738,7.244345730083688,12.255072120400733,12.226866589248486,12.260990975545194,12.262069089288838,8.472069992936458,8.588028033740041,8.557562539765765,8.558796096674122
18.1203007518797,711.8796992481203,7.293393603158897,7.135071482159707,7.2277475727719995,7.228510353260262,12.237534216768452,12.209974694278635,12.243510123919327,12.244588946022283,8.454535014885991,8.571199264151197,8.54029716780363,8.541530701925172
19.93233082706767,710.0676691729324,7.277679546178129,7.11991257460318,7.211896647320406,7.212658538739652,12.219970340460161,12.193060696707992,12.226008612812144,12.227088113644408,8.436976499821913,8.554350528187605,8.52301435798709,8.52424768731763
21.74436090225564,708.2556390977444,7.261944829596162,7.104736567649844,7.196029125460789,7.196790244948456,12.2023803792836,12.17612452011858,12.208486377670901,12.209566527241083,8.419394356593234,8.537481765486568,8.505714068368736,8.506947011224991
23.55639097744361,706.4436090225564,7.2461893754455335,7.089543415004723,7.180144966313769,7.18090543014934,12.184764220231582,12.159166087673162,12.190943353581346,12.192024121537184,8.401788493460629,8.520592915418248,8.488396256836218,8.489628631871629
25.36842105263158,704.6315789473684,7.230413105271229,7.074333070211186,7.164244128846914,7.165004052440178,12.167121749473736,12.142185322112041,12.173379475264662,12.174460830893254,8.384158818091137,8.503683917084036,8.47106088111154,8.472292507331954
27.18045112781955,702.8195488721805,7.214615940126521,7.059105486650546,7.148326571874069,7.149086069753299,12.149452852348036,12.125182145749664,12.155794677074184,12.156876589302554,8.366505237552882,8.48675470931514,8.453707898749844,8.454938595529612
28.992481203007518,701.0075187969925,7.198797800568721,7.043860617541559,7.132392254054539,7.133151439854716,12.131757413352284,12.10815648047136,12.138188892992208,12.139271330387768,8.348827658309567,8.469805230671035,8.43633726713843,8.43756685423655
30.804511278195488,699.1954887218045,7.182958606654884,7.028598415940064,7.11644113389248,7.117200120343284,12.114035316135464,12.091108247729926,12.120562056626778,12.121644987397906,8.331125986215092,8.452835419437996,8.418948943495778,8.420177241072338
32.61654135338346,697.3834586466165,7.167098277937468,7.013318834738531,7.100473169736048,7.101232068649955,12.096286443488946,12.0740373685422,12.102914101208329,12.103997493204965,8.313400126508064,8.435845213627488,8.401542884870402,8.40276971350313
34.42857142857143,695.5714285714286,7.151216733459939,6.998021826665617,7.084488319776636,7.085247242036927,12.0785106773376,12.05694376348566,12.085244959586344,12.0863287803007,8.295649983806083,8.418834550974672,8.384119048139848,8.385344228840943
36.2406015037594,693.7593984962406,7.135313891752376,6.982707344285821,7.068486542048281,7.069245597596888,12.060707898730843,12.039827352694877,12.067554564226068,12.068638780793275,8.27787546210024,8.401803368936864,8.366677390009642,8.36790074424269
38.05263157894737,691.9473684210526,7.119389670826941,6.967375339998975,7.052467794426731,7.053227092252193,12.042877987833483,12.022688055858033,12.04984284720496,12.050927426403938,8.2600764647493,8.38475160469196,8.349217867012047,8.35043921670935
39.86466165413534,690.1353383458646,7.1034439881733915,6.952025766039937,7.036432034628803,7.037191682754066,12.025020823916455,12.005525792213344,12.032109740209346,12.033194648463565,8.242252894473918,8.367679195136837,8.331740435505296,8.332959603085087
41.67669172932331,688.3233082706766,7.087476760754476,6.936658574478073,7.020379220211629,7.021139325681785,12.007136285347464,11.988340480545428,12.014355174530833,12.015440377909286,8.224404653350916,8.35058607688585,8.314245051672149,8.315461860056324
43.48872180451128,686.5112781954887,7.071487905001291,6.921273717216979,7.004309308571812,7.005069977441902,11.98922424958151,11.971132039181725,11.996579081062858,11.997664545280903,8.206531642807189,8.333472186269063,8.296731671519026,8.297945944150822
45.30075187969925,684.6992481203008,7.05547733680865,6.905871145993968,6.988222256944785,6.9889835942674114,11.971284593151237,11.953900385988748,11.978781390297005,11.979867080717483,8.18863376361379,8.31633745933092,8.279200250874762,8.280411811736812
47.11278195488722,682.8872180451128,7.039444971530293,6.89045081237977,6.972118022403967,6.972880132216955,11.953317191657176,11.936645438368377,11.960962032319433,11.962047913953722,8.170710915879958,8.299181831828346,8.261650745389506,8.262859419022043
48.92481203007519,681.0751879699249,7.023390723974151,6.875012667778102,6.955996561860049,6.956759547174013,11.935321919757879,11.919367113254115,11.943120936807189,11.94420697431633,8.152762999046868,8.2820052392293,8.244083110533587,8.245288722052848
50.73684210526316,679.2631578947369,7.007314508397461,6.859556663425266,6.9398578320601665,6.940621794846074,11.917298651159847,11.902065327107259,11.925258033024539,11.926344190720394,8.134789911881523,8.264807616711064,8.226497301596435,8.227699676713222
52.54887218045113,677.4511278195489,6.99121623850191,6.844082750389813,6.9237017895871835,6.92446683076386,11.89924725860741,11.884739995913012,11.90737324981906,11.90845949166568,8.116791552470364,8.247588899158586,8.208893273685273,8.210092238723828
54.3609022556391,675.6390977443609,6.975095827428683,6.828590879572153,6.907528390858947,6.908294610280463,11.881167613872417,11.867391035176688,11.889466515618025,11.890552805232899,8.098767818213055,8.230349021162883,8.191270981724088,8.192466363641056
56.17293233082707,673.827067669173,6.958953187753452,6.813081001704188,6.891337592127483,6.892105088570605,11.863059587743768,11.85001835991965,11.871537758424399,11.872624059079875,8.080718605815996,8.21308791701927,8.17363038045233,8.174822006856083
57.984962406015036,672.015037593985,6.942788231481326,6.797553067348963,6.875129349478169,6.875898220629748,11.844923050016831,11.832621884675397,11.853586905813007,11.85467318043777,8.062643811285845,8.195805520725802,8.155971424423822,8.15715912359385
59.796992481203006,670.203007518797,6.926600870041723,6.782007026900238,6.8589036188290615,6.85967396127333,11.82675786948273,11.815201523485547,11.835613884926556,11.836700096107155,8.044543329922874,8.178501765981444,8.13829406800551,8.139477668912061
61.609022556390975,668.390977443609,6.910391014283232,6.76644283058229,6.842660355930067,6.84343226513594,11.808563913917403,11.797757189895696,11.817618622471626,11.81870473245409,8.02641705631444,8.161176586184428,8.120598265376255,8.121777597700238
63.421052631578945,666.578947368421,6.894158574468362,6.750860428449401,6.826399516362142,6.827173086670499,11.790341050070635,11.78028879695135,11.799601044714631,11.800687015406156,8.008264884328163,8.143829914430572,8.102883970525593,8.104058864678628
65.23308270676692,664.7669172932331,6.877903460268252,6.73525977038561,6.810121055536644,6.810896380147432,11.772089143654796,11.762796257193708,11.781561077477765,11.7826468704484,7.990086707105078,8.126461683511451,8.08515113725251,8.08632142439727
67.04511278195488,662.9548872180451,6.86162558075732,6.719640806104392,6.793824928694297,6.794602099653897,11.753808059333526,11.745279482655501,11.763498646134718,11.764584222619282,7.9718824170529174,8.109071825912697,8.067399719164172,8.068565231234857
68.85714285714286,661.1428571428571,6.845324844407907,6.70400348514829,6.777511090904701,6.778290199092918,11.735497660710227,11.727738384856679,11.745413675606642,11.74649899650655,7.953651905838868,8.09166027381232,8.049629669674726,8.050790239397802
70.66917293233082,659.3308270676691,6.8290011590847275,6.68834775688859,6.761179497065345,6.761960632182612,11.717157810316364,11.710172874800067,11.727306090357747,11.728391116243007,7.935395064382735,8.074226959078814,8.031840942003992,8.032996402919089
72.4812030075188,657.5187969924812,6.812654432039417,6.67267357052507,6.744830101900939,6.745613352455349,11.698788369599612,11.692582862967093,11.709175814391081,11.710260505502323,7.91711178284973,8.056771813269417,8.01403348917611,8.01518367565728
74.29323308270676,655.7067669172932,6.796284569904868,6.656980875085629,6.72846285996254,6.729248313256961,11.6803891989119,11.674968259313262,11.69102277124413,11.692107087494769,7.898801950643101,8.039294767628341,7.9962072640184125,7.997352011295341
76.10526315789474,653.8947368421052,6.779891478689629,6.6412696194260565,6.712077725626852,6.712865467745924,11.661960157497193,11.657328973263748,11.672846883984366,11.673930784962803,7.880465456397054,8.021795753084984,7.978362219159884,7.979501363339651
77.9172932330827,652.0827067669173,6.763475063772192,6.6255397522296375,6.69567465309541,6.6964647688925325,11.643501103479121,11.639664913708842,11.654648075204827,11.655731520176724,7.862102187969146,8.004274700252044,7.960498307030097,7.961631685118867
79.72932330827068,650.2706766917294,6.747035229895133,6.609791222007004,6.67925359639376,6.680046169478108,11.625011893848475,11.621975988999377,11.636426267019578,11.637509214930205,7.843712032432851,7.986731539423708,7.942615479857672,7.943742929782779
81.54135338345864,648.4586466165414,6.730571881159358,6.594023977095772,6.662814509370679,6.663609622094183,11.606492384450467,11.604262106942109,11.618181381059067,11.619263790535783,7.825294876069954,7.969166200573863,7.9247136896690265,7.9258350503012025
83.35338345864662,646.6466165413534,6.714084921018097,6.57823796566029,6.646357345697527,6.647155079141693,11.58794242997187,11.586523174794989,11.5999133384655,11.600995167820313,7.8068506043629355,7.951578613354169,7.9067928882869865,7.907907999462836
85.16541353383458,644.8345864661654,6.697574252270973,6.562433135691432,6.629882058867194,6.630682492830181,11.569361883927876,11.568759099262493,11.581622059888169,11.582703267120282,7.788379101987051,7.933968707092177,7.8888530273294855,7.889961729874141
86.97744360902256,643.0225563909775,6.681039777057936,6.546609435006249,6.6133886021935915,6.614191815176984,11.55075059864885,11.550969786490716,11.563307465478623,11.564388008277207,7.769880252802555,7.916336410789537,7.870894058208062,7.871996193958143
88.78947368421052,641.2105263157895,6.664481396853147,6.530766811247847,6.596876928810663,6.597682998006429,11.532108425266863,11.533155142062606,11.544969474885841,11.54604931063283,7.751353939846744,7.89868165312004,7.8529159321265745,7.854011343953275
90.6015037593985,639.3984962406015,6.647899012458713,6.514905211885083,6.580346991671727,6.5811559929490535,11.513435213702028,11.515315070992994,11.52660800725136,11.527687093024294,7.732800045325767,7.881004362427646,7.834918600079742,7.836007131912133
92.41353383458646,637.5864661654135,6.63129252399854,6.499024584212351,6.563798743548637,6.564610751440785,11.494730812648596,11.49744947772362,11.508222981204351,11.509301273779363,7.714218450606612,7.863304466724703,7.816902012851635,7.817983509700351
94.22556390977444,635.7744360902255,6.614661830911919,6.483124875349416,6.547232137030978,6.548047224722162,11.475995069560874,11.47955826611809,11.489814314856478,11.49089177071139,7.69560903620868,7.845581893689861,7.79886612101442,7.799940428995363
96.0375939849624,633.9624060150376,6.598006831947098,6.4672060322411635,6.530647124525345,6.531465363837547,11.457227830639033,11.461641339456808,11.471381925796909,11.472458501114389,7.676971681795493,7.827836570666172,7.780810874926761,7.781877841285144
97.84962406015038,632.1503759398496,6.581327425154847,6.451268001657427,6.5140436582545105,6.514865119634316,11.438428940814488,11.443698600431773,11.452925731087133,11.454001381757895,7.658306266166207,7.810068424659214,7.762736224732421,7.7637956978669465
99.66165413533834,630.3383458646616,6.564849147250676,6.4353107301928265,6.49742169025668,6.498246442762103,11.419852639994327,11.425729951141362,11.434445647255714,11.435520328881953,7.639865188622679,7.792277382334941,7.74464212035878,7.745693949846135
101.47368421052632,628.5263157894736,6.5485357324814135,6.419334164266589,6.480781172384664,6.481609283672005,11.401458159442784,11.407735293085059,11.415941590293038,11.417015258191801,7.62160788440384,7.774463370017859,7.726528511515266,7.727572548134823
