S,tau_days,TV_BS,TV_SH,TV_DH,TV_PINN,BS_minus_DH,SH_minus_DH,PINN_minus_DH
70.0,90.0,0.0003028695961658262,0.00010068584230915571,7.303383805501448e-06,7.249716079875251e-06,0.0002955662123603248,9.338245850365425e-05,-5.3667725626197624e-08
70.12,90.0,0.0003253478265786817,0.00010916937562366327,8.161074188330884e-06,8.106187838940852e-06,0.0003171867523903508,0.00010100830143533239,-5.488634939003202e-08
70.24,90.0,0.00034935655580740064,0.00011831887016893532,9.113718696509517e-06,9.058012926070813e-06,0.0003402428371108911,0.0001092051514724258,-5.5705770438704326e-08
70.36,90.0,0.0003749898435770768,0.00012818242735595438,1.0171141624622025e-05,1.0115108656220857e-05,0.00036481870195245476,0.00011801128573133234,-5.603296840116764e-08
70.48,90.0,0.00040234683819453384,0.00013881128678359182,1.134410588798489e-05,1.1288344004545376e-05,0.00039100273230654895,0.00012746718089560693,-5.576188343951467e-08
70.6,90.0,0.00043153200853329206,0.00015026000573262684,1.2644394216532091e-05,1.2589622312311826e-05,0.00041888761431675995,0.00013761561151609476,-5.4771904220265444e-08
70.72,90.0,0.00046265538412718305,0.00016258664720147876,1.4084896849943963e-05,1.403197030905158e-05,0.0004485704872772391,0.0001485017503515348,-5.292654089238233e-08
70.84,90.0,0.0004958328035284991,0.00017585297653835812,1.5679705646460836e-05,1.5629633851230813e-05,0.0004801530978820383,0.0001601732708918973,-5.007179523002368e-08
70.96,90.0,0.0005311861710822683,0.00019012466737602208,1.74442152469288e-05,1.7398180795923617e-05,0.0005137419558353394,0.00017268045212909329,-4.603445100518193e-08
71.08,90.0,0.0005688437222638748,0.00020547151681617364,1.9395231743330973e-05,1.9354611446293497e-05,0.0005494484905205438,0.00018607628507284266,-4.062029703747562e-08
71.2,90.0,0.0006089402977255959,0.00022196767022406635,2.1551089144367216e-05,2.1517477024265867e-05,0.0005873892085812287,0.00020041658107969914,-3.361212010134909e-08
71.32,90.0,0.000651617626189032,0.00023969185616922627,2.3931774416556867e-05,2.3907006644441572e-05,0.0006276858517724751,0.00021576008175266942,-2.4767772115295313e-08
71.44,90.0,0.000697024616318511,0.0002587276314438533,2.6559061102249048e-05,2.654524328189772e-05,0.0006704655552162619,0.00023216857034160426,-1.3817820351327701e-08
71.56,90.0,0.0007453176577042902,0.00027916363669292454,2.9456652679558248e-05,2.9456189245342935e-05,0.000715861005024732,0.00024970698401336627,-4.6343421531276586e-10
71.68,90.0,0.0007966609310767781,0.0003010938629983626,3.265033539981321e-05,3.266596168543791e-05,0.0007640105956769649,0.0002684435275985494,1.562628562469851e-08
71.8,90.0,0.000851226727869698,0.00032461792944818825,3.616814197735505e-05,3.6202958686629834e-05,0.0008150585858923429,0.0002884497874708332,3.4816709274787245e-08
71.92,90.0,0.0009091957792391266,0.000349841372270953,4.00405260556937e-05,4.0098036508872404e-05,0.0008691552531834329,0.00030980084621525926,5.7510453178704886e-08
72.04,90.0,0.0009707575946437905,0.0003768759456710557,4.4300548253542154e-05,4.43846985632767e-05,0.0009264570463902484,0.00033257539741751355,8.415030973454954e-08
72.16,90.0,0.0010361108100772282,0.00040583993470813155,4.8984074642337874e-05,4.909929672311599e-05,0.0009871267354348903,0.00035685586006579365,1.15222080778119e-07
72.28,90.0,0.0011054635460417295,0.0004368584804041646,5.4129987773130444e-05,5.4281245588258555e-05,0.001051333558268599,0.0003827284926310342,1.5125781512811173e-07
72.4,90.0,0.001179033775337599,0.00047006391758035686,5.9780411309740634e-05,5.997325033702959e-05,0.0011192533640278584,0.00041028350627061625,1.9283902728895797e-07
72.52,90.0,0.0012570497007402663,0.0005055961254909096,6.598094879934407e-05,6.622154881499492e-05,0.0011910687519409223,0.00043961517669156554,2.406000156508504e-07
72.64,90.0,0.001339750142621455,0.000543602891555113,7.278093710784394e-05,7.307616852425967e-05,0.001266969205513611,0.000470821954447269,2.952314164157303e-07
72.76,90.0,0.001427384936562749,0.0005842402886016493,8.023371542114754e-05,8.059119919032439e-05,0.0013471512211416015,0.0005040065731805017,3.574837691768548e-07
72.88,90.0,0.0015202153410034443,0.000627673065631626,8.839691039031454e-05,8.882508159588146e-05,0.0014318184306131299,0.0005392761552413116,4.281712055669251e-07
73.0,90.0,0.0016185144549453441,0.0006740750526238491,9.733273807593972e-05,9.784091338144432e-05,0.0015211817168694045,0.0005767423145479093,5.081753055045989e-07
73.12,90.0,0.0017225676457340655,0.0007236295793919795,0.00010710832357126892,0.000107706772522759,0.0016154593221627965,0.0006165212558207106,5.984489514900758e-07
73.24,90.0,0.001832672986920431,0.0007765299088072949,0.00011779603901220256,0.0001184960592025588,0.0017148769479082284,0.0006587338697950924,7.000201903562399e-07
73.36,90.0,0.0019491417061910123,0.0008329796845916794,0.00012947386038895134,0.0001302878568006861,0.0018196678458020608,0.0007035058242027281,8.139964117347587e-07
73.48,90.0,0.0020722986433515584,0.0008931933939657741,0.00014222574455913993,0.00014316731273121094,0.0019300728987924184,0.0007509676494066341,9.415681720710133e-07
73.6,90.0,0.0022024827183246692,0.0009573968452145614,0.00015614202636422554,0.00015722603985755774,0.0020463406919604436,0.0008012548188503359,1.0840134933322028e-06
