expiry,days,tau,market,BS,SH,DH,PINN
2026-10-02,7.4592002852662045,0.0204361651651128,19.351913298090345,20.563520107422466,17.78337644146624,18.633378233231273,18.395960372817576
2026-10-05,10.459200279560186,0.0286553432316717,17.69243405393779,18.658861078782564,17.641712833514905,18.637709469561592,18.494556147758367
2026-10-06,11.45920027513889,0.0313950692469558,17.89160795206735,18.818970078546524,17.619372123404517,18.64158111080733,18.528902597270356
2026-10-07,12.459200270810184,0.0341347952624936,18.059286020560112,18.841080330219786,17.606020960229245,18.646245264983698,18.563262018911704
2026-10-08,13.45920026765625,0.03687452128124995,18.202718439369747,18.437835475173834,17.60012223514962,18.651555687186505,18.59746327901882
2026-10-09,14.459200264212964,0.0396142472992136,18.664977163708947,19.004810599966394,17.60042580583011,18.657404391327173,18.631415743827038
2026-10-16,21.45920025748264,0.0587923294725551,18.676211545476228,19.117111486181955,17.708190841941587,18.708312960535523,18.859293246959208
2026-10-23,28.459200251377318,0.07797041164760904,18.75176235913681,18.72401055785635,17.895634910807072,18.76922428858513,19.067529990381534
2026-10-30,35.45920024380208,0.0971484938186358,19.246374321048545,19.032147937775527,18.098585075495127,18.834868179606936,19.257153225837715
2026-11-06,42.45920023940972,0.1163265759983828,19.242181338279014,19.439142843791917,18.295291832741615,18.902407589550744,19.4308550024227
2026-11-20,56.45920023466436,0.15468274036894344,19.698563089462496,19.62723198401368,18.646535324681306,19.036848736608704,19.74074650067109
2026-12-18,84.45920022854166,0.2313950691192922,19.42712090453061,19.72922377678083,19.182125852809843,19.284555371845034,20.257155380960256
2026-12-31,97.45920022335648,0.26701150746125063,18.691119981700844,20.279385040108156,19.372471065634635,19.387095881492687,20.462707791086203
2027-01-15,112.45920021854168,0.30810739785901825,18.84713341591448,19.357352861157334,19.558786766362857,19.495761240370857,20.678925258730334
2027-02-19,147.4592002159028,0.4039978088106926,18.989925931739833,19.34540362877519,19.89383626707883,19.71407053578654,21.115864028835013
2027-03-19,175.4592002128009,0.4807101375693176,19.2389318032984,19.545603770390773,20.09311772860943,19.85975568216078,21.415163935486685
2027-03-31,187.45920020873845,0.5135868498869547,19.269507512311005,20.825544693543574,20.165273501478797,19.915823396006537,21.53305787422067
2027-04-16,203.4592002053125,0.5574224663159246,19.418990090838623,19.581631268334032,20.251657199539643,19.98549768983731,21.682160332046475
2027-05-21,238.45920020271987,0.6533128772677257,18.55055245798193,19.85346188931871,20.409502980618775,20.120745685267767,21.981213406905418
2027-06-17,265.4592001998264,0.7272854799995243,20.03018542338056,20.16488660888421,20.508889640244007,20.211851642288995,22.19088709543224
2027-09-17,357.4592001918171,0.9793402744981292,21.041520799355336,20.463051567446698,20.753927577731062,20.460833022782328,22.802977913890853
2027-10-15,385.4592001891435,1.0560526032579274,19.611105246602918,20.55171653239876,20.80903144504412,20.522638688121628,22.964379677200096
