family,bucket,BS,DH_PINN,SH
BASE,30-90d,0.0013938563573995823,8.947841400453049e-06,0.0008318970848204632
BASE,365-730d,0.0016813284655636087,1.8264824990402707e-05,0.0010633355791263809
BASE,7-30d,0.00047454923743867896,4.354556025479741e-06,0.0003272068382125053
BASE,90-365d,0.0022821609718494174,8.248836458219883e-06,0.0007379538882768534
BASE,all,0.0015828883925690458,9.874291049478052e-06,0.0007206553094798972
FAST_SHOCK,30-90d,0.0013200202917807403,8.98134142438212e-06,0.001079415150498744
FAST_SHOCK,365-730d,0.001619347452702765,2.0538900325474772e-05,0.0011417898298196974
FAST_SHOCK,7-30d,0.0004559324628685058,4.358897651388343e-06,0.0007176196100488502
FAST_SHOCK,90-365d,0.002107625944365501,1.09931128240298e-05,0.0009435077708774477
FAST_SHOCK,all,0.0014802338778722207,1.127684299482936e-05,0.000946151599923119
FIXED_TOTAL_TWIST,30-90d,0.0007663375547319116,8.149153839180957e-06,0.0003395485403198589
FIXED_TOTAL_TWIST,365-730d,0.0008500518139421324,1.1924383714729935e-05,0.000509930179586014
FIXED_TOTAL_TWIST,7-30d,0.00024694689825462883,6.890574288647597e-06,0.00014975816361408577
FIXED_TOTAL_TWIST,90-365d,0.0012308750621226427,1.2991572575746718e-05,0.00031120165610112557
FIXED_TOTAL_TWIST,all,0.0008474797262876856,1.027213772805231e-05,0.00031993518146274905
SLOW_SHOCK,30-90d,0.001201500970584835,7.738490287299054e-06,0.0006675885608519491
SLOW_SHOCK,365-730d,0.0014083137224298156,1.4253276477051213e-05,0.0008890289584654664
SLOW_SHOCK,7-30d,0.00040614215862343114,5.869199939029726e-06,0.00026375249516325623
SLOW_SHOCK,90-365d,0.0019379373423864938,1.151837754370057e-05,0.0005781087398550573
SLOW_SHOCK,all,0.0013443699039938787,9.86150133870139e-06,0.0005822736264746408
SMIRK_WEIGHTS,30-90d,0.0007628957090178175,7.2476403186545e-06,0.00030815276053948313
SMIRK_WEIGHTS,365-730d,0.0009357247615367637,1.3551846061567156e-05,0.0004903925434306797
SMIRK_WEIGHTS,7-30d,0.00024224824304640128,5.405776332183872e-06,0.00014004301614948638
SMIRK_WEIGHTS,90-365d,0.001288294931131868,1.2486760551813718e-05,0.0002958990126791543
SMIRK_WEIGHTS,all,0.0008863449220461895,1.0115830976191895e-05,0.0003015046494701963
