case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905102_00,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0017889822066628708,0.007796067249120504,0.8756421039411203,2.9004200920871903,False,False,0.23501658399618464,1.3433698597964394e-14,1.2934098236883074e-14,False
905102_00,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,0.0006375466776928331,0.0023630627509267444,0.6036251249069138,1.9805830500964874,False,False,1.011699624999892,1.3433698597964394e-14,1.2934098236883074e-14,False
905102_00,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.002048196564702339,0.008279647719210883,0.8985134550731433,2.89396976112563,False,False,0.0046237090064096265,1.3433698597964394e-14,1.2934098236883074e-14,False
905102_00,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,0.0008563802599406306,0.0029550659088622843,0.6018105955346011,1.9913660940296114,False,False,0.3360140840013628,1.3433698597964394e-14,1.2989609388114332e-14,False
905102_00,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.0014285828811543152,0.0049253395182847284,0.906168447972067,2.901160057950749,False,False,0.004568792006466538,1.3433698597964394e-14,1.326716514427062e-14,False
905102_00,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,0.0005868987435086004,0.0022526743338384704,0.6004119588183057,2.152061799523831,False,False,0.33586891700542765,1.3433698597964394e-14,1.3156142841808105e-14,False
905102_00,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0022866605821543436,0.009161271708866825,0.9046126643906971,2.910062413927446,False,False,0.005116667001857422,1.3433698597964394e-14,1.304512053934559e-14,False
905102_00,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,0.0009569354861207373,0.0032882041958747976,0.607804695945683,2.0335041026557947,False,False,0.3425683749956079,1.3433698597964394e-14,1.2934098236883074e-14,False
905102_00,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,3.796696243064603e-08,3.362798841377645e-07,0.4505301675284712,1.9277273705228233,False,True,41.20834195799398,1.3433698597964394e-14,1.226796442210798e-14,False
905102_00,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.0020080491627629607,0.009075643938230965,0.8708032850940223,2.8977371346871243,False,False,0.005483458000526298,1.3433698597964394e-14,1.2934098236883074e-14,False
905102_00,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,0.0002742971905581598,0.0011362679065524998,0.7523407177796905,1.8147656684111446,False,False,0.36627416600094875,1.3433698597964394e-14,1.304512053934559e-14,False
905102_00,rich,0.01,seed_17/repaired,encoder,60,30,0,0,0,0.0018978678533732446,0.00755301091161099,0.893837351068832,2.8922343474904206,False,False,0.006281832997046877,1.3433698597964394e-14,1.304512053934559e-14,False
905102_00,rich,0.01,seed_17/repaired,refined,60,30,0,0,0,0.00027494253853682974,0.0011316870947121417,0.7652305978225312,1.8242265678291254,False,False,0.3629800409980817,1.3433698597964394e-14,1.2989609388114332e-14,False
905102_00,rich,0.01,seed_29/repaired,encoder,60,30,0,0,0,0.001497955662216032,0.005890986874946996,0.9007354267055442,2.89747992630034,False,False,0.0062283750012284145,1.3433698597964394e-14,1.3211653993039363e-14,False
905102_00,rich,0.01,seed_29/repaired,refined,60,30,0,0,0,0.00021234286789779117,0.0012166145733072632,0.7422865342932877,1.8793342865487765,False,False,0.3591827909986023,1.3433698597964394e-14,1.2989609388114332e-14,False
905102_00,rich,0.01,seed_43/repaired,encoder,60,30,0,0,0,0.002364235754535268,0.009532739982416704,0.9000003147836594,2.9066207938952107,False,False,0.005856249998032581,1.3433698597964394e-14,1.2878587085651816e-14,False
