step,component,weight,raw_loss,scaled_loss,raw_grad_l2,scaled_grad_l2,scaled_grad_max,scaled_grad_mean
0,teacher,1.0,1.8200117434373683e-10,0.455002935859342,1.6838911537599514e-08,42.09727884399878,11.381933639155546,0.007401003656638143
0,iv,1.0,5.25083065221908e-06,1.31270766305477,1.2870685375911368e-05,3.217671343977842,0.8825671942213869,0.0005787450532528384
0,pde,1.0,0.0004342474925333313,0.4342474925333313,0.10128224024198315,101.28224024198315,25.186042992700106,0.017526450449355545
0,convexity,1.0,7.877416317919288e-07,7.877416317919289e-08,2.2508958731831214e-06,2.2508958731831217e-07,6.56598556861654e-08,4.108804137962062e-11
100,teacher,1.0,1.899397275813146e-10,0.47484931895328636,1.862141522296213e-08,46.55353805740531,14.415697402581184,0.00862455966170017
100,iv,1.0,2.8239805453633232e-05,7.059951363408308,2.5199678784856563e-05,6.299919696214141,2.153649567323631,0.0011274436111289906
100,pde,1.0,0.001997026634027397,1.9970266340273968,0.017007663527810787,17.007663527810788,5.264267553878417,0.0033309621021941583
100,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,teacher,1.0,1.6457568832519402e-10,0.41143922081298495,2.6501085219443546e-08,66.25271304860885,26.73031547264503,0.012414658388124925
200,iv,1.0,1.522251448663314e-06,0.38056286216582846,6.608172665177403e-06,1.6520431662943509,0.3792622077813574,0.0003225990266080144
200,pde,1.0,0.0005785033649268456,0.5785033649268456,0.02395314152044487,23.95314152044487,5.484916067393506,0.005341186675920478
200,convexity,1.0,4.666907817333261e-07,4.666907817333261e-08,1.6991145399645696e-06,1.6991145399645696e-07,4.5708418191705283e-08,3.353918415977574e-11
300,teacher,1.0,1.5616797466347342e-10,0.39041993665868346,1.9333143947127335e-08,48.33285986781833,17.413052767204558,0.009697456038135656
300,iv,1.0,2.0865415024294663e-06,0.5216353756073666,7.94406955418502e-06,1.9860173885462549,0.8775720111819596,0.0003940200136379193
300,pde,1.0,0.0005742070575881162,0.5742070575881162,0.015138986951019425,15.138986951019424,4.248838398349107,0.0035524668602532295
300,convexity,1.0,1.8940646686839813e-07,1.8940646686839813e-08,1.5794491460130225e-06,1.5794491460130227e-07,3.543603327597571e-08,3.6879148999586525e-11
400,teacher,1.0,1.8012852725568567e-10,0.4503213181392141,2.168105937071181e-08,54.20264842677952,17.86899879418512,0.01232879836836509
400,iv,1.0,2.8549346637779172e-06,0.7137336659444793,7.522380042807885e-06,1.8805950107019713,0.4699026178478448,0.00045276663516557645
400,pde,1.0,0.00023795958315770785,0.23795958315770785,0.04239255159185753,42.392551591857526,9.883576852792658,0.010295812850270945
400,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
500,teacher,1.0,1.729422607887737e-10,0.43235565197193415,2.2295797750233663e-08,55.739494375584144,18.732936091977948,0.013386968492050582
500,iv,1.0,3.0646801001117998e-06,0.76617002502795,4.915594291337624e-06,1.228898572834406,0.39480657364032956,0.0003295467882150784
500,pde,1.0,0.004442100868343939,4.442100868343939,0.04353583947479099,43.53583947479099,9.770319221662293,0.011690928402507515
500,convexity,1.0,1.8123598636373367e-08,1.8123598636373368e-09,3.548313929688099e-07,3.5483139296880994e-08,9.714382718172263e-09,9.837323997331111e-12
600,teacher,1.0,1.5897273166199903e-10,0.3974318291549975,3.4177453056735204e-08,85.443632641838,41.29047570536204,0.01903387874515335
600,iv,1.0,7.32797109678026e-07,0.1831992774195065,4.778335550544014e-06,1.1945838876360035,0.30020193067985823,0.0003286741480283833
600,pde,1.0,0.0020743630559190993,2.074363055919099,0.06271644172480137,62.71644172480137,15.478690993784767,0.01695425998510425
600,convexity,1.0,3.7407821945207425e-06,3.7407821945207427e-07,6.72254407917381e-06,6.72254407917381e-07,1.7949081798612425e-07,2.0146781305661291e-10
700,teacher,1.0,1.6957211579794006e-10,0.42393028949485007,5.083604089794061e-08,127.09010224485151,54.981990267246324,0.030015247873994903
700,iv,1.0,6.191838990729025e-06,1.5479597476822562,1.6618764334331994e-05,4.154691083582999,1.409262203381256,0.001216319937037234
700,pde,1.0,0.000834609022689319,0.834609022689319,0.02471133212815356,24.71133212815356,6.454273534655634,0.007449428840096867
700,convexity,1.0,3.927344441591563e-06,3.927344441591563e-07,3.259154045761552e-06,3.2591540457615525e-07,8.933617160645752e-08,9.481906051481712e-11
800,teacher,1.0,1.6092957338580274e-10,0.4023239334645068,1.755185777666499e-08,43.879644441662464,19.856184097970623,0.011388999480334552
800,iv,1.0,1.755150679443031e-05,4.3878766986075775,3.0231038469957708e-05,7.557759617489427,2.0710491641046556,0.0023340481436438486
800,pde,1.0,0.0009436978063299303,0.9436978063299303,0.013632946975404191,13.632946975404192,4.150812748718922,0.004972895288526046
800,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
900,teacher,1.0,1.1554923587348078e-10,0.2888730896837019,1.8880155783151066e-08,47.200389457877655,23.145631988645945,0.011691171243687112
900,iv,1.0,3.8034274625751178e-06,0.9508568656437795,1.9958678772698033e-05,4.989669693174508,1.1563093430990592,0.00137388963014072
900,pde,1.0,0.00029821848417214535,0.29821848417214536,0.0355164324612333,35.5164324612333,8.412037774692237,0.010887532507657097
900,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,teacher,1.0,1.4325903231684997e-10,0.3581475807921249,1.6674865000129896e-08,41.68716250032473,11.247464565276001,0.012552500719268356
1000,iv,1.0,2.767952143450316e-06,0.691988035862579,9.913033611178886e-06,2.4782584027947214,0.8610383456472461,0.0007920165642564819
1000,pde,1.0,0.0009349174668962583,0.9349174668962582,0.06749062774826461,67.49062774826461,16.218216192654477,0.021260819890600895
1000,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,teacher,1.0,1.7845753951885574e-10,0.44614384879713925,1.2750244685287963e-08,31.8756117132199,8.717760521520448,0.010846101326992026
1100,iv,1.0,1.876501004637721e-05,4.6912525115943025,2.7245260325687823e-05,6.811315081421956,2.0117641042818697,0.0020102518387698216
1100,pde,1.0,0.0004639785898527403,0.4639785898527403,0.013575083574544509,13.575083574544509,3.55705978153756,0.006968653679353456
1100,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,teacher,1.0,1.8325102167171114e-10,0.45812755417927775,1.099766285499522e-08,27.494157137488045,11.593450319271124,0.00882836678516132
1200,iv,1.0,9.585969851802338e-07,0.23964924629505843,5.259901435606689e-06,1.3149753589016722,0.36942156443407925,0.000424342953302526
1200,pde,1.0,0.0006689918613664883,0.6689918613664882,0.03657115177670065,36.57115177670065,8.825011602738112,0.012190760081051898
