model,seed,parameters,seconds,train_price_RMSE,train_IV_RMSE_vol_points,development_negative_convexity_count,weights_sha256,price_RMSE,price_MAE,price_max,IV_RMSE_vol_points,PDE_RMSE,IV_valid,quotes
single_branch,17,21121,63.30523179200827,0.0034397138336140836,5.161150874326621,6,952710e248e463b4f25724bb05fc0bdacdaff288ee18d3da374d907f8815f6eb,0.005295880697224558,0.001879148826689763,0.09682507654676303,6.382225373988448,3.061209313759722,5257,6144
dual_branch,17,19970,72.82853737499681,0.0033295400648205103,4.362066678545571,13,8f4a5c5eac132c2c303f104b4521f9033d6cec05e844861fc19f202cc782af44,0.004212379998802405,0.0015631372824056525,0.0841863392478559,5.65622930878862,3.811295089926614,5257,6144
single_branch,43,21121,62.848416833003284,0.003290132125323931,5.033144675914179,4,65ef27d921c5cec69a62b0baf0576a192aa01827d020d2fc95f1dd930785ba6d,0.0038720061518975474,0.001525092547223558,0.05395841608727692,5.852685661141766,2.9209751794662995,5257,6144
dual_branch,43,19970,70.42896566700074,0.003787723596684366,4.54739849042651,22,f8c60ef0e7c84fb8a5059ec01c245b9f9692854bb433020f8c353342df937133,0.004706133932115379,0.0018832490426677775,0.06837826255973922,5.8907446511077,11.0434354092833,5257,6144
