case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,quote,holdout,strike,tau,true_price_spot,observed_price_spot,true_iv,observed_iv
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,0,False,0.8,0.0821917808219178,0.20243872716781885,0.20243872716781885,0.4696727116361483,0.4696727116361483
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,1,False,0.8200000000000001,0.0821917808219178,0.18378904071619695,0.18378904071619695,0.46975939329695315,0.46975939329695315
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,2,True,0.8400000000000001,0.0821917808219178,0.16568435589551184,0.16568435589551184,0.4699576533001022,0.4699576533001022
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,3,False,0.86,0.0821917808219178,0.14825447792361554,0.14825447792361554,0.4702618888131303,0.4702618888131303
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,4,False,0.88,0.0821917808219178,0.13162991824649334,0.13162991824649334,0.4706667309454588,0.4706667309454588
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,5,True,0.9,0.0821917808219178,0.11593371649897787,0.11593371649897787,0.47116702632828233,0.47116702632828233
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,6,False,0.92,0.0821917808219178,0.10127345987259787,0.10127345987259787,0.4717578205968423,0.4717578205968423
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,7,False,0.9400000000000001,0.0821917808219178,0.08773446298127298,0.08773446298127298,0.4724343436381747,0.4724343436381747
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,8,True,0.96,0.0821917808219178,0.0753748649213329,0.0753748649213329,0.4731919964694413,0.4731919964694413
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,9,False,0.98,0.0821917808219178,0.06422308027557076,0.06422308027557076,0.47402633962194485,0.47402633962194485
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,10,False,1.0,0.0821917808219178,0.05427768391655918,0.05427768391655918,0.47493308292001923,0.47493308292001923
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,11,True,1.02,0.0821917808219178,0.04550948807029532,0.04550948807029532,0.4759080765587965,0.4759080765587965
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,12,False,1.04,0.0821917808219178,0.03786533585669945,0.03786533585669945,0.47694730339814984,0.47694730339814984
