bucket,quotes,baseline_RMSE,selected_RMSE,improvement_percent
7–30d,1282,6.888453925639554e-06,7.003593517366619e-06,-1.6714867076123463
30–90d,969,8.978768624278268e-06,8.590274317507214e-06,4.326810535250669
90–365d,1234,1.1080981665143461e-05,1.0504757096345724e-05,5.200122030797328
365–730d,611,1.6617210507060805e-05,1.3278126190240503e-05,20.094132618717765
ATM |x|≤.02,228,1.3436674457296805e-05,1.2336698560093963e-05,8.186370077645954
wings |x|>.15,2388,9.440946608040477e-06,8.435494095173855e-06,10.649912075663249
