instrument,expiry,strike,cp,ts,tau,price_btc,mark_btc,trade_iv,index,k_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
BTC-28MAY21-25000-P,2021-05-28,25000.0,P,1621836789181,0.011162189846524607,0.006,0.00608409,2.2033,35264.48,0.7087910979674887,1.0001940577129875,35299.03976731069,0.7082345628889231,0.3449799366418804,True,0.29776543711107695,0.29784952711107704,2.207379465544719,4.074199293981481,0.011796744604052905,False,False,2021-05-24
BTC-28MAY21-28000-P,2021-05-28,28000.0,P,1621839658884,0.011071192161339422,0.01,0.00899666,2.0339,36330.94,0.7696638343554112,1.0013371217164593,36366.54491555749,0.7699384163388503,0.26144474611359464,True,0.2400615836611497,0.2390582436611497,2.0318060731160323,4.040985138888889,0.01733802181270968,True,False,2021-05-24
BTC-28MAY21-30000-P,2021-05-28,30000.0,P,1621842891772,0.010968677955352613,0.012,0.0124472,1.8056,36790.65,0.8143330300246833,1.0013404112613327,36826.70543887813,0.814626224162014,0.20502589160000018,True,0.197373775837986,0.19782097583798597,1.8033360468370785,4.003567453703703,0.02082733027656193,False,False,2021-05-24
BTC-28MAY21-32000-P,2021-05-28,32000.0,P,1621842502319,0.010981027428970065,0.0195,0.02079902,1.6278,36582.58,0.8740652641085064,1.0007642570969018,36618.43152687421,0.8738768610696843,0.13481580447732,True,0.14562313893031575,0.1469221589303158,1.6293903278498745,4.008075011574074,0.02851003167197299,True,False,2021-05-24
BTC-28MAY21-34000-P,2021-05-28,34000.0,P,1621840039884,0.011059110730593607,0.0335,0.03442609,1.5315,36506.05,0.9311121759014255,1.0002580769080873,36541.82652622221,0.9304406274164152,0.0720970121183851,True,0.10305937258358489,0.10398546258358476,1.5380781263841672,4.0365754166666665,0.036521708051764364,False,False,2021-05-24
BTC-28MAY21-35000-P,2021-05-28,35000.0,P,1621841914585,0.01099966435185185,0.04,0.04008154,1.4852,36702.97,0.9530341548636935,1.0005950969315214,36738.939511043725,0.9526676726604751,0.048489153184285684,True,0.0873323273395249,0.08741386733952494,1.4890562467993262,4.014877488425926,0.03879832447879357,True,False,2021-05-24
BTC-28MAY21-36000-P,2021-05-28,36000.0,P,1621843158533,0.010960219019533231,0.0485,0.04911494,1.4139,36758.83,0.979048487055401,1.000314629587678,36794.85425475757,0.9783976789456967,0.02183906690788294,True,0.07010232105430325,0.0707172610543032,1.421430694886546,4.00047994212963,0.040756641445631535,False,False,2021-05-24
BTC-28MAY21-38000-C,2021-05-28,38000.0,C,1621842721486,0.010974077688990362,0.043,0.04328554,1.3471000000000002,36821.38,1.0308774830602616,1.001097742211185,36857.46555478086,1.0309987251706443,-0.030527968536138216,True,0.043,0.04328554,1.3482354472349622,4.005538356481482,0.041351880589488826,True,False,2021-05-24
BTC-28MAY21-40000-C,2021-05-28,40000.0,C,1621842483183,0.010981634227549466,0.0215,0.02217172,1.291,36534.41,1.0937834812875178,1.0009826106612714,36570.214319486164,1.0937863161137205,-0.08964536144244263,True,0.0215,0.02217172,1.2910188274367511,4.008296493055555,0.03502479256893463,False,False,2021-05-24
BTC-28MAY21-42000-C,2021-05-28,42000.0,C,1621842601284,0.010977889269406392,0.013,0.01231891,1.3374000000000001,36576.13,1.1469819305259437,1.0011403417894498,36611.97520576868,1.1471656408579227,-0.13729423997704102,True,0.013,0.01231891,1.3383770439502487,4.006929583333333,0.027654246040098345,True,False,2021-05-24
BTC-28MAY21-44000-C,2021-05-28,44000.0,C,1621842159967,0.010991883339675292,0.008,0.00778097,1.364,36797.04,1.194626676766191,1.0009389350895554,36833.10170118267,1.1945776480341108,-0.17779269030401115,True,0.008,0.00778097,1.363780425989639,4.012037418981482,0.021046968818756437,False,False,2021-05-24
BTC-28MAY21-45000-C,2021-05-28,45000.0,C,1621842746926,0.010973270991882294,0.006,0.00613481,1.3617,36907.63,1.2178252876327864,1.0011781615290498,36943.80008119187,1.2180663575783466,-0.1972646485740815,True,0.006,0.00613481,1.362695068895741,4.005243912037037,0.017706038813743438,True,False,2021-05-24
BTC-28MAY21-48000-C,2021-05-28,48000.0,C,1621842065551,0.010994877251395231,0.0035,0.0036779,1.5162,36722.84,1.3056530086900429,1.001099404578817,36758.828983968786,1.3058087356627628,-0.266822569641389,True,0.0035,0.0036779,1.5167265855195178,4.013130196759259,0.011664236455967762,False,False,2021-05-24
BTC-28MAY21-50000-C,2021-05-28,50000.0,C,1621839595311,0.011073208047945206,0.002,0.00211924,1.584,36200.69,1.3792754929924123,1.0013874313704403,36236.16726842666,1.3798368803636156,-0.32196528954757014,True,0.002,0.00211924,1.5856217452696093,4.0417209375,0.0076368197368589285,True,False,2021-05-24
BTC-28MAY21-54000-C,2021-05-28,54000.0,C,1621840218708,0.011053440258751903,0.0015,0.00100346,1.7612,36645.54,1.471788991801782,1.001214392021605,36681.4532287042,1.4721336055940002,-0.38671278085765814,True,0.0015,0.00100346,1.7620789506311556,4.034505694444444,0.0057354670366014365,False,False,2021-05-24
BTC-28MAY21-56000-C,2021-05-28,56000.0,C,1621841250524,0.011020721588026383,0.0015,0.00127447,1.9227,36416.47,1.5358600785787495,1.0012407791292683,36452.15873635672,1.5362601815992483,-0.4293510094427837,True,0.0015,0.00127447,1.9236633233708862,4.02256337962963,0.005388730625336717,True,False,2021-05-24
BTC-28MAY21-60000-C,2021-05-28,60000.0,C,1621843195461,0.010959048040334854,0.001,0.00092708,2.0353,36759.63,1.6314339231522141,1.0004851121442877,36795.65503877066,1.6306273101207058,-0.4889647936166025,True,0.001,0.00092708,2.033572765341746,4.000052534722222,0.0037927581706592773,False,False,2021-05-24
BTC-28MAY21-65000-C,2021-05-28,65000.0,C,1621840959253,0.011029957730847285,0.0005,0.00033641,2.1465,36446.45,1.7801453421283735,1.001849904989284,36482.16811724717,1.7816923542236198,-0.5775636734170057,True,0.0005,0.00033641,2.1492761459493286,4.025934571759259,0.002104685749907593,True,False,2021-05-24
BTC-4JUN21-20000-P,2021-06-04,20000.0,P,1621841194108,0.03020059271943176,0.005,0.00565533,2.0541,36429.24,0.5487095309061522,1.000546739177002,36436.11293951147,0.5489059723028775,0.5998281229919941,True,0.4560940276971224,0.45674935769712244,2.0530388935929764,11.023216342592592,0.012302602190657295,False,True,2021-05-24
BTC-4JUN21-25000-P,2021-06-04,25000.0,P,1621840436531,0.030224615328513445,0.0135,0.01380388,1.7915999999999999,36584.23,0.6820795517176445,1.001869279753927,36591.13218077193,0.6832256481294972,0.3809300960392776,True,0.3302743518705029,0.33057823187050284,1.7855009044884766,11.031984594907408,0.026676536963068483,True,True,2021-05-24
BTC-4JUN21-26000-P,2021-06-04,26000.0,P,1621839542532,0.030252963850837138,0.018,0.01875065,1.7050999999999998,35810.28,0.7264572399943816,0.9994373485922906,35817.03616313513,0.7259115433666349,0.3203271126733593,True,0.29208845663336513,0.2928391066333652,1.7080411254322738,11.042331805555555,0.03269591493869399,False,True,2021-05-24
BTC-4JUN21-28000-P,2021-06-04,28000.0,P,1621842575606,0.030156785705225772,0.022,0.02270928,1.6122,36604.66,0.7649982441028852,0.9999106999043935,36611.56603520738,0.7647856410478017,0.268159692201788,True,0.25721435895219835,0.2579236389521983,1.6133593648825617,11.007226782407407,0.037947574357532925,True,True,2021-05-24
BTC-4JUN21-30000-P,2021-06-04,30000.0,P,1621842890986,0.030146785071029934,0.0305,0.03095501,1.5361000000000002,36789.99,0.8149742061665052,1.0005705621847822,36796.93100057804,0.8152853834339807,0.204217063311607,True,0.21521461656601926,0.2156696265660193,1.534327156513782,11.003576550925926,0.046209310142078755,False,True,2021-05-24
BTC-4JUN21-31000-P,2021-06-04,31000.0,P,1621836034123,0.030364214770421106,0.0485,0.048516,1.5059,35369.54,0.8773335742604903,0.999004702953171,35376.213010718,0.876295040133546,0.1320524409459974,True,0.172204959866454,0.17222095986645403,1.5123966690496193,11.082938391203704,0.05690181715095758,True,True,2021-05-24
BTC-4JUN21-32000-P,2021-06-04,32000.0,P,1621842867408,0.030147532724505325,0.044,0.04306285,1.4775,36770.77,0.86984334950375,1.0004749210481843,36777.707374427795,0.8700923000504969,0.1391559809488018,True,0.17390769994950317,0.17297054994950323,1.4759733404735003,11.003849444444443,0.05530040415311787,False,True,2021-05-24
BTC-4JUN21-33000-P,2021-06-04,33000.0,P,1621840647239,0.03021793382166413,0.053,0.05421733,1.4144999999999999,36423.5,0.90440589998719,1.0017719737861228,36430.3718565717,0.9058375832649402,0.09889525692906385,True,0.1471624167350597,0.14837974673505971,1.4052824828977732,11.029545844907409,0.06035861489152932,True,True,2021-05-24
BTC-4JUN21-34000-P,2021-06-04,34000.0,P,1621840156836,0.030233484398782345,0.0605,0.06265134,1.3732,36594.56,0.929097738698215,1.0000022663387789,36601.464129686174,0.9289245883588516,0.0737277185343768,True,0.1315754116411484,0.13372675164114833,1.374362777085518,11.035221805555556,0.06329581082000207,False,True,2021-05-24
BTC-4JUN21-35000-P,2021-06-04,35000.0,P,1621840040184,0.030237183409436832,0.073,0.07422309,1.3600999999999999,36505.82,0.9587129715881095,1.000039910951088,36512.7073875128,0.9585703856068987,0.04231228611280799,True,0.11442961439310129,0.11565270439310138,1.3611224047628099,11.036571944444443,0.06637610549028317,True,True,2021-05-24
BTC-4JUN21-36000-C,2021-06-04,36000.0,C,1621837606012,0.030314370497209538,0.084,0.08558967,1.3151,35427.27,1.0162260422249643,0.999941270701133,35433.9539023753,1.0159746806462586,-0.015848428222005047,True,0.084,0.08558967,1.313553515091815,11.064745231481481,0.06938946709320332,False,True,2021-05-24
BTC-4JUN21-36000-P,2021-06-04,36000.0,P,1621842469216,0.030160159309994924,0.0835,0.08365525,1.3262,36554.75,0.9846383664070681,1.0001886654651997,36561.64661891401,0.9846383664070681,0.015480845926180821,True,0.09886163359293176,0.09901688359293193,1.3262000000000003,11.008458148148147,0.06814037427979151,True,True,2021-05-24
BTC-4JUN21-37000-C,2021-06-04,37000.0,C,1621843162505,0.030138175260020293,0.0895,0.08771303,1.3334000000000001,36741.3,1.005886652843377,1.0011477136252778,36748.23181445654,1.006851164616971,-0.006827802035228162,True,0.0895,0.08771303,1.3395936689288783,11.000433969907407,0.06899664835013075,False,True,2021-05-24
BTC-4JUN21-38000-C,2021-06-04,38000.0,C,1621841401487,0.03019401677447996,0.071,0.07073706,1.3096,36260.72,1.047241631019787,1.0006916476576373,36267.56114560728,1.0477682755517337,-0.04666245033542597,True,0.071,0.07073706,1.3124633384147417,11.020816122685185,0.06903812520138787,True,True,2021-05-24
BTC-4JUN21-39000-C,2021-06-04,39000.0,C,1621841133885,0.030202502378234398,0.061,0.06064771,1.2902,36384.22,1.0716080922989042,1.000266107102263,36391.08444579223,1.0716910637300183,-0.0692378342957963,True,0.061,0.06064771,1.2906111407681409,11.023913368055554,0.0680053458261757,False,True,2021-05-24
BTC-4JUN21-40000-C,2021-06-04,40000.0,C,1621842732316,0.030151816463723998,0.0545,0.05434755,1.2570000000000001,36892.57,1.0844409709137723,0.9998046774007632,36899.53035388146,1.0840246370721733,-0.08068063068553823,True,0.0545,0.05434755,1.2550367339571478,11.005413009259259,0.06694927151535188,True,True,2021-05-24
BTC-4JUN21-41000-C,2021-06-04,41000.0,C,1621841937982,0.03017700462962963,0.0455,0.04489569,1.265,36700.0,1.1171721847024063,0.9999946542095944,36706.92402257283,1.116955481608515,-0.11060666397367427,True,0.0455,0.04489569,1.264088637519791,11.014606689814816,0.06412932759501058,False,True,2021-05-24
BTC-4JUN21-44000-C,2021-06-04,44000.0,C,1621840047952,0.030236937087772704,0.0265,0.02574005,1.2607,36551.1,1.2040393710344364,0.9997963266136448,36557.99593028506,1.203567068717514,-0.1852897047459989,True,0.0265,0.02574005,1.2591858555500426,11.036482037037038,0.05288204632212129,True,True,2021-05-24
BTC-4JUN21-45000-C,2021-06-04,45000.0,C,1621840431980,0.030224759639776763,0.0215,0.02188781,1.2364,36584.44,1.228051118885342,1.001612318145356,36591.34222039167,1.229799107367052,-0.20685082870110286,True,0.0215,0.02188781,1.2415873674778357,11.032037268518518,0.04831335023488174,False,True,2021-05-24
BTC-4JUN21-46000-C,2021-06-04,46000.0,C,1621836030475,0.030364330447742265,0.0135,0.01428117,1.2472,35379.75,1.3015236868544127,0.9989666632374874,35386.4249369924,1.2999335220188446,-0.2623131262513737,True,0.0135,0.01428117,1.2432743721615105,11.082980613425926,0.03785824870433864,True,True,2021-05-24
BTC-4JUN21-48000-C,2021-06-04,48000.0,C,1621837117690,0.030329855086250634,0.0095,0.00964919,1.2631000000000001,35314.71,1.358661137064133,1.000401743756354,35321.37266619054,1.3589505836489018,-0.3067127722186271,True,0.0095,0.00964919,1.263729949148896,11.070397106481481,0.030484778845625102,False,True,2021-05-24
BTC-4JUN21-58000-C,2021-06-04,58000.0,C,1621839653454,0.030249446537290715,0.003,0.00286344,1.3838,36317.28,1.5955412691633224,1.0009367555904864,36324.13181652599,1.5967346526810142,-0.4679607018154454,True,0.003,0.00286344,1.385570360110303,11.041047986111112,0.013209720512823231,True,True,2021-05-24
BTC-4JUN21-60000-C,2021-06-04,60000.0,C,1621839655486,0.030249382102993404,0.0025,0.00223471,1.4240000000000002,36311.59,1.6519503092181385,1.0002510241856235,36318.440743019484,1.6520533032942,-0.5020189404948388,True,0.0025,0.00223471,1.4241429697692114,11.041024467592592,0.01134847493486324,False,True,2021-05-24
BTC-4JUN21-70000-C,2021-06-04,70000.0,C,1621839790301,0.030245107147387113,0.001,0.00148888,1.5652000000000001,36317.12,1.9252443255651515,1.0011537696378574,36323.97178633951,1.9271020364112592,-0.6560173389443694,True,0.001,0.00148888,1.5671377671715545,11.039464108796297,0.005266919610716496,True,True,2021-05-24
BTC-4JUN21-75000-C,2021-06-04,75000.0,C,1621843177275,0.030137706906392694,0.001,0.00073196,1.6815,36761.15,2.0377025092490357,1.0012243291771952,36768.085559466024,2.0398124857140156,-0.7128578848636968,True,0.001,0.00073196,1.6835555816132377,11.000263020833334,0.004998314333369029,False,True,2021-05-24
BTC-4JUN21-80000-C,2021-06-04,80000.0,C,1621839514936,0.030253838914256724,0.001,0.00066885,1.8619999999999999,35772.04,2.237694038879404,0.9994143348726993,35778.788948567744,2.2359616507702524,-0.8046714043274629,True,0.001,0.00066885,1.8604950038194632,11.042651203703704,0.004652912579432854,True,True,2021-05-24
BTC-11JUN21-28000-P,2021-06-11,28000.0,P,1621837944677,0.04948171369228818,0.0435,0.0442072,1.5244,35363.61,0.7914391692194934,1.0004235321963602,35402.91728561001,0.7908952749320738,0.23458971576709645,True,0.2526047250679263,0.2533119250679262,1.527073169687802,18.060825497685187,0.061286392314584846,False,False,2021-05-24
BTC-11JUN21-30000-P,2021-06-11,30000.0,P,1621838356098,0.04946866761796043,0.0545,0.05518282,1.4653,35822.32,0.8370622611488077,1.0004831607049918,35862.137149987044,0.8365368710328196,0.1784846817826971,True,0.2179631289671804,0.21864594896718037,1.4679714329008764,18.056063680555557,0.06896657959415338,True,False,2021-05-24
BTC-11JUN21-34000-P,2021-06-11,34000.0,P,1621842084746,0.04935043296549974,0.0805,0.08040186,1.3618000000000001,36875.43,0.9216786409673756,1.0003737806159942,36916.417700605285,0.9209994392127201,0.08229585161657031,True,0.15950056078727992,0.15940242078727995,1.3655919397431828,18.012908032407406,0.08104181458320797,False,False,2021-05-24
