instrument,expiry,strike,cp,ts,tau,price_btc,mark_btc,trade_iv,index,k_solved,ratio,forward,k,x,otm,c,c_mark,market_iv,days,vega_w,heldout_A,heldout_B,date
BTC-24MAR23-18500-P,2023-03-24,18500.0,P,1679121405157,0.016596741596905124,0.0005,0.00072615,1.3418,27546.46,0.6706385085684404,1.0014227320615638,27582.61828426226,0.6707122510757253,0.39941506993960796,True,0.32978774892427465,0.3300138989242747,1.3414683887396048,6.05781068287037,0.002901824023830297,False,False,2023-03-18
BTC-24MAR23-19000-P,2023-03-24,19000.0,P,1679121421157,0.016596234240233383,0.0005,0.00072612,1.2612999999999999,27548.28,0.6887490420761657,1.0013781355465952,27584.440673247173,0.6887941004519693,0.37281289087049685,True,0.31170589954803063,0.3119320195480306,1.261101921024585,6.057625497685184,0.0030552930299181367,True,False,2023-03-18
BTC-24MAR23-21500-P,2023-03-24,21500.0,P,1679124487223,0.01649900992516489,0.0015,0.00175827,1.0478,27523.63,0.779810523777299,1.0017138006199897,27559.75831694052,0.7801229514695821,0.24830374163160893,True,0.22137704853041795,0.22163531853041796,1.0463696485743617,6.022138622685185,0.008196204196003523,False,False,2023-03-18
BTC-24MAR23-23000-P,2023-03-24,23000.0,P,1679125203565,0.016476294869355656,0.003,0.00276583,0.9158,27480.9,0.8362909610813413,1.0007819904930395,27516.972228300216,0.8358477745725719,0.17930877030928924,True,0.16715222542742803,0.1669180554274281,0.9179657468653359,6.0138476273148145,0.014682239155970585,True,False,2023-03-18
BTC-24MAR23-23500-P,2023-03-24,23500.0,P,1679124652774,0.016493760337392187,0.003,0.00328491,0.8301999999999999,27484.09,0.8537761787093512,1.0014804294739963,27520.16641558696,0.8539192548882988,0.1579186389747606,True,0.1490807451117011,0.1493656551117013,0.8295055080019,6.020222523148148,0.015758086454954162,False,False,2023-03-18
BTC-24MAR23-24000-P,2023-03-24,24000.0,P,1679125281408,0.016473826484018263,0.0045,0.00446523,0.821,27499.81,0.8722093551935879,1.0006007128039747,27535.90705011599,0.8715892291588376,0.13743703353869557,True,0.13291077084116232,0.13287600084116247,0.8242121317879078,6.012946666666666,0.020527814800354142,True,False,2023-03-18
BTC-24MAR23-24500-P,2023-03-24,24500.0,P,1679126153828,0.01644616222729579,0.006,0.00633663,0.7737,27416.91,0.8935089073675607,1.0001121228764667,27452.898233165815,0.8924376505501914,0.113798627096136,True,0.11356234944980859,0.11389897944980865,0.7795647200999974,6.002849212962963,0.025254024853238036,False,False,2023-03-18
BTC-24MAR23-25000-P,2023-03-24,25000.0,P,1679126366604,0.016439415144596653,0.0075,0.00822975,0.7269,27427.9,0.911558349944404,0.9999147566094503,27463.90265895933,0.9102857780427083,0.09399668696687369,True,0.09721422195729179,0.09794397195729165,0.7342392719706262,6.000386527777779,0.029612902700715118,True,False,2023-03-18
BTC-24MAR23-26000-P,2023-03-24,26000.0,P,1679125970219,0.016451984430492138,0.015,0.0152757,0.7062,27428.22,0.9475813169263068,1.0003667179502767,27464.223079000636,0.9466861642221297,0.05478764069779797,True,0.0683138357778702,0.06858953577787019,0.712449975833888,6.00497431712963,0.041554242743426416,False,False,2023-03-18
BTC-24MAR23-26500-P,2023-03-24,26500.0,P,1679125692369,0.016460794996194825,0.0205,0.02054651,0.7056,27462.87,0.964500523604873,1.0004548296177236,27498.91856159802,0.9636742601582522,0.03700194587430042,True,0.05682573984174777,0.05687224984174777,0.7120356814959605,6.008190173611111,0.04624055282890459,True,False,2023-03-18
