arm,parameters_per_seed,price_RMSE,training_seconds_mean,peak_RSS_MB,inference_1024_ms_per_seed,inference_single_ms_per_seed,throughput_per_seed,inverse_RMSE_per_million_parameters,inverse_RMSE_per_incremental_training_minute
BASELINE,275684,1.0705229530339554e-05,45.79010112499964,,11.140823000033606,0.5697707499621174,92009.84994365188,338838.2695228595,122400.6331501292
A0_CONTINUE,275684,1.0370828797380178e-05,101.87377989599918,825.890625,10.81811424998591,0.4292499999678512,94670.03044353962,349763.8925272383,56790.45719865312
CONTROL_PLAIN,322277,1.032171517772799e-05,153.2850083960002,1046.25,15.109146000042983,0.6753645000117103,67841.56784937528,300620.6551819032,37922.73904820543
ARCH_A_MODIFIED_MLP,320805,9.872901163701697e-06,168.43369572899996,1644.703125,16.71742675000587,0.6495727499213899,61253.93272715881,315728.71506750537,36080.910057402
ARCH_B_MODIFIED_MLP_GRADBAL,320805,1.1617976575636942e-05,168.23804706300007,1644.734375,16.69833349990313,0.6590624999489592,61324.580458219425,268304.75841556943,30697.042503569308
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,320805,1.2044975535929115e-05,171.34191435399998,1657.984375,16.741396000043096,0.6830622499478523,61166.27636452121,258793.2527638435,29072.45542315256
