feature,minimum,maximum,std
0,-0.9998929175017911,0.9998499215662541,0.5773505565235816
1,-0.9479363005561492,0.9472163318052828,0.31635288497412345
2,-0.99991876902963,0.9999181428269498,0.7040742084785182
3,-0.9998428664013992,0.9997545736592228,0.5773502438474137
4,-3.468946430572887,0.699022408597596,1.2035203524901343
5,-0.15797916039937976,-0.15797916039937976,3.913536161803677e-15
6,-0.6545150479296522,0.23896910300883856,0.24397464407311223
7,0.7009,0.7009,2.786659791809143e-14
8,0.018206552638286022,0.955990034751445,0.29921652395376774
9,0.015979911791750366,0.3274105426253098,0.07584914514790615
10,0.011200320174837831,0.2294820493260796,0.053162665834167455
11,-0.9962276339517514,0.8126280302905542,0.5028522582223814
12,-0.6965712064531111,-0.6965712064531109,1.3601167309823421e-14
13,-2.353976110337433,0.8172923630481101,0.9155718596335254
14,0.9499048850482823,0.9499048850482823,5.96189764223709e-14
15,-0.5074982526602616,0.38598589827822893,0.24397464407311223
16,-0.8916,-0.8916,4.873879078104437e-14
17,0.2034122754773093,1.0,0.27040966174346615
18,0.1112213916336288,0.9828630773519943,0.2299451565884717
19,-0.8763207197670381,-0.09916499278054344,0.2050191016142816
20,-0.9806509281664794,0.7958574091314069,0.5015142844912746
21,-0.4851117942956852,-0.48511179429568485,4.706354689736204e-14
22,-0.9984374578490871,0.9875832524633448,0.6856349557130229
23,-0.6095782758754552,0.6080008334055567,0.33110302442401573
