bucket,count,price_RMSE,price_max,PDE_RMSE
short,2566,7.886031101704822e-06,9.034736614725591e-05,0.05630658026187232
medium,4404,1.2457904133652776e-05,6.45078124654197e-05,0.01608673131518693
long,1222,1.8852290730897153e-05,0.0001378414659702898,0.016639948591453728
ATM,454,1.4632629584413723e-05,5.7085695632945466e-05,0.008943149114941942
wings,4780,1.1232198866908904e-05,0.0001378414659702898,0.043535941076447884
fast_heavy,5280,1.2063354024141602e-05,9.034736614725591e-05,0.03677062385957119
slow_heavy,2912,1.32211807060932e-05,0.0001378414659702898,0.02914997068415267
