arm,metric,mean,std,best,worst
A0_CONTINUE,price_RMSE,1.2167514691935262e-05,1.0705147827105395e-06,1.1410546429720197e-05,1.2924482954150328e-05
A0_CONTINUE,IV_RMSE_volatility_points,0.11898350619584136,0.0009398993356163518,0.1183188970019943,0.1196481153896884
A0_CONTINUE,price_P95,2.6410068871709916e-05,3.1383756481692156e-06,2.4190902168978737e-05,2.8629235574441095e-05
A0_CONTINUE,price_max,0.00012665428672645,2.4496473566670894e-05,0.0001093326641523,0.0001439759093006
A0_CONTINUE,PDE_RMSE,0.03426496486550115,0.004832309339437511,0.0308480061627938,0.0376819235682085
ARCH_A_MODIFIED_MLP,price_RMSE,1.1702425485090036e-05,1.0036914329599713e-06,1.0992708466625197e-05,1.2412142503554874e-05
ARCH_A_MODIFIED_MLP,IV_RMSE_volatility_points,0.1172673060546214,9.524736436183825e-05,0.117199955997391,0.1173346561118518
ARCH_A_MODIFIED_MLP,price_P95,2.4694529623660037e-05,2.4211581163718478e-06,2.2982512301248655e-05,2.640654694607142e-05
ARCH_A_MODIFIED_MLP,price_max,0.00012207908856270001,2.285471206184984e-05,0.0001059183666817,0.0001382398104437
ARCH_A_MODIFIED_MLP,PDE_RMSE,0.03548966644095475,0.006621281228938978,0.0308077135838288,0.0401716192980807
ARCH_B_MODIFIED_MLP_GRADBAL,price_RMSE,1.4513769294971975e-05,3.0592128796746604e-07,1.4297450277740856e-05,1.4730088312203092e-05
ARCH_B_MODIFIED_MLP_GRADBAL,IV_RMSE_volatility_points,0.11200822743682125,0.00044253398474238784,0.1116953086553044,0.1123211462183381
ARCH_B_MODIFIED_MLP_GRADBAL,price_P95,3.132450348837827e-05,4.475588571761627e-08,3.129285629808933e-05,3.1356150678667205e-05
ARCH_B_MODIFIED_MLP_GRADBAL,price_max,0.00013747119667409998,9.312256360984926e-06,0.0001308864370531,0.0001440559562951
ARCH_B_MODIFIED_MLP_GRADBAL,PDE_RMSE,0.037439683939713544,0.004993455298577787,0.0339087778365373,0.0409705900428898
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,price_RMSE,1.4866508596654597e-05,5.311164384723025e-07,1.4490952561411184e-05,1.524206463189801e-05
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,IV_RMSE_volatility_points,0.11219769859606875,0.0015142261070769873,0.1111269790475049,0.1132684181446326
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,price_P95,3.237002271908301e-05,1.5022053384824925e-06,3.1307803137507403e-05,3.343224230065861e-05
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,price_max,0.00012940418006785,1.303784977267502e-05,0.0001201850280815,0.0001386233320542
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,PDE_RMSE,0.0372375866693932,0.0062806617058101125,0.0327964881868762,0.0416786851519102
BASELINE,price_RMSE,1.2442675755985617e-05,1.4904474014525505e-06,1.138877029141665e-05,1.3496581220554584e-05
BASELINE,IV_RMSE_volatility_points,0.11954210530436946,0.0012316141162321832,0.1186712226109766,0.1204129879977623
BASELINE,price_P95,2.672178807870164e-05,3.365941420863096e-06,2.434170807493266e-05,2.9101868082470617e-05
BASELINE,price_max,0.000123331089851,2.0520770702907313e-05,0.0001088207137318,0.0001378414659702
BASELINE,PDE_RMSE,0.03407652148002805,0.004959212991665286,0.0305698283442731,0.037583214615783
CONTROL_PLAIN,price_RMSE,1.2095645903286936e-05,1.3045272843930102e-06,1.1173205814249767e-05,1.3018085992324106e-05
CONTROL_PLAIN,IV_RMSE_volatility_points,0.11932846103079464,0.0009538997097407327,0.1186539520774651,0.1200029699841242
CONTROL_PLAIN,price_P95,2.601842128227333e-05,3.519751218941199e-06,2.352958132727039e-05,2.8507261237276267e-05
CONTROL_PLAIN,price_max,0.0001303792001872,1.1447928041245035e-05,0.0001222842926387,0.0001384741077357
CONTROL_PLAIN,PDE_RMSE,0.033936585376784595,0.004885366608066436,0.0304821095196385,0.0373910612339307
