arm,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes,parameters_per_seed,ensemble_parameters,PDE_RMSE,PDE_mean_signed,PDE_mean_absolute,PDE_median,PDE_P95,PDE_max,convexity_violation_percent,monotonicity_violation_percent,legacy_PDE_RMSE_mean,training_seconds_mean,peak_RSS_MB,inference_1024_ms_per_seed,inference_single_ms_per_seed,throughput_per_seed,passes_four_gates,passes_inherited_PDE_guard,improves_baseline_price,eligible
BASELINE,1.0705229530339554e-05,6.724994487501235e-06,2.2330423591684174e-05,0.00012333108985107533,1.0705229530339554e-05,0.11590696954603627,3789,4096,275684,551368,0.03407652148002806,-0.002106920307911023,0.014234773870507974,0.005782251691839079,0.05220065427397236,0.8109148095788209,1.03759765625,0.03662109375,0.021018997025211504,45.79010112499964,,11.140823000033606,0.5697707499621174,92009.84994365188,True,True,False,False
A0_CONTINUE,1.0370828797380178e-05,6.550943033603207e-06,2.1669475671677596e-05,0.0001247278811715158,1.0370828797380178e-05,0.11526845352324022,3789,4096,275684,551368,0.034264964865501166,-0.002127466915186017,0.014424664574934843,0.005822188621179291,0.052950313997339696,0.807816178405361,1.025390625,0.03662109375,0.02076147213233996,101.87377989599918,825.890625,10.81811424998591,0.4292499999678512,94670.03044353962,True,True,True,True
CONTROL_PLAIN,1.032171517772799e-05,6.531676993342625e-06,2.1468828480048635e-05,0.0001189124284477483,1.032171517772799e-05,0.11573689117897457,3789,4096,322277,644554,0.03393658537678468,-0.0020978641137399073,0.01420369397293611,0.005728309689215351,0.05229876606002702,0.8077863609373359,1.03759765625,0.03662109375,0.0209621282680543,153.2850083960002,1046.25,15.109146000042983,0.6753645000117103,67841.56784937528,True,True,True,True
ARCH_A_MODIFIED_MLP,9.872901163701695e-06,6.344315513928749e-06,2.056604462675332e-05,0.0001220790885627654,9.872901163701695e-06,0.11367441541576188,3789,4096,320805,641610,0.035489666440954803,-0.002402130751281319,0.01418551914419738,0.005658376505330184,0.051831989730683425,0.9273575204615285,1.03759765625,0.03662109375,0.020000570217088776,168.43369572899996,1644.703125,16.71742675000587,0.6495727499213899,61253.93272715881,True,True,True,True
ARCH_B_MODIFIED_MLP_GRADBAL,1.1617976575636942e-05,7.350137744972098e-06,2.4934168928150008e-05,0.00011933520727122615,1.1617976575636942e-05,0.10731338206328722,3791,4096,320805,641610,0.037439683939713614,-0.0007636254889019562,0.015500517543860979,0.0060639780671489524,0.05797208172066633,0.8467147941940253,1.13525390625,0.048828125,0.021835462953690207,168.23804706300007,1644.734375,16.69833349990313,0.6590624999489592,61324.580458219425,True,True,False,False
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,1.2044975535929115e-05,7.649970628302383e-06,2.5986807052350708e-05,0.00012130511240812658,1.2044975535929115e-05,0.1076383437735608,3792,4096,320805,641610,0.037237586669393224,-0.0008484663297867933,0.015860278508567225,0.006203150716800214,0.06012512092077128,0.8273576458853967,1.123046875,0.048828125,0.022873162175634,171.34191435399998,1657.984375,16.741396000043096,0.6830622499478523,61166.27636452121,True,True,False,False
