arm,seed,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes,PDE_RMSE,PDE_mean_signed,PDE_mean_absolute,PDE_median,PDE_P95,PDE_max,convexity_violation_percent,monotonicity_violation_percent
A0_CONTINUE,17,1.1206105837235708e-05,7.113040711144743e-06,2.3854482332055066e-05,0.00013252286354448195,1.1206105837235708e-05,0.11861497870926561,3790,4096,0.029875044372979588,-0.0009398417148984133,0.01230094745447735,0.005333881529018656,0.04244722249189962,0.5773564727194427,1.3671875,0.048828125
A0_CONTINUE,43,1.3180273742357118e-05,8.376807954350112e-06,2.8356284007342164e-05,0.00010377999504523894,1.3180273742357118e-05,0.12013082719304032,3788,4096,0.03687048826387716,-0.0014522692556039308,0.01563188915033826,0.006103756763793628,0.059392102601145025,1.0247653024727528,0.7080078125,0.0244140625
CONTROL_PLAIN,17,1.1121975064657194e-05,7.057842107636147e-06,2.4144872991008724e-05,0.00012543462109282366,1.1121975064657194e-05,0.11868777497032121,3790,4096,0.02996909903011428,-0.0008193416923185119,0.012366331445264545,0.00531710888068726,0.04251052911369055,0.5764795895776761,1.3671875,0.048828125
CONTROL_PLAIN,43,1.3005394711817438e-05,8.355608473257173e-06,2.8513539724047115e-05,0.00010385305350282814,1.3005394711817438e-05,0.12009220098630853,3788,4096,0.03674634941065889,-0.0013971228250304357,0.01565034339415146,0.00626138815155587,0.05959633119856054,1.024011507137373,0.7080078125,0.0244140625
ARCH_A_MODIFIED_MLP,17,1.0656753075078584e-05,6.819015043734049e-06,2.2519977780134127e-05,0.00011683599786860288,1.0656753075078584e-05,0.11676719989642019,3790,4096,0.0294245376607781,-0.0009323997923287214,0.012225699252109796,0.0052046796136352175,0.043455151251185486,0.5899307649713248,1.318359375,0.048828125
ARCH_A_MODIFIED_MLP,43,1.1660541122976599e-05,7.510858731437693e-06,2.4986381870399296e-05,7.875526475731309e-05,1.1660541122976599e-05,0.11768250092571782,3788,4096,0.03005431867466689,-0.0004887848472538696,0.014420502342347978,0.00596606510506786,0.05512889356417953,0.47390018790700494,0.7080078125,0.0244140625
ARCH_B_MODIFIED_MLP_GRADBAL,17,1.246034563054555e-05,7.959046208822707e-06,2.707664839375211e-05,8.943477921140308e-05,1.246034563054555e-05,0.1119465106027677,3795,4096,0.0307347935571453,0.0003649237552903643,0.01259819169184065,0.005238291410961856,0.04761751953099923,0.5310212387197013,1.4404296875,0.0732421875
ARCH_B_MODIFIED_MLP_GRADBAL,43,1.2314553061376646e-05,7.75358012403922e-06,2.7693547492235217e-05,9.334438677699453e-05,1.2314553061376646e-05,0.10974830017909641,3789,4096,0.035438130023601494,-0.00046599257220410407,0.014745630089505624,0.005686176100832836,0.05609146098206437,0.9740760277408492,0.8056640625,0.048828125
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,17,1.2629522930156189e-05,8.017824526053104e-06,2.7227004826818092e-05,9.672017204441496e-05,1.2629522930156189e-05,0.11245587590076073,3794,4096,0.02999777346660041,0.0007688892242417099,0.012542561841801886,0.005272042685071124,0.04682919584769689,0.5386935212159341,1.416015625,0.0732421875
ARCH_C_MODIFIED_MLP_GRADBAL_RAD,43,1.2765757686969995e-05,8.026444734502715e-06,2.8303625067577914e-05,9.801766607131501e-05,1.2765757686969995e-05,0.11054760981087919,3789,4096,0.03463561957031704,1.1023000944790015e-06,0.014767296067259107,0.005748035964415291,0.0544766180706515,0.923353451692817,0.78125,0.048828125
