method,seed,surface_id,parameter_range_scaled_rmse,noisy_price_rmse,clean_latent_price_rmse
model1,11,R2_FINAL_interior_train_008990,0.13082129460185066,0.0005553334841183699,0.0005231135285426712
model1,11,R2_FINAL_interior_train_008991,0.1758235448451472,0.0001552616459259661,0.00013551983011782684
model1,11,R2_FINAL_interior_train_008992,0.11481891567668083,0.0006859442954520904,0.0006817756700350596
model1,11,R2_FINAL_interior_train_008993,0.12078521539147774,0.000319794059478862,0.00029642562885907306
model1,11,R2_FINAL_interior_train_008995,0.1308502065728008,0.00023652119887420243,0.00023067417992940844
model1,11,R2_FINAL_interior_train_008996,0.10896046919828334,0.0007257177508273863,0.0006814211245017113
model1,11,R2_FINAL_interior_train_008997,0.1145924273468159,0.0006581743769944328,0.0006276714548914349
model1,11,R2_FINAL_interior_train_008998,0.14163199512850833,0.0005902039137423429,0.0004805245739705373
model1,11,R2_FINAL_interior_train_008999,0.12882608738687643,0.0005381340345564373,0.0005875830832707135
model1,11,R2_FINAL_interior_train_009000,0.1404003028849522,0.0006243821600686041,0.0005228175369935054
model1,11,R2_FINAL_interior_train_009001,0.1526442551157013,0.00034890180568949243,0.0003361708493507594
model1,11,R2_FINAL_interior_train_009002,0.13051178717704137,0.00012194433697334427,5.8622863270032555e-05
model1,11,R2_FINAL_interior_train_009003,0.1319081406508923,0.00013531282080373854,9.595352918914333e-05
model1,11,R2_FINAL_interior_train_009004,0.11468319109525146,0.0004104408728580181,0.00037767341987978825
model1,11,R2_FINAL_interior_train_009005,0.10794316103789255,0.0003542660735827491,0.0002965446609102619
model1,11,R2_FINAL_interior_train_009006,0.14303325192860072,0.0008476000648043709,0.0008875862963368402
model1,11,R2_FINAL_interior_train_009008,0.13453152782826494,0.0006063691068804734,0.000560455195941126
model1,11,R2_FINAL_interior_train_009009,0.14480574959230863,0.00043856580405379135,0.00039454452385937063
model1,11,R2_FINAL_interior_train_009010,0.11578182930843336,0.0006711357256208018,0.0006314124208930145
model1,11,R2_FINAL_interior_train_009011,0.09735271575015018,0.0008276176199847995,0.0008221372080342286
