epoch,train_total_loss,validation_total_loss,validation_parameter_loss,validation_physics_loss
1,100.55872068097514,8.56859016418457,8.56859016418457,0.001081525580957532
2,6.999271300531203,4.864107131958008,4.864107131958008,0.00042189814848825336
3,3.9478682087313746,3.7473862171173096,3.7473862171173096,0.00024740080698393285
4,3.1028700028696368,3.051797389984131,3.051797389984131,0.00018938035645987839
5,2.624477594129501,2.6184980869293213,2.6184980869293213,0.00014378599007613957
6,2.006348794506442,2.3054611682891846,2.3054611682891846,0.00010856601875275373
