model,symbol,selected_candidate,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow_training_median,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast_training_median,training_last_date
Double Heston,ADANIENSOL,training_half_a,4.75564960896903,0.3538489793353169,1.8215148980837872,0.5675245727714624,0.0453927680985835,9.917286823712145,0.2069070978124285,2.013533029466333,-0.7602140090570412,0.0934576440863146,2025-08-07
Double Heston,ADANIGREEN,training_half_a,3.813725157027662,0.1715702420143102,1.137861416054948,-0.9496814163301088,0.0299272019605521,3.927226552024502,0.8276564483437063,2.536068716770286,-7.207488593810168e-07,0.0953052043283242,2025-07-03
Double Heston,ADANIPOWER,full_start_3,4.998340010180476,0.8459356802109068,2.892499924300738,-0.531453049950275,0.0784820891185634,9.997613578496718,0.1537341665769181,1.2085561230230613,0.7870163459129911,0.2091728998934103,2026-05-07
Double Heston,CESC,training_half_a,0.0517037571728708,0.150342519173402,0.0135929193787164,-0.0011077073849227,0.0058430856522913,5.762405816904913,0.8479778786743382,3.109474955107853,-2.4089073266224397e-07,0.0241199648775787,2025-05-06
Double Heston,JSWENERGY,full_start_1,4.83019191457844,0.3360533535813503,1.7908560449276898,0.6501997997167203,0.0268028864474441,9.86991253243113,0.2352715560697138,2.142738344106523,-0.6914218395947501,0.0473848512511044,2025-06-06
Double Heston,NHPC,training_half_a,0.0635743970290944,0.1356286098207681,0.1299232266363663,-0.9448298070407706,0.0041136155859378,3.36002636682258,0.6606079986711142,2.095669534560627,-6.699927655969502e-06,0.0300679330417909,2025-10-20
Double Heston,NTPC,training_half_b,4.997312698820739,0.0811780092423029,0.8958525501710582,0.6506354102297093,0.0222215563085727,9.99745420959367,0.0664646484315502,1.1466572665025196,-0.6916158696602607,0.0302991090763977,2024-11-07
Double Heston,POWERGRID,full_start_3,4.9956169648869775,0.1537548478866967,1.2328279819856374,-0.7359503825732026,0.0118191424557147,5.113148374821945,0.1098494609270323,1.0542338522175214,0.6002215851696179,0.0131671413318059,2024-12-23
Double Heston,SJVN,full_start_1,1.063320341238336,0.1507939590797468,0.5632659417896362,-0.9496797432567452,0.0162401645596192,4.253820343611514,0.8429799372813612,2.663735822566794,-2.310263999169628e-06,0.0532979040652499,2025-06-04
Double Heston,TATAPOWER,full_start_1,0.0516648544064848,0.0309714472092593,0.0562528253407463,-0.9487302939923562,0.0061485801067216,9.99665115955824,0.1742630685395758,1.8566205157143831,-7.765159337658114e-07,0.0537491846251237,2024-10-30
Double Heston,TORNTPOWER,full_start_3,4.850333517784417,0.2546621340875742,1.5612423708624896,0.6416086206426084,0.0339450582731787,9.78159830681659,0.2099685726327492,2.0150335501855876,-0.6988371825944182,0.0396189802559428,2025-10-16
