generator_factors,case,model,parameter_index,truth,estimate,tolerance_error
1,0,single_sobolev_s17,0,6.185171462692928,6.216268794703129,0.10055447030942027
1,0,single_sobolev_s17,1,0.05647052738456106,0.05646171480808317,0.003121124199133821
1,0,single_sobolev_s17,2,0.48171660113151465,0.4857597723538076,0.1678651394947081
1,0,single_sobolev_s17,3,-0.611499171548695,-0.608922682665703,0.051529777659840015
1,0,single_sobolev_s17,4,0.08606608886409692,0.08611475439621817,0.011308875020009025
1,1,single_sobolev_s17,0,1.3537887854953985,1.3539633139873082,0.002578371069100276
1,1,single_sobolev_s17,1,0.08684160953499372,0.08675555321611081,0.019819144150761032
1,1,single_sobolev_s17,2,0.11616609086087774,0.12013090675673346,0.6826115721848715
1,1,single_sobolev_s17,3,0.12958461753734518,0.12842844583733237,0.023123434000256182
1,1,single_sobolev_s17,4,0.058793094126801386,0.05883139118082864,0.01302773891935599
1,2,single_sobolev_s17,0,0.6321081986206093,0.6299794786840905,0.06735302409188994
1,2,single_sobolev_s17,1,0.17817852518450475,0.17837756778031733,0.022341928760097968
1,2,single_sobolev_s17,2,0.2041394018642788,0.20425186635599124,0.011018401218516244
1,2,single_sobolev_s17,3,-0.249261670133491,-0.24824152230944097,0.020402956481000434
1,2,single_sobolev_s17,4,0.07601095411261626,0.07599338420662306,0.004622993145740805
1,3,single_sobolev_s17,0,0.3718185294721477,0.35882601405363335,0.6988632565977386
1,3,single_sobolev_s17,1,0.08883320119817313,0.08542969249746603,0.7662695151814694
1,3,single_sobolev_s17,2,0.07079269585538983,0.05497368579114422,4.469107970279739
1,3,single_sobolev_s17,3,-0.6198905011261733,-0.7999889999999936,3.601969977476407
1,3,single_sobolev_s17,4,0.17057561855222772,0.17055377256466686,0.002561443158908442
1,4,single_sobolev_s17,0,0.9550157773080161,0.9535858536870114,0.029945549696264465
1,4,single_sobolev_s17,1,0.04700393867362906,0.04700975374530882,0.0024742912376524103
1,4,single_sobolev_s17,2,0.14253834997513096,0.1446034477266621,0.28976029986195767
1,4,single_sobolev_s17,3,0.18879478658689575,0.1876268599518598,0.02335853270071908
1,4,single_sobolev_s17,4,0.08721665770646142,0.08720866957676167,0.0018317899148661322
1,5,single_sobolev_s17,0,3.281275405889037,3.3075297795168446,0.1600254192664706
1,5,single_sobolev_s17,1,0.04966221049639122,0.04964860999831801,0.005477202056561085
1,5,single_sobolev_s17,2,0.18306252757331454,0.1835157121593465,0.04951145294882623
1,5,single_sobolev_s17,3,-0.5336763958495363,-0.5334699322980456,0.0041292710298135304
1,5,single_sobolev_s17,4,0.05354961242085732,0.05357095080296764,0.007969574809476694
2,0,double_sobolev_s17,0,1.651636520704593,1.6038285182301175,0.5789167516601116
2,0,double_sobolev_s17,1,0.040915219502477784,0.04801819214228958,3.4720442545256995
2,0,double_sobolev_s17,2,0.1549064249572864,0.10750573520523636,6.119912684721788
2,0,double_sobolev_s17,3,-0.6764611031364377,-0.7999890000000001,2.470557937271247
2,0,double_sobolev_s17,4,0.026188154555693153,0.03146234489671634,4.02792058509263
2,0,double_sobolev_s17,5,4.449782664693375,4.544730516195955,0.4267527592119942
2,0,double_sobolev_s17,6,0.08222343018330798,0.07546192944056006,1.6446652073925665
2,0,double_sobolev_s17,7,0.5114443747453801,0.6001106529626402,3.4672892144488707
2,0,double_sobolev_s17,8,0.1851890456378179,0.18947244357493132,0.08566795874226818
2,0,double_sobolev_s17,9,0.013133378993701258,0.007865881185874711,8.021542377407714
2,0,deep11_s17,0,1.651636520704593,1.5780069871190703,0.8915948837715484
2,0,deep11_s17,1,0.040915219502477784,0.04677002171074592,2.8619190020053913
2,0,deep11_s17,2,0.1549064249572864,0.1171653987260362,4.872751564908537
2,0,deep11_s17,3,-0.6764611031364377,-0.7397618081811819,1.2660141008948833
2,0,deep11_s17,4,0.026188154555693153,0.031098915654469737,3.7503681966845677
2,0,deep11_s17,5,4.449782664693375,4.51710561325727,0.3025898280294278
2,0,deep11_s17,6,0.08222343018330798,0.07661653997981356,1.3638181211838234
2,0,deep11_s17,7,0.5114443747453801,0.589904750623533,3.068188047515979
2,0,deep11_s17,8,0.1851890456378179,0.19232162574608813,0.1426516021654045
2,0,deep11_s17,9,0.013133378993701258,0.008178621438410407,7.54528984150559
2,1,double_sobolev_s17,0,1.6697998237945209,1.4532019009701207,2.5942980678030523
2,1,double_sobolev_s17,1,0.05875533791601479,0.05032915505790585,2.868227179683104
2,1,double_sobolev_s17,2,0.2501557908806258,0.2956972405510404,3.641047005955339
2,1,double_sobolev_s17,3,0.0639549306610746,0.07644583356126589,0.24981805800382562
2,1,double_sobolev_s17,4,0.07921654929291927,0.06725206075227294,3.0207042966249906
2,1,double_sobolev_s17,5,4.549165673753501,5.004514057286318,2.001898441113975
2,1,double_sobolev_s17,6,0.04329494952330066,0.051969179470856275,4.007040101934884
2,1,double_sobolev_s17,7,0.40441133170652555,0.32629776437244545,3.8630751024932097
2,1,double_sobolev_s17,8,-0.3939462873968452,-0.3956245547513092,0.033565347089280495
2,1,double_sobolev_s17,9,0.03147183063508977,0.04345735289232627,7.616666724097801
2,1,deep11_s17,0,1.6697998237945209,1.5167073262536699,1.8336628781401754
2,1,deep11_s17,1,0.05875533791601479,0.050864252979670566,2.6860827343462086
2,1,deep11_s17,2,0.2501557908806258,0.3037973160259067,4.288649481704673
2,1,deep11_s17,3,0.0639549306610746,0.0675583964982619,0.07206931674374584
2,1,deep11_s17,4,0.07921654929291927,0.06829168586874297,2.758227547574535
2,1,deep11_s17,5,4.549165673753501,4.995534012364864,1.962418476806388
2,1,deep11_s17,6,0.04329494952330066,0.05137532811237192,3.7327118650282896
2,1,deep11_s17,7,0.40441133170652555,0.2857996506958994,5.865893050529089
2,1,deep11_s17,8,-0.3939462873968452,-0.4424295858794687,0.9696659696524701
2,1,deep11_s17,9,0.03147183063508977,0.042462921281666594,6.9847164431052935
2,2,double_sobolev_s17,0,1.2104475086328694,1.1198740672783718,1.4965281965311341
2,2,double_sobolev_s17,1,0.0309248168533984,0.031121808504385024,0.1274003671035322
2,2,double_sobolev_s17,2,0.18238251404716438,0.19091792085092596,0.9359895983837916
2,2,double_sobolev_s17,3,-0.09418228016537278,-0.09079176781643239,0.06781024697880778
2,2,double_sobolev_s17,4,0.030835595961813102,0.030386463655025616,0.29130768696262105
2,2,double_sobolev_s17,5,8.352482376339516,8.021907040888633,0.7915618867687038
2,2,double_sobolev_s17,6,0.014141801916022385,0.014225389883205982,0.11821402630296089
2,2,double_sobolev_s17,7,0.12478550630887547,0.07166364152129737,8.514108145875234
2,2,double_sobolev_s17,8,0.024960058978485744,0.03043742967887164,0.10954741400771795
2,2,double_sobolev_s17,9,0.02165532869155133,0.02213098779480126,0.43929982317516536
2,2,deep11_s17,0,1.2104475086328694,1.1618060467846474,0.803693865307051
2,2,deep11_s17,1,0.0309248168533984,0.031565182545615675,0.41414356324435414
2,2,deep11_s17,2,0.18238251404716438,0.186974407063522,0.503545314127006
2,2,deep11_s17,3,-0.09418228016537278,-0.0883996648198554,0.11565230691034767
2,2,deep11_s17,4,0.030835595961813102,0.030885600995343633,0.03243331738582753
2,2,deep11_s17,5,8.352482376339516,7.926315412784592,1.0204558222406983
2,2,deep11_s17,6,0.014141801916022385,0.013705101711673415,0.617601925047751
2,2,deep11_s17,7,0.12478550630887547,0.06992054064030082,8.793483681152853
2,2,deep11_s17,8,0.024960058978485744,0.027186119981474355,0.044521220059772215
2,2,deep11_s17,9,0.02165532869155133,0.021597833100887094,0.05310064001630131
2,3,double_sobolev_s17,0,0.3788464821392923,0.36126373926613925,0.9282252153360793
2,3,double_sobolev_s17,1,0.09253026128560245,0.08827822512155499,0.9190585015043217
2,3,double_sobolev_s17,2,0.0802315438937579,0.09149918882050902,2.808781778316931
2,3,double_sobolev_s17,3,-0.5275031258420904,-0.5324822134960095,0.0995817530783838
2,3,double_sobolev_s17,4,0.03442363400001969,0.028295454683092233,3.560448799173236
2,3,double_sobolev_s17,5,6.796775747214781,6.898104231919997,0.29816633201923415
2,3,double_sobolev_s17,6,0.034276210746913914,0.04059422092710447,3.686527794359184
2,3,double_sobolev_s17,7,0.3753994774850671,0.3509100656209628,1.3047120911391497
2,3,double_sobolev_s17,8,0.06795529424216118,0.056101730465886845,0.23707127552548668
2,3,double_sobolev_s17,9,0.04854619583733244,0.05471356017983692,2.5408229156286315
2,3,deep11_s17,0,0.3788464821392923,0.3550207755646476,1.2578027089022596
2,3,deep11_s17,1,0.09253026128560245,0.08821353971546786,0.9330399612318532
2,3,deep11_s17,2,0.0802315438937579,0.09062520219436773,2.590915691307908
2,3,deep11_s17,3,-0.5275031258420904,-0.5382019778932281,0.21397704102275483
2,3,deep11_s17,4,0.03442363400001969,0.027672946163369593,3.922123873758496
2,3,deep11_s17,5,6.796775747214781,6.870736267019948,0.21763413287682856
2,3,deep11_s17,6,0.034276210746913914,0.04128012949329086,4.086752061417727
2,3,deep11_s17,7,0.3753994774850671,0.341714305720537,1.794630721928483
2,3,deep11_s17,8,0.06795529424216118,0.057172830383824924,0.2156492771667251
2,3,deep11_s17,9,0.04854619583733244,0.05532177925026248,2.7913962344788126
2,4,double_sobolev_s17,0,1.0809510526741737,0.7593310833273655,5.95068515916886
2,4,double_sobolev_s17,1,0.05080364043274417,0.03678255572056819,5.519716537139749
2,4,double_sobolev_s17,2,0.17462209755571775,0.21271123444621687,4.362464707921148
2,4,double_sobolev_s17,3,-0.009716440464684895,0.019365109558457827,0.5816310004628544
2,4,double_sobolev_s17,4,0.06622060335498245,0.04945500332422771,5.063560034595574
2,4,double_sobolev_s17,5,4.617121412450271,5.437894309149749,3.5553446547289305
2,4,double_sobolev_s17,6,0.04479986683691131,0.058441149067534996,6.089876240160793
2,4,double_sobolev_s17,7,0.38501484362737315,0.30726936935054266,4.038570229883109
2,4,double_sobolev_s17,8,0.10874387199422375,0.07188108964789541,0.7372556469265668
2,4,double_sobolev_s17,9,0.03210688392305741,0.04884863990476039,10.428764137824015
2,4,deep11_s17,0,1.0809510526741737,0.8731775194424712,3.844272739597039
2,4,deep11_s17,1,0.05080364043274417,0.03476547717205102,6.313785045355201
2,4,deep11_s17,2,0.17462209755571775,0.22175798076513048,5.398616082294257
2,4,deep11_s17,3,-0.009716440464684895,0.016631704588985996,0.5269629010734178
2,4,deep11_s17,4,0.06622060335498245,0.04803229238594833,5.493248338899535
2,4,deep11_s17,5,4.617121412450271,5.177469208340341,2.4272603894671994
2,4,deep11_s17,6,0.04479986683691131,0.06073221519214276,7.112676657379943
2,4,deep11_s17,7,0.38501484362737315,0.27885984644220324,5.514332703905272
2,4,deep11_s17,8,0.10874387199422375,0.08226232333123795,0.529630973259716
2,4,deep11_s17,9,0.03210688392305741,0.05028645496362545,11.324406992677645
2,5,double_sobolev_s17,0,0.5486948158467987,0.3673778794712479,6.609026771857686
2,5,double_sobolev_s17,1,0.08253727363099257,0.0728118553972371,2.3566124263410604
2,5,double_sobolev_s17,2,0.09240976082601485,0.05729694377247247,7.599374079032905
