family,bucket,DH_PINN,SH_BEST_FOUND,BS_SELECTED,SH_minus_DH
BASE,ATM,1.2237001183150449e-05,0.000358683089176675,0.000394200234349475,0.00034644608799352456
BASE,K/F_0.70_0.90,8.890397964997724e-06,0.0007459773835047375,0.0018163527696976002,0.0007370869855397397
BASE,K/F_0.90_0.98,7.813575674987168e-06,0.0008893595060915625,0.0016046135096046,0.0008815459304165753
BASE,K/F_0.98_1.02,1.155604285638653e-05,0.000430760295131175,0.00053571666886865,0.00041920425227478847
BASE,K/F_1.02_1.10,1.3589137478612841e-05,0.000574171402593475,0.0010621335551793624,0.0005605822651148621
BASE,K/F_1.10_1.30,8.906939990152463e-06,0.0007144436012196,0.0016298286226419999,0.0007055366612294475
BASE,long,8.188238422255292e-06,0.0007379538882768125,0.0022821609718493624,0.0007297656498545572
BASE,medium,9.039727702961562e-06,0.0008318970848204125,0.0013938563573995374,0.0008228573571174509
BASE,short,4.248346144423488e-06,0.0003272068382124625,0.0004745492374386375,0.000322958492068039
BASE,very_long,1.816389907950041e-05,0.0010633355791263375,0.00168132846556355,0.001045171680046837
BASE,wing,8.925353695868097e-06,0.0007299075349600125,0.001728711293432475,0.0007209821812641444
FAST_SHOCK,ATM,1.055901400421921e-05,0.0011596634777131624,0.00037579275125907503,0.0011491044637089432
FAST_SHOCK,K/F_0.70_0.90,1.0970152356976183e-05,0.000770796416590075,0.0016702544972704999,0.0007598262642330988
FAST_SHOCK,K/F_0.90_0.98,7.919224094819176e-06,0.001334311033960525,0.001550966671962675,0.0013263918098657059
FAST_SHOCK,K/F_0.98_1.02,1.0427836023488495e-05,0.00122264056243305,0.0005122071394656625,0.0012122127264095615
FAST_SHOCK,K/F_1.02_1.10,1.3919916940839402e-05,0.000780625706808675,0.0010213570083923375,0.0007667057898678356
FAST_SHOCK,K/F_1.10_1.30,1.1506905389333888e-05,0.000894250459216025,0.001526149754913375,0.0008827435538266911
FAST_SHOCK,long,1.1165170489019944e-05,0.0009435077708774125,0.00210762594436545,0.0009323426003883926
FAST_SHOCK,medium,8.6663526730791e-06,0.0010794151504986875,0.0013200202917807,0.0010707487978256084
FAST_SHOCK,short,4.444752863277957e-06,0.0007176196100487875,0.0004559324628684625,0.0007131748571855095
FAST_SHOCK,very_long,2.0688471655715863e-05,0.0011417898298196499,0.0016193474527027001,0.001121101358163934
FAST_SHOCK,wing,1.1277267413535865e-05,0.0008367317906826,0.0016013738961541,0.0008254545232690641
FIXED_TOTAL_TWIST,ATM,1.091815484732609e-05,0.00021326276800822145,0.0001334734611338763,0.00020234461316089537
FIXED_TOTAL_TWIST,K/F_0.70_0.90,7.3862932509672885e-06,0.00034254592510383586,0.0010559690502722125,0.00033515963185286855
FIXED_TOTAL_TWIST,K/F_0.90_0.98,1.1803560984460987e-05,0.00036703335480936175,0.0007459170180562625,0.00035522979382490076
FIXED_TOTAL_TWIST,K/F_0.98_1.02,1.112105050605397e-05,0.00023383548351145798,0.00019078724370346517,0.000222714433005404
FIXED_TOTAL_TWIST,K/F_1.02_1.10,1.3166905271893901e-05,0.00020615001130544483,0.000491241141155675,0.00019298310603355095
FIXED_TOTAL_TWIST,K/F_1.10_1.30,1.120486328803882e-05,0.0003227627396624953,0.0008429357583797251,0.00031155787637445647
FIXED_TOTAL_TWIST,long,1.3325581900622331e-05,0.0003112016561010843,0.0012308750621225874,0.00029787607420046194
FIXED_TOTAL_TWIST,medium,8.312566567985918e-06,0.00033954854031982356,0.0007663375547318625,0.00033123597375183766
FIXED_TOTAL_TWIST,short,6.857930335839916e-06,0.000149758163614072,0.0002469468982545772,0.00014290023327823208
FIXED_TOTAL_TWIST,very_long,1.2877419306801461e-05,0.000509930179585975,0.0008500518139420876,0.0004970527602791735
FIXED_TOTAL_TWIST,wing,9.466956051186908e-06,0.000334468750354401,0.0009583576085365625,0.0003250017943032141
SLOW_SHOCK,ATM,1.1188326248721695e-05,0.000294299912304275,0.0002788897088453125,0.0002831115860555533
SLOW_SHOCK,K/F_0.70_0.90,8.20101198859701e-06,0.000621154785550825,0.00159553051919195,0.000612953773562228
SLOW_SHOCK,K/F_0.90_0.98,8.422246586190384e-06,0.0006972576552259125,0.0012949287384215376,0.0006888354086397222
SLOW_SHOCK,K/F_0.98_1.02,1.0831168913463091e-05,0.000344384372799675,0.0003894002768984625,0.00033355320388621195
SLOW_SHOCK,K/F_1.02_1.10,1.4729520356412692e-05,0.0004308053568514125,0.00084557760471085,0.0004160758364949998
SLOW_SHOCK,K/F_1.10_1.30,9.7119909763127e-06,0.0005798555109216,0.00137037002097135,0.0005701435199452873
SLOW_SHOCK,long,1.1682870203081988e-05,0.0005781087398549875,0.00193793734238645,0.0005664258696519055
SLOW_SHOCK,medium,8.019807261839151e-06,0.0006675885608519,0.001201500970584775,0.0006595687535900608
SLOW_SHOCK,short,5.732679943497262e-06,0.0002637524951631875,0.000406142158623375,0.0002580198152196902
SLOW_SHOCK,very_long,1.4715141951108063e-05,0.0008890289584654,0.001408313722429775,0.000874313816514292
SLOW_SHOCK,wing,8.993620360461463e-06,0.0006012606503775625,0.001490652700588525,0.0005922670300171011
