model,dates,omitted_nonfinite,price_RMSE,price_MAE,price_P95,price_max,forward_normalized_price_RMSE,IV_RMSE_volatility_points,IV_valid_quotes,quotes,RMSE_index_points,MAE_index_points,equal_date_forward_RMSE
single_state_exact,17,0,0.0020198499427117,0.001419655171927,0.0046590044713447,0.0076145967658781,0.0020198499427117,3.741093134323042,897,967,47.75024161359027,33.5375358501956,0.0020803568389425
double_state_exact,17,0,0.0018106734429466,0.0012911058908751,0.0040929453941024,0.0069588616342655,0.0018106734429466,3.712537597302569,927,967,42.81877977044172,30.50891513494163,0.0018628984464018
double_state_PINN,3,755,0.0013584309695974,0.0010436265378173,0.0028745534236659,0.0033962103367742,0.0013584309695974,4.999438317681245,212,212,31.39775240384497,24.149845633570827,0.0013527161395676
BS_state_flat,17,0,0.000576499690957,0.0004499542705861,0.0011535967449046,0.0025222659456557,0.000576499690957,2.778813354693958,958,967,13.579878550451175,10.625908832365976,0.0005821246631154
BS_state_term,17,0,0.000544410167868,0.0004236338426285,0.0010653643205083,0.0021156167821952,0.000544410167868,2.776277696368084,958,967,12.813275788689367,9.99909677523108,0.0005472058951289
