step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,4.0490959363978245,0.7130589580000333,1.8200117434373683e-10,5.25083065221908e-06,0.0004342474925333313,7.877416317919288e-07,1.0160781206889957,2.418667536843888,0.948247086583561,1.0,0.0,False
101,20.503091550438917,7.9785868330000085,1.89698126358816e-10,2.82322434453423e-05,0.001996469359935258,0.0,0.9639089329453491,2.559232437788604,0.9931251586482598,1.0,0.0,False
201,2.534942999112884,15.38630733299999,1.6553101892215558e-10,1.5253809166810995e-06,0.0005798616597085895,4.7241127308437776e-07,0.9154440250124943,4.117693258275196,1.0103173873748266,1.0,0.0,False
301,3.436280049907036,22.833279457999993,1.5807191127730354e-10,2.0546122115441625e-06,0.0005854156257798475,2.0638030803843444e-07,0.8692843275256835,4.823607011691964,1.050699617443684,1.0,0.0,False
401,4.498411615442814,30.286616374999994,1.8739366296989754e-10,2.753416589972998e-06,0.00022803534212976904,0.0,0.8342069857774816,5.6206578256800785,1.046310323730279,1.0,0.0,False
501,9.932993765845385,37.77796491700008,1.895823005496823e-10,2.894611960034108e-06,0.004558594944933391,4.2978299294830836e-08,0.833477711949613,6.885382168609002,0.9992848383523321,1.0,0.0,False
601,3.967928855341534,45.25611058300001,2.0834279296380462e-10,7.279670679500631e-07,0.002114106355881883,4.4283242292184355e-06,0.8118712193705276,8.158013623563354,0.9745811978142699,1.0,0.0,False
701,11.88047849985987,52.70761412500008,2.0073366856932638e-10,5.168968195953011e-06,0.0007522964496933208,4.196744190072122e-06,0.7794733847941527,8.311646345871987,0.9951566245335881,1.0,0.0,False
801,32.200903228977516,60.16010758300001,1.955111981377289e-10,1.4768452390415503e-05,0.0012192496811956734,0.0,0.8998219820048663,8.292728380073827,0.937789031351796,1.0,0.0,False
901,7.759211294050721,67.61003291700001,1.4408010560810972e-10,3.5628795741914765e-06,0.00021279336352085518,0.0,0.8732605291189346,8.13765584465673,0.922447345039125,1.0,0.0,False
1001,5.18924302794667,75.09877325000002,1.7928462671195923e-10,1.833876619171727e-06,0.0008760089887298567,0.0,0.8286765963727821,8.593695334898882,1.0021316754596228,1.0,0.0,False
1101,38.745620026666366,82.16329929200003,1.9573842160158336e-10,1.8726376740835577e-05,0.000573422325545977,0.0,0.8009697678690387,8.068166840100478,1.0145849604297061,1.0,0.0,False
1201,2.7923526704267534,89.13638883300007,2.335398277750205e-10,8.856397213012045e-07,0.0004292717294919156,1.0764077239762785e-06,0.7736637044232774,8.613274161900442,1.0100476696266165,1.0,0.0,False
1301,2.524931160386159,96.12056137500008,1.4903042009226203e-10,6.848528395287773e-07,0.0006009757095531165,2.071847104443287e-07,0.8407171897669794,9.571155228301473,0.9534359404494466,1.0,0.0,False
1401,4.442015855785657,103.10668458300006,1.6186147521168901e-10,1.6825605502871798e-06,0.00023641938282268076,0.0,0.7968942788723989,9.138107361507275,1.166126507432248,1.0,0.0,False
1501,2.51542954780402,109.96224445799999,1.3653092364018717e-10,6.411193910860786e-07,0.0005869154349711979,0.0,0.7622289484407897,9.713194883764004,1.1900020905119364,1.0,0.0,False
1601,59.563325106795446,116.87701766700002,1.600629423203753e-10,2.5741802360679443e-05,0.0009202054918175735,8.161351154948668e-08,0.7444935715136066,9.041110158505303,1.1755991720566656,1.0,0.0,False
1701,3.5696089125309234,123.81252795800003,1.3959346576045499e-10,1.2957970938074357e-06,0.0003462502309763547,0.0,0.7788473240469178,8.994712570993807,1.108947468458109,1.0,0.0,False
1801,4.381119792972038,130.7455469580001,1.6062603652454475e-10,1.235350378325835e-06,0.0010061357565966616,0.0,0.7648007289414644,9.702367587768842,1.0709754064530166,1.0,0.0,False
1901,4.069065080240543,137.73246495800004,1.5073586224951677e-10,1.2183856535131082e-06,0.0006252999941056179,0.0,0.7822923872975078,10.302661861623784,1.0172916058064514,1.0,0.0,False
2000,3.83933562635288,144.59581170800004,1.3620453058307788e-10,9.269384429689154e-07,0.0011653225731912712,0.0,0.7822923872975078,10.302661861623784,1.0172916058064514,1.0,0.0,False
