family,bucket,BS_SELECTED,DH_PINN,SH_BEST_FOUND,SH_over_PINN
BASE,ATM,0.000394200234349475,1.2237001183150449e-05,0.000358683089176675,29.31135527473497
BASE,K/F_0.70_0.90,0.0018163527696976002,8.890397964997724e-06,0.0007459773835047375,83.90821045826249
BASE,K/F_0.90_0.98,0.0016046135096046,7.813575674987168e-06,0.0008893595060915625,113.82234499098558
BASE,K/F_0.98_1.02,0.00053571666886865,1.155604285638653e-05,0.000430760295131175,37.27576130380239
BASE,K/F_1.02_1.10,0.0010621335551793624,1.3589137478612841e-05,0.000574171402593475,42.25223296895261
BASE,K/F_1.10_1.30,0.0016298286226419999,8.906939990152463e-06,0.0007144436012196,80.21201467726186
BASE,long,0.0022821609718493624,8.188238422255292e-06,0.0007379538882768125,90.12364445459777
BASE,medium,0.0013938563573995374,9.039727702961562e-06,0.0008318970848204125,92.02678577894216
BASE,short,0.0004745492374386375,4.248346144423488e-06,0.0003272068382124625,77.01981596814197
BASE,very_long,0.00168132846556355,1.816389907950041e-05,0.0010633355791263375,58.541152121154816
BASE,wing,0.001728711293432475,8.925353695868097e-06,0.0007299075349600125,81.77911596914258
FAST_SHOCK,ATM,0.00037579275125907503,1.055901400421921e-05,0.0011596634777131624,109.82687183195134
FAST_SHOCK,K/F_0.70_0.90,0.0016702544972704999,1.0970152356976183e-05,0.000770796416590075,70.26305483350075
FAST_SHOCK,K/F_0.90_0.98,0.001550966671962675,7.919224094819176e-06,0.001334311033960525,168.49012200998865
FAST_SHOCK,K/F_0.98_1.02,0.0005122071394656625,1.0427836023488495e-05,0.00122264056243305,117.24777409992603
FAST_SHOCK,K/F_1.02_1.10,0.0010213570083923375,1.3919916940839402e-05,0.000780625706808675,56.07976758240639
FAST_SHOCK,K/F_1.10_1.30,0.001526149754913375,1.1506905389333888e-05,0.000894250459216025,77.71424453050025
FAST_SHOCK,long,0.00210762594436545,1.1165170489019944e-05,0.0009435077708774125,84.5045556451894
FAST_SHOCK,medium,0.0013200202917807,8.6663526730791e-06,0.0010794151504986875,124.55241451824949
FAST_SHOCK,short,0.0004559324628684625,4.444752863277957e-06,0.0007176196100487875,161.45320833868607
FAST_SHOCK,very_long,0.0016193474527027001,2.0688471655715863e-05,0.0011417898298196499,55.18966547266402
FAST_SHOCK,wing,0.0016013738961541,1.1277267413535865e-05,0.0008367317906826,74.19632433990955
FIXED_TOTAL_TWIST,ATM,0.0001334734611338763,1.091815484732609e-05,0.00021326276800822145,19.53285797741278
FIXED_TOTAL_TWIST,K/F_0.70_0.90,0.0010559690502722125,7.3862932509672885e-06,0.00034254592510383586,46.37589024223713
FIXED_TOTAL_TWIST,K/F_0.90_0.98,0.0007459170180562625,1.1803560984460987e-05,0.00036703335480936175,31.095137754830894
FIXED_TOTAL_TWIST,K/F_0.98_1.02,0.00019078724370346517,1.112105050605397e-05,0.00023383548351145798,21.026384457490312
FIXED_TOTAL_TWIST,K/F_1.02_1.10,0.000491241141155675,1.3166905271893901e-05,0.00020615001130544483,15.656679154933467
FIXED_TOTAL_TWIST,K/F_1.10_1.30,0.0008429357583797251,1.120486328803882e-05,0.0003227627396624953,28.805593728844887
FIXED_TOTAL_TWIST,long,0.0012308750621225874,1.3325581900622331e-05,0.0003112016561010843,23.353701055752815
FIXED_TOTAL_TWIST,medium,0.0007663375547318625,8.312566567985918e-06,0.00033954854031982356,40.84761758510573
FIXED_TOTAL_TWIST,short,0.0002469468982545772,6.857930335839916e-06,0.000149758163614072,21.837224392821216
FIXED_TOTAL_TWIST,very_long,0.0008500518139420876,1.2877419306801461e-05,0.000509930179585975,39.59878663861209
FIXED_TOTAL_TWIST,wing,0.0009583576085365625,9.466956051186908e-06,0.000334468750354401,35.33012602424275
SLOW_SHOCK,ATM,0.0002788897088453125,1.1188326248721695e-05,0.000294299912304275,26.304194725989493
SLOW_SHOCK,K/F_0.70_0.90,0.00159553051919195,8.20101198859701e-06,0.000621154785550825,75.74123613213851
SLOW_SHOCK,K/F_0.90_0.98,0.0012949287384215376,8.422246586190384e-06,0.0006972576552259125,82.78760875621685
SLOW_SHOCK,K/F_0.98_1.02,0.0003894002768984625,1.0831168913463091e-05,0.000344384372799675,31.79567926150675
SLOW_SHOCK,K/F_1.02_1.10,0.00084557760471085,1.4729520356412692e-05,0.0004308053568514125,29.247751890566867
SLOW_SHOCK,K/F_1.10_1.30,0.00137037002097135,9.7119909763127e-06,0.0005798555109216,59.70511219953281
SLOW_SHOCK,long,0.00193793734238645,1.1682870203081988e-05,0.0005781087398549875,49.48345139557231
SLOW_SHOCK,medium,0.001201500970584775,8.019807261839151e-06,0.0006675885608519,83.24246943296296
SLOW_SHOCK,short,0.000406142158623375,5.732679943497262e-06,0.0002637524951631875,46.008585471855845
SLOW_SHOCK,very_long,0.001408313722429775,1.4715141951108063e-05,0.0008890289584654,60.41592812486972
SLOW_SHOCK,wing,0.001490652700588525,8.993620360461463e-06,0.0006012606503775625,66.85412840204785
SMIRK_WEIGHTS,ATM,0.00015429666336664712,9.944658484774874e-06,0.00019982860375585603,20.094063970300308
SMIRK_WEIGHTS,K/F_0.70_0.90,0.0010865001424648876,7.649395802459507e-06,0.00030172624807617407,39.44445494363884
SMIRK_WEIGHTS,K/F_0.90_0.98,0.0008165397003866875,1.0237821766765154e-05,0.00034055966261700113,33.264855588964586
SMIRK_WEIGHTS,K/F_0.98_1.02,0.00021934717112499183,9.843678933407374e-06,0.0002165972055871267,22.003684501740643
SMIRK_WEIGHTS,K/F_1.02_1.10,0.0005412277116323624,1.308237935418943e-05,0.0002243526792400792,17.149225929473886
SMIRK_WEIGHTS,K/F_1.10_1.30,0.0008826668346651,1.1097277655270616e-05,0.00031775632077509034,28.63371816457823
SMIRK_WEIGHTS,long,0.0012882949311318124,1.2669006164776648e-05,0.00029589901267912725,23.356134556300763
SMIRK_WEIGHTS,medium,0.0007628957090177624,7.440251844922939e-06,0.00030815276053944464,41.416979823031284
SMIRK_WEIGHTS,short,0.00024224824304636017,5.39821109996794e-06,0.0001400430161494532,25.942486048810675
SMIRK_WEIGHTS,very_long,0.0009357247615367125,1.3894319173759496e-05,0.0004903925434306375,35.294463679572154
SMIRK_WEIGHTS,wing,0.0009925535257311626,9.49818333085666e-06,0.0003126868957703707,32.920705452646686
