case,allocation,SH_RMSE_short,SH_RMSE_medium,SH_RMSE_long,SH_RMSE_very_long,PINN_RMSE_short,PINN_RMSE_medium,PINN_RMSE_long,PINN_RMSE_very_long,SH_kappa,SH_theta,SH_sigma,SH_rho,SH_v0,SH_near_best_starts,ATM_SH_residual_sign_changes_along_maturity
FIXED_TOTAL_TWIST_representative_0,"fast-heavy (v_fast .035, v_slow .005)",0.0002801410377232,0.0005676093797196,0.000545307291962,0.0006651811758948,4.616277779078021e-06,9.741973232661989e-06,1.1234364735639507e-05,2.1112483779118898e-05,1.6957883613359608,0.0550271023501005,0.14789137444614586,-0.38981764907359334,0.03620483315674518,12,2
FIXED_TOTAL_TWIST_representative_1,"slow-heavy (v_fast .005, v_slow .035)",7.814469953763801e-05,0.0001592002784182,0.0002521153525448,0.0003511193827716,2.4358482999964915e-06,4.0647210791082095e-06,9.382061167450453e-06,1.26014307427923e-05,21.15236429445866,0.06260964168195735,0.5950705603610261,-0.18653091869047142,0.03622193043528271,12,3
