case,family,fast_share,SH_BEST_FOUND,DH_PINN,BS_SELECTED,PINN_over_SH
FIXED_TOTAL_TWIST_random_00,FIXED_TOTAL_TWIST,0.6905507592604244,0.0005764077591106,1.2581854337392848e-05,0.0013426242977148,0.021828044710582507
FIXED_TOTAL_TWIST_random_01,FIXED_TOTAL_TWIST,0.28079089187809436,8.24250049979586e-05,1.0509390720641985e-05,0.0004040927250922,0.12750245779059727
FIXED_TOTAL_TWIST_random_02,FIXED_TOTAL_TWIST,0.26196691068377737,0.0001183967506321,9.98173857776806e-06,0.0005264651098939,0.08430753820926051
FIXED_TOTAL_TWIST_random_03,FIXED_TOTAL_TWIST,0.728788304416967,0.0005720361227377,1.0811126607205184e-05,0.0012842302025936,0.018899377464948117
FIXED_TOTAL_TWIST_random_04,FIXED_TOTAL_TWIST,0.13879120417272203,0.0002339843597795,6.836307463936476e-06,0.0003872126974401,0.02921694198013411
FIXED_TOTAL_TWIST_random_05,FIXED_TOTAL_TWIST,0.7620496598966009,0.0006129568413049,1.0927159670645487e-05,0.0013255974344886,0.01782696420743601
FIXED_TOTAL_TWIST_random_06,FIXED_TOTAL_TWIST,0.530094833548453,0.0002541083517268,1.0745070272945155e-05,0.0007963011722991,0.042285388102857493
FIXED_TOTAL_TWIST_random_07,FIXED_TOTAL_TWIST,0.34154367126173774,0.0001091662614122,1.2232030915717485e-05,0.0007133141707787,0.11204955411572316
