model,price_RMSE,price_MAE,price_P95,price_max,IV_RMSE_volatility_points,IV_valid_quotes,quotes,all_frozen_gates_pass
DH-PINN two-seed mean,1.0954322643362347e-05,6.997937058190269e-06,2.3078885053630365e-05,0.00010918580178487236,0.10307332285799904,7579,8192,True
DH-PINN seed 17,1.1328189822095777e-05,7.277582319541867e-06,2.3665300842403562e-05,0.00010624797452729595,0.10302937593714948,7578,8192,
DH-PINN seed 43,1.3811465381873504e-05,8.833578462669836e-06,2.9703024211409973e-05,0.00011212362904239326,0.11466616239200501,7575,8192,
