expiry,cp,strike,tau,days,mid,forward,discount,k,x,c,market_iv,vega_w,symbol,spot
2026-11-06,C,92.0,0.11632649216980594,42.459169641979166,1.565,88.96800933861338,0.9952352941176451,1.0340795605513304,-0.03351171756652403,0.01767480778521973,0.23028453659337614,0.12622934058874102,KO,88.1
2026-11-06,C,93.0,0.11632649216942542,42.459169641840276,0.94,88.96800933861338,0.9952352941176451,1.0453195557747146,-0.044322633670739776,0.010616178478023352,0.19803688564470495,0.11210404915443711,KO,88.1
2026-11-20,P,72.5,0.15468265654794522,56.459169640000006,0.11,88.9261333720656,1.0152811059907856,0.815283395901867,0.20421950115064677,0.18593496785653252,0.27935210061937965,0.025141122483357307,KO,88.1
2026-11-20,P,77.5,0.154682656547311,56.45916963976852,0.28500000000000003,88.9261333720656,1.0152811059907856,0.8715098369985476,0.13752812665197453,0.13164683273912392,0.2460157331894032,0.05327904337075401,KO,88.1
2026-11-20,P,80.0,0.1546826565469622,56.4591696396412,0.6,88.9261333720656,1.0152811059907856,0.8996230575468879,0.10577942833739415,0.10702256295347323,0.24927402998013704,0.08305173405668886,KO,88.1
2026-11-20,P,82.5,0.15468265654661337,56.45916963951388,0.8999999999999999,88.9261333720656,1.0152811059907856,0.9277362780952281,0.07500776967064052,0.08223215265531358,0.23027328654556667,0.10713927667371961,KO,88.1
2026-11-20,P,85.0,0.1546826565462646,56.45916963938657,1.54,88.9261333720656,1.0152811059907856,0.9558494986435683,0.045154806520959406,0.0612075939740252,0.22667424186895785,0.13479889596913205,KO,88.1
2026-11-20,P,87.5,0.15468265654594748,56.45916963927083,2.29,88.9261333720656,1.0152811059907856,0.9839627191919086,0.016167269647707046,0.04140139905113627,0.21054397764131952,0.15257045340211614,KO,88.1
2026-11-20,C,90.0,0.15468265654575722,56.459169639201384,2.38,88.9261333720656,1.0152811059907856,1.0120759397402488,-0.012003607318989232,0.026360961318099042,0.20301702057809007,0.15594939809310696,KO,88.1
2026-11-20,C,92.5,0.15468265654534502,56.459169639050934,1.415,88.9261333720656,1.0152811059907856,1.040189160288589,-0.03940258150710374,0.015672588346684935,0.19881957919578935,0.14083740845723328,KO,88.1
2026-11-20,C,95.0,0.15468265654499622,56.45916963892362,0.8600000000000001,88.9261333720656,1.0152811059907856,1.0683023808369294,-0.06607082858926512,0.009525389383850917,0.20371931577359936,0.1153367752743984,KO,88.1
2026-11-20,C,97.5,0.15468265654467908,56.459169638807865,0.505,88.9261333720656,1.0152811059907856,1.0964156013852695,-0.09204631499252564,0.005593397254470596,0.20806174631853533,0.08719726478245134,KO,88.1
2026-11-20,C,100.0,0.15468265654433028,56.45916963868055,0.28500000000000003,88.9261333720656,1.0152811059907856,1.1245288219336098,-0.11736412297681557,0.0031566697376715245,0.2115189709446503,0.061452631017414924,KO,88.1
2026-11-20,C,105.0,0.1546826565440132,56.459169638564816,0.095,88.9261333720656,1.0152811059907856,1.1807552630302902,-0.1661542871462475,0.0010522232458905082,0.22244137298145292,0.02805676823239668,KO,88.1
2026-11-20,C,110.0,0.15468265654372781,56.45916963846065,0.035,88.9261333720656,1.0152811059907856,1.2369817041269708,-0.21267430278114047,0.0003876611958543977,0.23602113574159594,0.0126331745865312,KO,88.1
2026-12-18,P,70.0,0.23139498530612632,84.4591696367361,0.19,88.79252722605773,0.9988704375667029,0.7883546305849178,0.23780725154800456,0.21378760891993753,0.28763347581208193,0.038810161381266944,KO,88.1
2026-12-18,P,72.5,0.23139498530584096,84.45916963663196,0.22499999999999998,88.79252722605773,0.9988704375667029,0.8165101531058078,0.20271593173673447,0.18602670946573163,0.26085875415424703,0.04693504769256662,KO,88.1
2026-12-18,P,75.0,0.23139498530558728,84.45916963653936,0.355,88.79252722605773,0.9988704375667029,0.8446656756266977,0.1688143800610531,0.1593369297639533,0.24982407244923305,0.06563652821364384,KO,88.1
2026-12-18,P,77.5,0.23139498530514332,84.45916963637731,0.565,88.79252722605773,0.9988704375667029,0.8728211981475876,0.13602455723806223,0.13354914564316667,0.24057049438980319,0.08970210251982591,KO,88.1
2026-12-18,P,80.0,0.23139498530476282,84.45916963623843,0.885,88.79252722605773,0.9988704375667029,0.9009767206684776,0.10427585892348191,0.10900160544624393,0.23202455185999496,0.1175514318947351,KO,88.1
2026-12-18,P,82.5,0.2313949853043823,84.45916963609953,1.435,88.79252722605773,0.9988704375667029,0.9291322431893675,0.07350420025672821,0.08704730254467241,0.23010117236159397,0.14814945841210703,KO,88.1
2026-12-18,P,85.0,0.2313949853040652,84.4591696359838,2.075,88.79252722605773,0.9988704375667029,0.9572877657102574,0.043651237107047054,0.06610774467171643,0.21996002374659626,0.17220380304420546,KO,88.1
2026-12-18,P,87.5,0.2313949853037481,84.45916963586807,3.05,88.79252722605773,0.9988704375667029,0.9854432882311472,0.014663700233794869,0.04894529329416386,0.21667440616824324,0.18837143797216407,KO,88.1
2026-12-18,C,90.0,0.23139498530362126,84.45916963582177,2.885,88.79252722605773,0.9988704375667029,1.0135988107520373,-0.013507176732901572,0.03252821563951555,0.20167821528047006,0.19111722524673916,KO,88.1
2026-12-18,C,92.5,0.23139498530333585,84.45916963571759,1.925,88.79252722605773,0.9988704375667029,1.041754333272927,-0.04090615092101591,0.021704268667614365,0.1996051532391243,0.1786720819954353,KO,88.1
2026-12-18,C,95.0,0.23139498530301877,84.45916963560185,1.175,88.79252722605773,0.9988704375667029,1.0699098557938171,-0.06757439800317736,0.01324806009581656,0.19412339956091143,0.15260703653261068,KO,88.1
2026-12-18,C,97.5,0.23139498530270167,84.4591696354861,0.77,88.79252722605773,0.9988704375667029,1.098065378314707,-0.09354988440643791,0.008681707467045746,0.19869896851916738,0.12441985860122454,KO,88.1
2026-12-18,C,100.0,0.23139498530209918,84.45916963526619,0.485,88.79252722605773,0.9988704375667029,1.126220900835597,-0.11886769239072789,0.00546834820976258,0.2015700676034941,0.09594982780815035,KO,88.1
2026-12-18,C,105.0,0.23139498530175037,84.45916963513889,0.2,88.79252722605773,0.9988704375667029,1.1825319458773766,-0.16765785656015972,0.0022549889524794147,0.21079949879505946,0.0531269117606033,KO,88.1
2027-01-15,P,70.0,0.3081073140638635,112.45916963331017,0.325,88.89710047102182,1.0002433791485092,0.7874272572345395,0.23898428431454727,0.21622776547487743,0.2792628179763637,0.059693237392222105,KO,88.1
2027-01-15,P,72.5,0.3081073140635147,112.45916963318287,0.41000000000000003,88.89710047102182,1.0002433791485092,0.8155496592786302,0.2038929645032772,0.1890612924470958,0.2596397891093867,0.07332197057961033,KO,88.1
2027-01-15,P,75.0,0.30810731406322933,112.4591696330787,0.515,88.89710047102182,1.0002433791485092,0.8436720613227209,0.1699914128275959,0.16211974389373984,0.23933050326234093,0.08950186399729101,KO,88.1
2027-01-15,P,77.5,0.3081073140629122,112.45916963296295,0.6950000000000001,88.89710047102182,1.0002433791485092,0.8717944633668117,0.13720159000460494,0.13602166211947997,0.22323571523975724,0.11179259014510437,KO,88.1
2027-01-15,P,80.0,0.3081073140626268,112.45916963285879,1.125,88.89710047102182,1.0002433791485092,0.8999168654109023,0.10545289169002467,0.11273513627554121,0.2216132315933553,0.14519812270760377,KO,88.1
2027-01-15,P,82.5,0.3081073140623415,112.45916963275464,1.6600000000000001,88.89710047102182,1.0002433791485092,0.928039267454993,0.07468123302327102,0.09062946392233695,0.21554348129815407,0.17525092713151055,KO,88.1
2027-01-15,P,85.0,0.3081073140620561,112.45916963265047,2.5,88.89710047102182,1.0002433791485092,0.9561616694990838,0.04482826987358978,0.07195388980412387,0.21626575455052804,0.20158708387137073,KO,88.1
2027-01-15,P,87.5,0.30810731406177067,112.45916963254629,3.375,88.89710047102182,1.0002433791485092,0.9842840715431744,0.015840733000337524,0.053671933516155956,0.2066767519480596,0.21725343510499606,KO,88.1
2027-01-15,C,90.0,0.3081073140616121,112.45916963248843,3.4,88.89710047102182,1.0002433791485092,1.012406473587265,-0.012330143966358767,0.038237160652362365,0.19830782020671525,0.22108338983023684,KO,88.1
2027-01-15,C,92.5,0.30810731406132674,112.45916963238426,2.4,88.89710047102182,1.0002433791485092,1.0405288756313558,-0.03972911815447318,0.026990936931079314,0.19637679450947532,0.21105557689722107,KO,88.1
2027-01-15,C,95.0,0.30810731406100966,112.45916963226853,1.615,88.89710047102182,1.0002433791485092,1.0686512776754464,-0.06639736523663448,0.018162651309872123,0.1934810292291249,0.18882221960036474,KO,88.1
2027-01-15,C,97.5,0.3081073140606925,112.45916963215278,1.1,88.89710047102182,1.0002433791485092,1.096773679719537,-0.09237285163989511,0.012370846093411355,0.19495086959687027,0.1608619102978977,KO,88.1
2027-01-15,C,100.0,0.30810731406037545,112.45916963203703,0.72,88.89710047102182,1.0002433791485092,1.124896081763628,-0.11769065962418515,0.008097281079323795,0.1952149658981679,0.13002311993242457,KO,88.1
2027-01-15,C,105.0,0.3081073140600266,112.45916963190972,0.355,88.89710047102182,1.0002433791485092,1.1811408858518093,-0.16648082379361712,0.003992409421055482,0.20568058371102863,0.08297894176495485,KO,88.1
2027-01-15,C,110.0,0.30810731405970954,112.45916963179398,0.155,88.89710047102182,1.0002433791485092,1.2373856899399907,-0.21300083942850992,0.0017431646767988725,0.21038372092564017,0.04659633661340402,KO,88.1
2027-02-19,P,70.0,0.40399772501731357,147.45916963131944,0.41500000000000004,89.23847438876047,1.0153930835734877,0.784415023670737,0.242817031770012,0.22016493710771345,0.25990390319821227,0.07598798259977588,KO,88.1
2027-02-19,P,72.5,0.4039977250170282,147.45916963121527,0.64,89.23847438876047,1.0153930835734877,0.8124298459446919,0.20772571195874187,0.19463322609918365,0.25662165288416977,0.1012428595318696,KO,88.1
2027-02-19,P,75.0,0.40399772501667935,147.45916963108797,0.8500000000000001,89.23847438876047,1.0153930835734877,0.8404446682186468,0.1738241602830605,0.16893597433962526,0.24430412848341543,0.12386301392990963,KO,88.1
2027-02-19,P,77.5,0.4039977250163306,147.45916963096067,1.205,89.23847438876047,1.0153930835734877,0.8684594904926017,0.1410343374600696,0.14483894984000756,0.2378867138750483,0.15251418074671247,KO,88.1
2027-02-19,P,80.0,0.40399772501598175,147.45916963083334,1.4700000000000002,89.23847438876047,1.0153930835734877,0.8964743127665566,0.10928563914548929,0.11974868083421986,0.21890437975138557,0.17593493597297594,KO,88.1
2027-02-19,P,82.5,0.4039977250156012,147.45916963069445,1.975,89.23847438876047,1.0153930835734877,0.9244891350405114,0.07851398047873571,0.09730706384488574,0.20881357079768387,0.20422312897127895,KO,88.1
2027-02-19,P,85.0,0.40399772501528414,147.4591696305787,2.88,89.23847438876047,1.0153930835734877,0.9525039573144664,0.048661017329054534,0.0792798668829734,0.21076461017749282,0.23115724105845806,KO,88.1
2027-02-19,P,87.5,0.403997725014967,147.45916963046295,3.725,89.23847438876047,1.0153930835734877,0.9805187795884213,0.01967348045580223,0.060590506916948006,0.20026052208699202,0.24760565440373872,KO,88.1
2027-02-19,C,90.0,0.40399772501480846,147.45916963040509,4.225,89.23847438876047,1.0153930835734877,1.008533601862376,-0.008497396510893996,0.046627311539646936,0.19954368637084852,0.2535693398162678,KO,88.1
2027-02-19,C,92.5,0.40399772501445963,147.45916963027776,3.175,89.23847438876047,1.0153930835734877,1.036548424136331,-0.03589637069900846,0.035039458967663674,0.19865290207998423,0.24744486532221666,KO,88.1
2027-02-19,C,95.0,0.4039977250141426,147.45916963016205,2.255,89.23847438876047,1.0153930835734877,1.0645632464102859,-0.0625646177811698,0.024886292904592627,0.19414910937977603,0.22963713551321394,KO,88.1
2027-02-19,C,97.5,0.4039977250137938,147.45916963003472,1.645,89.23847438876047,1.0153930835734877,1.0925780686842408,-0.08854010418443048,0.01815430236277378,0.19553328138090562,0.20524803132531635,KO,88.1
2027-02-19,C,100.0,0.40399772501347664,147.45916962991896,1.155,89.23847438876047,1.0153930835734877,1.1205928909581957,-0.11385791216872036,0.01274663782918159,0.19516234580517486,0.17581165105085564,KO,88.1
2027-02-19,C,105.0,0.4039977250131596,147.45916962980326,0.62,89.23847438876047,1.0153930835734877,1.1766225355061055,-0.1626480763381524,0.006842351042504403,0.20240831926668848,0.12343832197001131,KO,88.1
2027-02-19,C,110.0,0.4039977250128425,147.4591696296875,0.315,89.23847438876047,1.0153930835734877,1.2326521800540153,-0.20916809197304528,0.003476355771594979,0.20705143249658828,0.07943971989887823,KO,88.1
2027-02-19,C,115.0,0.40399772501252534,147.45916962957176,0.175,89.23847438876047,1.0153930835734877,1.2886818246019252,-0.25361985454387914,0.0019313087619972104,0.21525782715855474,0.0515240328708932,KO,88.1
2027-03-19,P,65.0,0.48071005377704845,175.45916962862267,0.28500000000000003,89.28736499073044,1.0145548969799603,0.7279865410604077,0.317472718510733,0.27515960805111683,0.2736158982338016,0.057919238766213736,KO,88.1
2027-03-19,P,67.5,0.48071005377676307,175.4591696285185,0.5,89.28736499073044,1.0145548969799603,0.755986023408885,0.27973239052788595,0.24953353643589493,0.2786525382954585,0.083917497209133,KO,88.1
2027-03-19,P,70.0,0.48071005377644593,175.45916962840278,0.69,89.28736499073044,1.0145548969799603,0.7839855057573623,0.24336474635701102,0.22363148682843403,0.2708937975831305,0.10532087265560411,KO,88.1
2027-03-19,P,72.5,0.48071005377616055,175.4591696282986,0.835,89.28736499073044,1.0145548969799603,0.8119849881058394,0.208273426545741,0.19723267683494305,0.25414055492409227,0.12346885734115613,KO,88.1
2027-03-19,P,75.0,0.48071005377587517,175.45916962819445,1.135,89.28736499073044,1.0145548969799603,0.8399844704543167,0.1743718748700596,0.17254493039333374,0.24653018413141806,0.15011153753163345,KO,88.1
