expiry,cp,strike,tau,days,mid,forward,discount,k,x,c,market_iv,vega_w,symbol,spot
2026-10-02,P,250.0,0.020437113152841198,7.4595463007870375,0.015,336.411666584496,1.0010522132512352,0.7431371287987358,0.29687469032631497,0.25690741256198213,0.7115916522041361,0.0006946102622476766,AAPL,335.92
2026-10-02,P,285.0,0.020437113151699646,7.459546300370371,0.03,336.411666584496,1.0010522132512352,0.8471763268305589,0.16584642791991086,0.15291275589087705,0.44794636789889375,0.0018341555634837133,AAPL,335.92
2026-10-02,P,290.0,0.020437113151541095,7.4595463003125,0.035,336.411666584496,1.0010522132512352,0.8620390694065336,0.14845468520804161,0.13806486043514155,0.4125113272026217,0.002226342044512656,AAPL,335.92
2026-10-02,P,295.0,0.020437113151350834,7.459546300243055,0.045,336.411666584496,1.0010522132512352,0.8769018119825084,0.13136025184874148,0.12323181209964551,0.3809098121030061,0.002909436090264794,AAPL,335.92
2026-10-02,P,300.0,0.02043711315100203,7.459546300115741,0.065,336.411666584496,1.0010522132512352,0.891764554558483,0.11455313353236032,0.10842845800462808,0.3536334182755372,0.004132285141053375,AAPL,335.92
2026-10-02,P,305.0,0.020437113150653222,7.4595462999884266,0.095,336.411666584496,1.0010522132512352,0.9066272971344578,0.09802383158114972,0.09365479815008926,0.32561885119059153,0.005913183709133542,AAPL,335.92
2026-10-02,P,307.5,0.020437113150494672,7.4595462999305555,0.115,336.411666584496,1.0010522132512352,0.9140586684224451,0.08986052094198883,0.08628281534305915,0.31108286051798034,0.007078061640726139,AAPL,335.92
2026-10-02,P,310.0,0.020437113150272707,7.4595462998495385,0.19,336.411666584496,1.0010522132512352,0.9214900397104325,0.08176331070936937,0.07907415085866154,0.3122177188332896,0.010222977718505727,AAPL,335.92
2026-10-02,P,312.5,0.020437113150082446,7.459546299780093,0.175,336.411666584496,1.0010522132512352,0.9289214109984198,0.07373113901210517,0.07159823820995626,0.2824010808958617,0.010369196376840464,AAPL,335.92
2026-10-02,P,315.0,0.020437113149892185,7.459546299710648,0.275,336.411666584496,1.0010522132512352,0.9363527822864072,0.06576296936292833,0.06446380932675522,0.28025689757530503,0.014345419079937846,AAPL,335.92
2026-10-02,P,317.5,0.020437113149701928,7.459546299641204,0.385,336.411666584496,1.0010522132512352,0.9437841535743946,0.057857789855814974,0.057359074684032785,0.2722988246656803,0.01835595640551741,AAPL,335.92
2026-10-02,P,320.0,0.020437113149543377,7.459546299583333,0.535,336.411666584496,1.0010522132512352,0.9512155248623819,0.050014612394789125,0.05037311700322489,0.2640359572574769,0.02311737260104496,AAPL,335.92
