expiry,cp,strike,tau,days,mid,forward,discount,k,x,c,market_iv,vega_w,symbol,spot
2026-10-02,P,340.0,0.02043516033656773,7.458833522847221,0.12,367.91433624782695,1.0032319724284227,0.9241281638206567,0.07890451152555102,0.0761969483072582,0.2764056184753336,0.007463518669320821,V,367.98
2026-10-02,P,347.5,0.020435160335965246,7.458833522627315,0.38,367.91433624782695,1.0032319724284227,0.9445133439049359,0.0570854641309112,0.05651617783346119,0.26316607475202564,0.01752383495608465,V,367.98
2026-10-02,P,350.0,0.020435160335743278,7.458833522546296,0.445,367.91433624782695,1.0032319724284227,0.951308403933029,0.049916974652298676,0.0498972202079887,0.24604988070607198,0.020316331257324467,V,367.98
2026-10-02,P,352.5,0.02043516033552131,7.4588335224652775,0.76,367.91433624782695,1.0032319724284227,0.958103463961122,0.042799506883434715,0.043955579515672416,0.25316532352171084,0.027735359413535624,V,367.98
2026-10-02,P,355.0,0.020435160335331052,7.4588335223958335,1.0550000000000002,367.91433624782695,1.0032319724284227,0.964898523989215,0.035732339660342276,0.037959753468703394,0.248017609030637,0.03370605461514067,V,367.98
2026-10-02,P,357.5,0.02043516033510908,7.458833522314814,1.3199999999999998,367.91433624782695,1.0032319724284227,0.9716935840173081,0.028714767001695746,0.031882649389755824,0.23412616617388923,0.038901146701152474,V,367.98
2026-10-02,P,360.0,0.020435160334918823,7.45883352224537,1.745,367.91433624782695,1.0032319724284227,0.9784886440454013,0.02174609768560231,0.02623902814802781,0.22489448545678467,0.04487121194057773,V,367.98
2026-10-02,P,362.5,0.020435160334696854,7.458833522164352,2.35,367.91433624782695,1.0032319724284227,0.9852837040734943,0.014825654841028546,0.021083075098172532,0.21827489824374166,0.05055967508078438,V,367.98
2026-10-02,P,365.0,0.020435160334443175,7.458833522071759,3.35,367.91433624782695,1.0032319724284227,0.9920787641015874,0.007952775553266525,0.016997282802703628,0.22259865821334016,0.055049552938445157,V,367.98
2026-10-02,P,367.5,0.020435160334221207,7.458833521990741,4.35,367.91433624782695,1.0032319724284227,0.9988738241296804,0.0011268104828666794,0.012911490507234724,0.21651399749398598,0.05695273592365671,V,367.98
