step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,4.0490959363978245,0.5393657500000018,1.8200117434373683e-10,5.25083065221908e-06,0.0004342474925333313,7.877416317919288e-07,1.0160781206889957,2.418667536843888,0.948247086583561,1.0,0.0,False
101,20.503091550438917,7.679487457999926,1.89698126358816e-10,2.82322434453423e-05,0.001996469359935258,0.0,0.9639089329453491,2.559232437788604,0.9931251586482598,1.0,0.0,False
201,2.534942999112884,14.92162258299993,1.6553101892215558e-10,1.5253809166810995e-06,0.0005798616597085895,4.7241127308437776e-07,0.9154440250124943,4.117693258275196,1.0103173873748266,1.0,0.0,False
301,3.436280049907036,22.328153332999932,1.5807191127730354e-10,2.0546122115441625e-06,0.0005854156257798475,2.0638030803843444e-07,0.8692843275256835,4.823607011691964,1.050699617443684,1.0,0.0,False
401,4.498411615442814,29.50580570799991,1.8739366296989754e-10,2.753416589972998e-06,0.00022803534212976904,0.0,0.8342069857774816,5.6206578256800785,1.046310323730279,1.0,0.0,False
501,9.45272672262946,39.22187170799998,1.895823005496823e-10,2.894611960034108e-06,0.004236079867022498,4.2978299294830836e-08,0.8218822787334594,6.629219900705168,1.0070480766932595,1.0,0.0,False
601,4.713125986237613,46.14613687499991,2.228518505663073e-10,7.260455582619456e-07,0.002612091479184869,4.40390960668427e-06,0.7871635497496456,8.830572252430036,1.022829404153663,1.0,0.0,False
701,12.77733930696394,53.06154491699999,2.093901564396705e-10,5.2395006044555035e-06,0.0009666502877300539,5.168834320050587e-06,0.7602153451937981,8.692470204177319,1.0276043521577676,1.0,0.0,False
801,33.07925620484317,60.26922449999995,2.0007275812700455e-10,1.4972341931545923e-05,0.0007293950489017582,0.0,0.8189911401232949,8.538571471996617,0.9720503913159428,1.0,0.0,False
901,7.838871258286103,67.09747112499997,1.4462178039956942e-10,3.5310979684348614e-06,0.0003783193269983247,0.0,0.797499835857602,8.140168446008326,0.9637323587174281,1.0,0.0,False
1001,6.413371300751283,76.78651458299998,1.7881789681861437e-10,1.9360631754683642e-06,0.0011993517022617455,2.952542051510526e-06,0.815810711510725,10.220237658558549,0.9187552496197886,1.0,0.0,False
1101,46.177325564504876,83.64730699999996,2.0959313837453894e-10,1.8795870166050596e-05,0.0007441977692665988,3.072294996369683e-09,0.7896210280213395,9.59127004059598,0.9332345738755118,1.0,0.0,False
1201,3.116515064784873,90.45146891699994,2.496803933733542e-10,9.056540261570528e-07,0.0003643298237446553,0.0,0.7567558992471647,10.116047951028767,0.9709262769329211,1.0,0.0,False
1301,3.0471527233272924,97.26139204200001,1.632741718755863e-10,7.02810018749994e-07,0.0007478831228957725,0.0,0.8150171012380744,11.537360476693484,0.919035960800476,1.0,0.0,False
1401,6.337907069590948,104.11587245800001,1.7481047932350903e-10,1.7136168180142522e-06,0.001072229719518781,0.0,0.7788500155798469,11.577196644148923,0.9678984555447602,1.0,0.0,False
1501,2.6856862700226642,113.54559179199998,1.4305698630582364e-10,6.587922491920133e-07,0.0005269280227807251,0.0,0.7562422760879514,11.58811737915876,0.9615761883075102,1.0,0.0,False
1601,71.02751817922649,120.35110191699994,1.6865621825390396e-10,2.58200987514146e-05,0.0016504828683501158,6.371221317636676e-07,0.7513969985361822,10.712364151943326,0.9464646007214368,1.0,0.0,False
1701,4.803348138873112,127.24834766699996,1.5863199877376646e-10,1.3239976170156302e-06,0.0009525577562731286,1.7006837237865447e-07,0.7731088658706078,10.981954108774055,0.9046468174621531,1.0,0.0,False
1801,5.202229479341343,134.0877597079999,1.6927707524702592e-10,1.2425868717058826e-06,0.0014911379601716627,0.0,0.7529066930160664,11.406951368878184,0.8986914045022538,1.0,0.0,False
1901,4.872427426855752,140.83419237499993,1.6392517415156745e-10,1.2560090522432752e-06,0.0008531089203433776,0.0,0.7998028804183979,12.148202403740797,0.855804922913736,1.0,0.0,False
2000,4.592976245561411,147.59007704199996,1.5042999052296248e-10,9.513066748951012e-07,0.0016394202113453567,0.0,0.7998028804183979,12.148202403740797,0.855804922913736,1.0,0.0,False
