candidate_id,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,positivity_valid,hard_bounds_valid,ordering_valid,slow_feller_gap,fast_feller_gap,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,minimum_normalized_constraint_distance,constraint_violating,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,boundary_near,weak_slow_fast_separation,correlation_disk_near,feller_near,accepted,primary_rejection_reason,rejection_reasons,finite_price_rate,no_arbitrage_valid,min_normalized_price,max_normalized_price,call_strike_monotonicity,put_strike_monotonicity,strike_convexity,atm_normalized_call_by_maturity,term_structure_feature_variety,calendar_monotonicity_not_imposed,implied_volatility,runtime_seconds,nearest_candidate_id,surface_rmse,normalized_parameter_distance,similar_surface_pair_count,similar_surface_pairs_json
1,0.20588370025934,0.06181941831227962,0.13298549694642442,-0.4648549135846394,0.09152155732572101,2.483069105076995,0.06829230104644562,0.09237797879318174,-0.27775911383418295,0.06807837072674015,True,True,True,0.007770078781936803,0.3306153147201794,0.18011157388295945,0.9509110401634115,0.2932402160017331,0.7067597839982669,0.19055944810189585,0.05284193229130169,0.18011157388295945,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,8.646814947610437e-07,0.46667234110005323,True,True,True,"{""0.05"": 0.03581888722952122, ""0.25"": 0.08017843261816793, ""0.5"": 0.11308105539204433, ""1"": 0.15856023175726464, ""2"": 0.21972900807310672, ""5"": 0.3266288618836344}",6,True,unavailable_skipped_no_validated_inversion,0.08404740000332822,,,,0,[]
10,1.0355057386920652,0.04336692912958233,0.25580602969074506,-0.35787091008599275,0.06664366550918811,2.4148744868715735,0.028377707385326544,0.2597050646601295,0.1400237292159483,0.00902773823141177,True,True,True,0.024376683140126823,0.06961048251134215,0.15701553809761593,0.340387026523299,0.14767823302931793,0.8523217669706821,0.11542834712799233,0.028337654158918427,0.11542834712799233,False,True,False,False,False,True,True,False,False,False,True,,,1.0,True,1.019627120513178e-09,0.38796834713830547,True,True,True,"{""0.05"": 0.02480132132991258, ""0.25"": 0.056121207534163414, ""0.5"": 0.07977185167398687, ""1"": 0.11279671542284192, ""2"": 0.15790437489599782, ""5"": 0.24224318341183065}",6,True,unavailable_skipped_no_validated_inversion,0.07791790000192123,,,,0,[]
17,0.5646525267150895,0.09877946716505655,0.08236591563930118,-0.3736355217765941,0.039387320377038376,5.176097829281108,0.04253665940162945,0.4213566528277338,0.34914906570504134,0.0351170139042747,True,True,True,0.1047680073855383,0.2628063919050967,0.8853412804546326,0.42532928359843897,0.261508573215971,0.738491426784029,0.38589500439883,0.0777546890847248,0.38589500439883,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,3.556337446752878e-11,0.44381826765862525,True,True,True,"{""0.05"": 0.024804263060551078, ""0.25"": 0.05774692990255488, ""0.5"": 0.08448564261388909, ""1"": 0.12481443722002154, ""2"": 0.18504881750107485, ""5"": 0.3034938567699274}",6,True,unavailable_skipped_no_validated_inversion,0.0794090999988839,,,,0,[]
44,0.8793357963557797,0.0672195667960279,0.17842316438245298,-0.016110965055754378,0.045041251174960745,3.92863903128731,0.03368364384816833,0.4444336103688591,0.06501760367069498,0.07163139777602412,True,True,True,0.08638231701030362,0.06714052185029076,0.5756826655067031,0.14526826671970428,0.004486851982107308,0.9955131480178927,0.2551718188227222,0.13573305483037543,0.14526826671970428,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,2.7222702527751606e-08,0.4148263175193037,True,True,True,"{""0.05"": 0.03023305253950717, ""0.25"": 0.06519113668979237, ""0.5"": 0.08992056130545023, ""1"": 0.12499644737471406, ""2"": 0.17628911688148988, ""5"": 0.27621332366428597}",6,True,unavailable_skipped_no_validated_inversion,0.08038469999883091,,,,0,[]
53,1.4889747121120933,0.10734603683403116,0.1751871420760837,-0.03936806297727913,0.14346257557905467,3.1463652951027186,0.017428755767289663,0.27846554339289686,-0.41100011446990614,0.037975316698102224,True,True,True,0.28898053383386546,0.03213140570894177,0.8248065172840693,0.17162605893636973,0.17047093847685896,0.829529061523141,0.13869377263519878,0.07792300892570536,0.13869377263519878,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,2.0193812768809494e-06,0.4558160014395564,True,True,True,"{""0.05"": 0.037882901404368285, ""0.25"": 0.08263425260003998, ""0.5"": 0.11389046243598905, ""1"": 0.1553840403995617, ""2"": 0.21099592863465502, ""5"": 0.3141584379274681}",6,True,unavailable_skipped_no_validated_inversion,0.07686860000103479,,,,0,[]
85,0.606469329837211,0.020587498221244442,0.03496372623080969,-0.19943771970279944,0.06833448106081591,4.032339034800739,0.023765684745097625,0.3251653235514643,-0.3111213102905745,0.09027276013556307,True,True,True,0.02374891034658277,0.08593010893252272,0.906660313905499,0.2889426002446161,0.13657187375717633,0.8634281262428236,0.28668365731912365,0.030114297719406723,0.28668365731912365,False,True,False,False,False,True,True,False,False,False,True,,,1.0,True,7.193017188455997e-07,0.3764732073895251,True,True,True,"{""0.05"": 0.03491088581319943, ""0.25"": 0.07268577264120793, ""0.5"": 0.09639433580330746, ""1"": 0.12587342839789456, ""2"": 0.16326830511008267, ""5"": 0.22765405118908844}",6,True,unavailable_skipped_no_validated_inversion,0.07991609999953653,,,,0,[]
91,0.9045968514641729,0.05886007610784913,0.062463051794918484,-0.6447647605058817,0.06914100870801484,5.205314085115375,0.038102331753427046,0.3079244462881735,-0.526072341295947,0.08917848091361621,True,True,True,0.10258764620866916,0.30185174368182693,0.9293124266696444,0.6141605872750301,0.6924737046668064,0.30752629533319364,0.35989265553566546,0.05775181084916431,0.30752629533319364,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,1.044684136104479e-06,0.4162608695292506,True,True,True,"{""0.05"": 0.03494752132570667, ""0.25"": 0.07379219519570761, ""0.5"": 0.10007748495781385, ""1"": 0.13595979815220893, ""2"": 0.18589645617821937, ""5"": 0.27980368028330266}",6,True,unavailable_skipped_no_validated_inversion,0.0771110999994562,,,,0,[]
96,1.20988526808258,0.06484256353145733,0.31279776915437585,-0.7149046461806347,0.12006507489937157,4.492107651015609,0.04221408384640077,0.12015525225459761,0.03967573016372461,0.03999937530806207,True,True,True,0.059061680334883765,0.3648231334096967,0.23184485090826548,0.9266580193614952,0.5126628166946832,0.48733718330531683,0.27466296091489784,0.07702692458501512,0.23184485090826548,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,2.372425742294126e-06,0.42522493097424,True,True,True,"{""0.05"": 0.035672727086138424, ""0.25"": 0.07824433750749137, ""0.5"": 0.10800621601512204, ""1"": 0.14676772609595268, ""2"": 0.19720673765624455, ""5"": 0.2908708996110445}",6,True,unavailable_skipped_no_validated_inversion,0.07944330000100308,,,,0,[]
126,1.2599061579458293,0.09483309488120657,0.1739773966601356,-0.4660957019563568,0.03330841086547785,3.615779720231349,0.028409284655169967,0.4190092933195133,-0.25114336043148827,0.0896244068455401,True,True,True,0.20869346588714835,0.029874642756768488,0.775150136738134,0.07840862130824464,0.2803181908710094,0.7196818091289906,0.1971442311536,0.09596071479823001,0.07840862130824464,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,1.7865512063508505e-07,0.43409191745194403,True,True,True,"{""0.05"": 0.03099373133665644, ""0.25"": 0.06673523780274807, ""0.5"": 0.09238133486633338, ""1"": 0.1300923934358871, ""2"": 0.18701466914918627, ""5"": 0.2966321501504154}",6,True,unavailable_skipped_no_validated_inversion,0.07803860000058194,,,,0,[]
136,1.242158309877061,0.03678848168281677,0.20824810572147434,-0.5844886324200301,0.05191142395713282,2.0684109711513488,0.06644505804237236,0.2874920881162083,0.34511695941862175,0.08502341432891558,True,True,True,0.04802696292355945,0.19221967333784462,0.35638486779145556,0.5376427058509667,0.4607326771065917,0.5392673228934083,0.06914248211500316,0.12974890482782359,0.06914248211500316,False,False,False,False,True,False,False,True,False,False,True,,,1.0,True,1.3453813323849318e-07,0.4268983619657459,True,True,True,"{""0.05"": 0.03301853101170295, ""0.25"": 0.07263639820861727, ""0.5"": 0.10082777411195544, ""1"": 0.1387942265687191, ""2"": 0.19032509453824062, ""5"": 0.2872009358413915}",6,True,unavailable_skipped_no_validated_inversion,0.09259309999833931,,,,0,[]
209,0.34398649971452855,0.10219496217741068,0.19876724602090773,-0.5660975384936445,0.05523202365275918,3.84031884749276,0.07703970288506354,0.5951663884982572,-0.09713830750413954,0.027813595746673168,True,True,True,0.030798956564996205,0.2374910159914453,0.28046017603407686,0.2510642853738487,0.3299022738733321,0.6700977261266678,0.29258011278478924,0.09965644058119612,0.2510642853738487,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,1.1764428649030378e-08,0.46875934312692025,True,True,True,"{""0.05"": 0.02658036931713184, ""0.25"": 0.06415302657756455, ""0.5"": 0.09551467007065455, ""1"": 0.14172787460051695, ""2"": 0.2070391514290099, ""5"": 0.3293255464072824}",6,True,unavailable_skipped_no_validated_inversion,0.10216450000007171,,,,0,[]
229,1.3239457853303174,0.09307897106472243,0.3033427841506122,-0.3504333552367737,0.09635817373572286,2.6643959877157517,0.042866876034142645,0.11036572688298021,-0.19287130653962054,0.06987049614749535,True,True,True,0.15444617819179873,0.21624807135214777,0.45629354352467777,0.8987520784813031,0.1600028773488031,0.8399971226511969,0.11217156505317442,0.07047874707891652,0.11217156505317442,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,1.516649424075922e-06,0.45850026476622346,True,True,True,"{""0.05"": 0.03634039594983165, ""0.25"": 0.07983215865967154, ""0.5"": 0.11082321170556703, ""1"": 0.152900617309722, ""2"": 0.21063416771552185, ""5"": 0.31851756154780275}",6,True,unavailable_skipped_no_validated_inversion,0.09450530000322033,4945.0,0.0008194802422048665,0.27956373918236643,1,"[{""nearest_candidate_id"":4945,""normalized_parameter_distance"":0.27956373918236643,""surface_rmse"":0.0008194802422048665}]"
244,0.9642365305268652,0.030796331207400246,0.0718244735909184,-0.060551069087225295,0.032179437772147934,5.595007006652699,0.0712409632283961,0.592274409197274,0.32324964886903096,0.07920892801439033,True,True,True,0.054231140106147144,0.4463984010571468,0.8401591668587258,0.38885679137178203,0.10815676746155775,0.8918432325384422,0.3875121737343794,0.06716027496574713,0.3875121737343794,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,5.749426890133691e-09,0.4245455988638558,True,True,True,"{""0.05"": 0.02975158162390393, ""0.25"": 0.0658299460840182, ""0.5"": 0.09271492052118341, ""1"": 0.13084424684726825, ""2"": 0.18420860606211234, ""5"": 0.2838562697340101}",6,True,unavailable_skipped_no_validated_inversion,0.099644800000533,,,,0,[]
281,1.0559967106617598,0.04659407341224728,0.2911070884854319,-0.7002491826465639,0.14254339721761888,4.905591421936745,0.058113515322814766,0.13842739059054449,0.2372612835309701,0.09167645204700908,True,True,True,0.01366303955286631,0.5510001820666723,0.07460038726146247,0.934969126385281,0.5466418344599442,0.4533581655400558,0.322141816843095,0.08924909069601637,0.07460038726146247,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,1.7495641186684453e-05,0.43740454384625865,True,True,True,"{""0.05"": 0.04272914460961893, ""0.25"": 0.09117421522452361, ""0.5"": 0.12312136763513734, ""1"": 0.16291505129041944, ""2"": 0.21220727145219642, ""5"": 0.3007048001182191}",6,True,unavailable_skipped_no_validated_inversion,0.10730139999941457,,,,0,[]
285,1.0727864315324775,0.08943591907687175,0.3436816570223211,-0.19894931309542452,0.09382269472954889,4.695384541241887,0.07316724002392261,0.33376294462999956,-0.46985547058532895,0.09529042338649785,True,True,True,0.073774199581001,0.5756989522592335,0.23797486953882047,0.7209806130806451,0.2603449924201022,0.7396550075798978,0.3031462853313313,0.21990832416722378,0.23797486953882047,False,False,False,False,False,False,False,False,False,False,True,,,1.0,True,5.1046365693707686e-06,0.4862229245507676,True,True,True,"{""0.05"": 0.03867214554869456, ""0.25"": 0.08470492192689079, ""0.5"": 0.11780508655162322, ""1"": 0.16355597851946585, ""2"": 0.22674236193263403, ""5"": 0.34312696155953043}",6,True,unavailable_skipped_no_validated_inversion,0.10976980000123149,,,,0,[]
