generator_factors,case,model,parameter_index,truth,estimate,tolerance_error
1,0,single_sobolev_s17,0,0.45156237398888516,0.43953288353059955,0.532794189738302
1,0,single_sobolev_s17,1,0.21282127140844664,0.21598026730582737,0.29686843579822214
1,0,single_sobolev_s17,2,0.14670331266243702,0.14007913483782009,0.9030713355272504
1,0,single_sobolev_s17,3,-0.46643879595606175,-0.4784126551082243,0.23947718304325072
1,0,single_sobolev_s17,4,0.04824952672566455,0.048344922945676425,0.0395428624841337
1,1,single_sobolev_s17,0,1.509634654383853,1.5478811068268308,0.5066981250319506
1,1,single_sobolev_s17,1,0.1275693320682145,0.12680627824691695,0.1196296647362737
1,1,single_sobolev_s17,2,0.28471203214017604,0.30296117910496323,1.281937178952967
1,1,single_sobolev_s17,3,-0.16187440407706866,-0.14785867276340625,0.2803146262732481
1,1,single_sobolev_s17,4,0.08960351852599167,0.08953516510539047,0.015256860829939907
1,2,single_sobolev_s17,0,0.5676653662312384,0.9136610861990336,12.190129627420458
1,2,single_sobolev_s17,1,0.10006212384540762,0.09438864861828981,1.133990566876858
1,2,single_sobolev_s17,2,0.08748766751067444,0.06866807709035616,4.302227035146887
1,2,single_sobolev_s17,3,-0.6238137053174602,-0.7999890000000001,3.523505893650798
1,2,single_sobolev_s17,4,0.0830697792839413,0.0830885540886984,0.0045202491011642355
1,3,single_sobolev_s17,0,0.6417330181807919,1.12766989112509,15.14451833324237
1,3,single_sobolev_s17,1,0.1049350627151119,0.10196136518021472,0.5667690966117718
1,3,single_sobolev_s17,2,0.2673255173175557,0.300094712152188,2.451632389115014
1,3,single_sobolev_s17,3,-0.26631100358216475,-0.25037708597353736,0.3186783521725478
1,3,single_sobolev_s17,4,0.09905869510425758,0.09890712716265156,0.030601643085747886
1,4,single_sobolev_s17,0,0.3806088423199496,0.4483816153164905,3.5612821070283665
1,4,single_sobolev_s17,1,0.06781424054994113,0.07159880774667583,1.1161570684987892
1,4,single_sobolev_s17,2,0.07397356591201387,0.07375242598907954,0.059788904376291654
1,4,single_sobolev_s17,3,0.13504188089788127,0.1616021887779946,0.5312061576022664
1,4,single_sobolev_s17,4,0.08690774098773436,0.08675379486055747,0.03542748331213052
1,5,single_sobolev_s17,0,1.0974363591290863,1.21467305391519,2.1365556883706938
1,5,single_sobolev_s17,1,0.04251107418055978,0.05290875363288214,4.891750986182887
1,5,single_sobolev_s17,2,0.07232739379407693,0.16265133396697432,24.976412237404364
1,5,single_sobolev_s17,3,0.1027755731223906,0.05155104130400012,1.0244906363678097
1,5,single_sobolev_s17,4,0.20219185073786422,0.20261779034110974,0.042132222608490914
1,6,single_sobolev_s17,0,3.3870895872483033,3.480086035090657,0.5491230476599511
1,6,single_sobolev_s17,1,0.07590991041353935,0.07572674303045812,0.04825914879450614
1,6,single_sobolev_s17,2,0.5785201011593707,0.5876721020202175,0.3163935304064943
1,6,single_sobolev_s17,3,-0.6641627375619916,-0.6565265277332718,0.1527241965743964
1,6,single_sobolev_s17,4,0.07066093451964107,0.07051512578534834,0.04126997053858824
1,7,single_sobolev_s17,0,0.3156477896275622,0.9483183974554745,40.08712423263983
1,7,single_sobolev_s17,1,0.13408981356562846,0.12196600470658257,1.8083116885104853
