generator_factors,case,quote,x,tau,holdout,true_price,observed_price,observed_iv
1,0,0,0.2231435513142097,0.0821917808219178,False,0.25001453060355716,0.25001438834871925,0.24317088517326657
1,0,1,0.19845093872383818,0.0821917808219178,False,0.2195584215450166,0.21955903646878108,0.24168031347395932
1,0,2,0.17435338714477766,0.0821917808219178,True,0.1906087912764748,0.19060871197513543,0.2394467864060976
1,0,3,0.15082288973458366,0.0821917808219178,False,0.16313523062293012,0.16313614756177708,0.23767852503276335
1,0,4,0.12783337150988489,0.0821917808219178,False,0.13717821271019037,0.1371772151325923,0.23572421063828616
1,0,5,0.10536051565782628,0.0821917808219178,True,0.1128717752456656,0.11286744549073247,0.23388255382962256
1,0,6,0.08338160893905101,0.0821917808219178,False,0.09045244884984505,0.0903713613074953,0.2307937129733777
1,0,7,0.06187540371808741,0.0821917808219178,False,0.07023870764729934,0.07013633695927389,0.22928099263724847
1,0,8,0.040821994520255166,0.0821917808219178,True,0.05257253474997947,0.05245880121799551,0.22783839937505268
1,0,9,0.020202707317519466,0.0821917808219178,False,0.03773178872520355,0.03781968282852535,0.22826815022263777
1,0,10,-0.0,0.0821917808219178,False,0.025840727949110742,0.02611721045860152,0.228391588096859
1,0,11,-0.01980262729617973,0.0821917808219178,True,0.01681363762355431,0.016884030371945545,0.22518484999536614
1,0,12,-0.03922071315328133,0.0821917808219178,False,0.010355528156707317,0.010380603314273896,0.22342034013314135
1,0,13,-0.058268908123975824,0.0821917808219178,False,0.006019228450116043,0.00594950893567566,0.2208692951132692
1,0,14,-0.0769610411361284,0.0821917808219178,True,0.0032944757954371517,0.003288136355518499,0.22044069306279776
1,0,15,-0.09531017980432493,0.0821917808219178,False,0.001695237802250102,0.0016950150212307563,0.219350073878013
1,0,16,-0.11332868530700327,0.0821917808219178,False,0.0008193652134474844,0.0008127888458431841,0.21789674274751397
1,0,17,-0.1310282624064042,0.0821917808219178,True,0.00037186627718236234,0.0003696528884256981,0.21693727875200428
1,0,18,-0.14842000511827322,0.0821917808219178,False,0.0001585063746933294,0.0001593525549454439,0.21624331382402961
1,0,19,-0.16551443847757333,0.0821917808219178,False,6.34960496844199e-05,6.310250882698514e-05,0.2150019496491355
1,0,20,-0.1823215567939546,0.0821917808219178,True,2.3930448284923854e-05,2.417230095658326e-05,0.21442428562296761
1,0,21,0.2231435513142097,0.1643835616438356,False,0.25052614199176904,0.2505168143738659,0.2478239926161277
1,0,22,0.19845093872383818,0.1643835616438356,False,0.22048634970712477,0.22048494119661777,0.24650030400377873
1,0,23,0.17435338714477766,0.1643835616438356,True,0.19219494747261212,0.19220624442648282,0.245035122699746
1,0,24,0.15082288973458366,0.1643835616438356,False,0.16568725578906662,0.16573006321135897,0.2437546212181379
1,0,25,0.12783337150988489,0.1643835616438356,False,0.1410370143553208,0.1410169726877434,0.24096920939401315
1,0,26,0.10536051565782628,0.1643835616438356,True,0.11834628118377821,0.11837116014808759,0.23983450867000464
1,0,27,0.08338160893905101,0.1643835616438356,False,0.09772910007811675,0.0978864530852212,0.2393049374288506
1,0,28,0.06187540371808741,0.1643835616438356,False,0.07929047560162183,0.07938088435034535,0.23704811375799936
1,0,29,0.040821994520255166,0.1643835616438356,True,0.06310379212622486,0.0634814941752677,0.23736942527653826
1,0,30,0.020202707317519466,0.1643835616438356,False,0.04919076918768561,0.04941612811434267,0.2348052480977634
1,0,31,-0.0,0.1643835616438356,False,0.0375079433892076,0.03794833283219895,0.23470226178828515
1,0,32,-0.01980262729617973,0.1643835616438356,True,0.027942439558102383,0.028300340783183393,0.23289990704608388
1,0,33,-0.03922071315328133,0.1643835616438356,False,0.020317775825247297,0.020096335937526057,0.22777239616935094
1,0,34,-0.058268908123975824,0.1643835616438356,False,0.014408256709562806,0.01438728696675368,0.22787957472324896
1,0,35,-0.0769610411361284,0.1643835616438356,True,0.009958804317218128,0.010007792085270762,0.22728423567761102
1,0,36,-0.09531017980432493,0.1643835616438356,False,0.006706311920575303,0.006779174476319712,0.22649765250213774
1,0,37,-0.11332868530700327,0.1643835616438356,False,0.004398876186835363,0.004410433172806486,0.22475157773202709
1,0,38,-0.1310282624064042,0.1643835616438356,True,0.0028103343693298144,0.002820359383969092,0.22373099113654854
1,0,39,-0.14842000511827322,0.1643835616438356,False,0.0017489623158881626,0.0017560362580861055,0.22273368764291346
1,0,40,-0.16551443847757333,0.1643835616438356,False,0.0010605287761111803,0.0010403870747314867,0.22087027432506237
1,0,41,-0.1823215567939546,0.1643835616438356,True,0.0006268399696812525,0.0006175109538972029,0.22022122468961336
1,0,42,0.2231435513142097,0.2465753424657534,False,0.25213969141901593,0.2521316624742658,0.25313910086140584
1,0,43,0.19845093872383818,0.2465753424657534,False,0.222798562995564,0.22275613829900548,0.250845237327825
1,0,44,0.17435338714477766,0.2465753424657534,True,0.19537149207620286,0.1953134359900373,0.24907812704590804
1,0,45,0.15082288973458366,0.2465753424657534,False,0.1698736784058048,0.16977508667203645,0.24713923695544152
1,0,46,0.12783337150988489,0.2465753424657534,False,0.14633326165035165,0.14630078417147033,0.24622022269545416
1,0,47,0.10536051565782628,0.2465753424657534,True,0.12478218072732006,0.12470523010733463,0.24436256663303949
1,0,48,0.08338160893905101,0.2465753424657534,False,0.10524624145667483,0.10530978391094524,0.24375354174109476
1,0,49,0.06187540371808741,0.2465753424657534,False,0.08773543449229426,0.08789980867280651,0.24279286366481834
1,0,50,0.040821994520255166,0.2465753424657534,True,0.07223563707505576,0.07254947869554149,0.24207954057632552
1,0,51,0.020202707317519466,0.2465753424657534,False,0.05870271754715206,0.058550647470237804,0.23826585761763336
1,0,52,-0.0,0.2465753424657534,False,0.04705975551235847,0.04726421014163266,0.23872711238043712
1,0,53,-0.01980262729617973,0.2465753424657534,True,0.03719765268596825,0.036972128562546655,0.23522819828674538
1,0,54,-0.03922071315328133,0.2465753424657534,False,0.02897892923899348,0.029433454929601748,0.2376266596665117
1,0,55,-0.058268908123975824,0.2465753424657534,False,0.022244073687385957,0.022269362496000828,0.23409758277437206
1,0,56,-0.0769610411361284,0.2465753424657534,True,0.01681951954626726,0.016673407386003602,0.23183765110735371
1,0,57,-0.09531017980432493,0.2465753424657534,False,0.012526202509859308,0.01278988834385049,0.23365875399748187
1,0,58,-0.11332868530700327,0.2465753424657534,False,0.009187709652731052,0.009347648734624006,0.23203097398546169
1,0,59,-0.1310282624064042,0.2465753424657534,True,0.006637232192297143,0.0067088428846735545,0.23037814170243054
1,0,60,-0.14842000511827322,0.2465753424657534,False,0.004722817621205633,0.0046936571200222625,0.22829859016490672
1,0,61,-0.16551443847757333,0.2465753424657534,False,0.003310721234427383,0.0033253229484288727,0.22799380040135506
1,0,62,-0.1823215567939546,0.2465753424657534,True,0.0022869260517601048,0.0023027708372188407,0.22721900487134683
1,0,63,0.2231435513142097,0.4931506849315068,False,0.2619557427069168,0.26183321037163076,0.26613172563696624
1,0,64,0.19845093872383818,0.4931506849315068,False,0.23460016337990897,0.23483654480129373,0.266725639031859
1,0,65,0.17435338714477766,0.4931506849315068,True,0.2092525589252494,0.20917856610193927,0.2634883767964076
1,0,66,0.15082288973458366,0.4931506849315068,False,0.1858498215981229,0.18621391054765918,0.26409020292863944
1,0,67,0.12783337150988489,0.4931506849315068,False,0.1643296971707745,0.16408456845744018,0.25992798737370815
1,0,68,0.10536051565782628,0.4931506849315068,True,0.14462839962863772,0.14469185129726642,0.2598563788474396
1,0,69,0.08338160893905101,0.4931506849315068,False,0.12667875472825174,0.12638513757375158,0.2571424025152964
1,0,70,0.06187540371808741,0.4931506849315068,False,0.11040890690002392,0.11005811268068424,0.255676627828218
1,0,71,0.040821994520255166,0.4931506849315068,True,0.09574159570150131,0.09594085889864659,0.25643361485257415
1,0,72,0.020202707317519466,0.4931506849315068,False,0.08259397857874218,0.08229375666702489,0.25343005454004897
1,0,73,-0.0,0.4931506849315068,False,0.07087794911137235,0.07124476484499147,0.2546428066090668
1,0,74,-0.01980262729617973,0.4931506849315068,True,0.06050087676939553,0.060532339946648236,0.2523085415826435
1,0,75,-0.03922071315328133,0.4931506849315068,False,0.051366677368855584,0.05078106421140319,0.2489045780639525
1,0,76,-0.058268908123975824,0.4931506849315068,False,0.04337711392847843,0.043295117281186395,0.24972201763996407
1,0,77,-0.0769610411361284,0.4931506849315068,True,0.0364332257087181,0.03650031298264442,0.24929787235244147
1,0,78,-0.09531017980432493,0.4931506849315068,False,0.030436788304702145,0.030374595850714347,0.24776967586813609
1,0,79,-0.11332868530700327,0.4931506849315068,False,0.025291718606195057,0.025201403285234916,0.24667258699873623
1,0,80,-0.1310282624064042,0.4931506849315068,True,0.020905353669071952,0.021054189375563095,0.24694657389266308
1,0,81,-0.14842000511827322,0.4931506849315068,False,0.017189550318451513,0.01726125215402261,0.24571695807951094
1,0,82,-0.16551443847757333,0.4931506849315068,False,0.014061570900220172,0.013793255519909245,0.24281206690455082
1,0,83,-0.1823215567939546,0.4931506849315068,True,0.011444738483872896,0.011358283376623552,0.2430776560849487
1,0,84,0.2231435513142097,1.0,False,0.2910878052300234,0.2913025033596798,0.29132865890575976
1,0,85,0.19845093872383818,1.0,False,0.26602590559638206,0.2664232856023824,0.29058548892076447
1,0,86,0.17435338714477766,1.0,True,0.24280433797344014,0.24287839433169384,0.28843481612132715
1,0,87,0.15082288973458366,1.0,False,0.2213135042934976,0.22084948645588645,0.28580766454305734
1,0,88,0.12783337150988489,1.0,False,0.20144996882046917,0.20139951733826952,0.28579304093084795
1,0,89,0.10536051565782628,1.0,True,0.18311567408498974,0.18381276044400274,0.2866179382042235
1,0,90,0.08338160893905101,1.0,False,0.16621732843012782,0.16567784119892529,0.2823900876589209
1,0,91,0.06187540371808741,1.0,False,0.15066593611428725,0.15064104803034026,0.28266055036024257
1,0,92,0.040821994520255166,1.0,True,0.13637644428083406,0.13621941285203532,0.2813253672898689
1,0,93,0.020202707317519466,1.0,False,0.12326748414342031,0.12318101611983133,0.28052779790561494
1,0,94,-0.0,1.0,False,0.11126118652614636,0.11119892997586457,0.2796428876048939
1,0,95,-0.01980262729617973,1.0,True,0.10028305448382169,0.1011463544285042,0.2810970430927545
1,0,96,-0.03922071315328133,1.0,False,0.09026187813448927,0.08955274176000542,0.2761476873320897
1,0,97,-0.058268908123975824,1.0,False,0.08112967907508867,0.08094988365653569,0.27665634142752077
1,0,98,-0.0769610411361284,1.0,True,0.07282167382424926,0.07351587211785948,0.2781982228817616
1,0,99,-0.09531017980432493,1.0,False,0.06527624764166134,0.0650565603329634,0.2748727278964155
1,0,100,-0.11332868530700327,1.0,False,0.05843493180754322,0.05882306146115875,0.2758393878238238
