symbol,test_holdout_rows,kappa,theta,sigma,rho,feller_ratio,median_v0,network_iv_bias_vs_exact,network_iv_rmse_vs_exact,network_price_rmse_vs_exact,market_iv_rmse_network_priced,market_iv_rmse_exactly_priced
ADANIENSOL,73,14.974802598214923,0.3677005853041455,4.317739644957874,-0.1462136100088613,1.3011091763113785,0.1758216416451018,-0.0011909781437678714,0.0014653913343149528,0.17452398674301223,0.027785970812288223,0.028239995233116343
ADANIGREEN,209,7.1354374702662655,0.9982246133245156,5.0,-0.0617945726476393,1.3247397476258242,0.0142403524835905,0.00036778858430270927,0.0016010200798144089,0.17807307315762225,0.033214424669780626,0.03302234786578454
ADANIPOWER,51,14.843934427922282,0.167222153721726,2.949798640321309,-0.0637452239775911,1.3239023509322028,0.1900411555253669,-0.0008831941458461467,0.001163673259397243,0.016191853435359886,0.01980902994786371,0.019634395292146074
CESC,45,14.945517738233532,0.416043662858006,4.75831355870214,0.0853836368050644,1.3493142959605215,0.0050090519524151,-0.0003106356360671223,0.0014649275521255616,0.012299458329396596,0.04429456591635532,0.04442536960618728
JSWENERGY,97,14.974789524128752,0.3338393275619543,4.216513720354566,-0.0931617935788549,1.333488909560388,0.0193651969337967,-0.0005727987528122413,0.0007645312212534359,0.024554113474887503,0.029958701625256944,0.030186491206554367
NHPC,109,14.97481640142686,0.2249167476132475,3.978225021793007,-0.0791420404125596,1.532790133423059,0.0050090519524151,0.00012424205329326959,0.0007809278562382121,0.0039434298816616595,0.0283257842813135,0.028528189943849088
NTPC,260,14.974751222646349,0.1142071420781011,2.927857673248797,-0.0688696187509088,1.58310063637677,0.0265179923385736,0.0004367663242989319,0.0006870126341542372,0.015224384820642995,0.016794848629627542,0.01700759220795903
POWERGRID,226,14.974816336444333,0.1229879222624897,2.6160278474727634,-0.0631677988883326,1.3630612773427186,0.0256634230280859,-0.00012834482714938684,0.0005005030132994434,0.009474192113871191,0.017454798966316614,0.017721075003819673
SJVN,34,14.974812034048236,0.347392028594519,4.46337677168593,-0.1142582641396335,1.3837509653505708,0.0812481924237183,-0.0008373569953522041,0.0009676876872187158,0.0051273061565693945,0.01991980488621885,0.01984161075349042
TATAPOWER,393,14.974815517196287,0.1526928349734984,3.71522063169205,0.0398732949144329,1.7373188922126237,0.0384609264497808,0.0009731888919368542,0.0015944890471569202,0.04711267886868691,0.023094982455899696,0.0229746154936239
TORNTPOWER,50,14.974723794284609,0.3209590063642853,3.11226582382007,-0.1411717004399102,1.0038238088578486,0.0437654715192435,-0.0007698099330337338,0.0009098309737703824,0.11405701044836347,0.035758220826424506,0.03615061280807443
