symbol,trade_date,engine,kappa,theta,sigma,rho,v0,calibration_iv_rmse,holdout_iv_rmse
ADANIENSOL,2024-12-05,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.2801139295220319,0.005953568910007997,0.009340210604350996
ADANIENSOL,2024-12-12,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.2775652284265052,0.04056756620926675,0.026648015214306334
ADANIENSOL,2024-12-17,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.21177422517323702,0.052142890970124395,0.04756302584693223
ADANIENSOL,2025-01-01,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.05769284118261862,0.0069057165113068485,0.006577577198349929
ADANIENSOL,2025-01-02,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.005009052297553552,0.007432435708341492,0.008598459348932663
ADANIENSOL,2025-01-14,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.26412004832974534,0.0184059186652906,0.008268614536923768
ADANIENSOL,2025-02-03,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.14218345689152023,0.01613480290791228,0.008804603788068945
ADANIENSOL,2025-02-05,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.2143612881361534,0.011724113128150034,0.0114317022052199
ADANIENSOL,2025-02-07,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.13348829214316685,0.015097125703778337,0.013228027120264644
ADANIENSOL,2025-02-25,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.1615127631287124,0.029056760967908567,0.03011253986557285
ADANIENSOL,2025-03-03,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.2252065701111995,0.011847697009280773,0.011057527164361553
ADANIENSOL,2025-03-13,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,0.17985031427213888,0.02094207028223478,0.02430466650608657
ADANIGREEN,2024-11-29,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.4645743843203969,0.016764348854611286,0.020110387547932724
ADANIGREEN,2024-12-05,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.37819544978218644,0.007810349935715517,0.009253796445773085
ADANIGREEN,2024-12-12,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.37464072168935786,0.020890644797882062,0.020679241040842462
ADANIGREEN,2024-12-17,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.34039948801353753,0.032963671177416505,0.0612175860076848
ADANIGREEN,2024-12-26,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.058755466077899714,0.014512695517874125,0.012122207721571444
ADANIGREEN,2024-12-31,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.08745962584332294,0.009468218186566015,0.004250997121773866
ADANIGREEN,2025-01-07,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.128953912385502,0.009976704738204766,0.009075033765973068
ADANIGREEN,2025-01-16,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.35337794765800906,0.028334696445987993,0.029359160672257155
ADANIGREEN,2025-01-29,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.31716881443006434,0.0023830500463213455,0.008058944161337699
ADANIGREEN,2025-02-10,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.17864819814540428,0.013270723793110123,0.014689061829051026
ADANIGREEN,2025-02-27,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.12684308695435859,0.0072306753835268585,0.005937622076787586
ADANIGREEN,2025-03-10,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,0.19332567066842513,0.029624400812736956,0.04192521309017088
ADANIPOWER,2026-04-06,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,0.47729497322760495,0.01828068684064555,0.016515379981018742
ADANIPOWER,2026-04-08,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,0.4493751224491391,0.024677785610352897,0.012058483153030358
ADANIPOWER,2026-04-21,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,0.48815288225653625,0.03944852374258628,0.02417110032700517
ADANIPOWER,2026-04-22,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,0.6991925475373064,0.012456817196688492,0.0066404081971140885
ADANIPOWER,2026-04-23,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,0.7006652533876251,0.0075004081543443455,0.015291836855869422
