engine,rows,iv_rmse,iv_mae,iv_bias,iv_r2,raw_price_rmse,raw_price_mae
published classical (repository baseline),1547,0.028111645708325115,0.015564141189260732,-0.0011745786539804398,0.9042257476135556,1.1090869136776875,0.4734209291767705
pinn,1547,0.025411690195221034,0.016620514753448314,0.0053886213009733345,0.9217393711835038,2.0203556437323735,0.8112475814529364
fourier,1547,0.02709525215668813,0.017572859809964574,0.006377443556950615,0.9110261008851711,2.419493110053973,0.9447200234681203
