symbol,slice,days_to_expiry,maturity_years,strike,spot_low,spot_high,max_abs_price_gap,max_abs_price_gap_pct_of_strike,rmse_price_gap
ADANIENSOL,1 month,30,0.0821917808219178,915.5,0.0,3000.0,0.19303195856888067,0.0210848671293152,0.04974184880903599
ADANIENSOL,2 month,60,0.1643835616438356,915.5,0.0,3000.0,0.3237959703939737,0.035368210856796686,0.10452187118778408
ADANIENSOL,3 month,90,0.2465753424657534,915.5,0.0,3000.0,0.6400112899956696,0.06990838776577495,0.19546096425639906
ADANIGREEN,1 month,30,0.0821917808219178,1020.8,0.0,2760.0,0.23917253840363628,0.023429911677472208,0.10026747161900933
ADANIGREEN,2 month,60,0.1643835616438356,1020.8,0.0,2760.0,0.4135428378973529,0.040511641643549465,0.23238102998706917
ADANIGREEN,3 month,90,0.2465753424657534,1020.8,0.0,2760.0,0.3742076684288804,0.03665827472853453,0.23969218225143687
ADANIPOWER,1 month,30,0.0821917808219178,221.33,0.0,420.0,0.04341893762780913,0.01961728533312661,0.015997827263286052
ADANIPOWER,2 month,60,0.1643835616438356,221.33,0.0,420.0,0.047820813999212675,0.02160611485077155,0.016366135413346486
ADANIPOWER,3 month,90,0.2465753424657534,221.33,0.0,420.0,0.11463570028135095,0.05179401810931683,0.04108705436404947
CESC,1 month,30,0.0821917808219178,164.385,0.0,1950.0,0.026753401817523503,0.01627484370077775,0.0033330992566774223
CESC,2 month,60,0.1643835616438356,164.385,0.0,1950.0,0.04070285713558519,0.024760688101460104,0.006050926760075831
CESC,3 month,90,0.2465753424657534,164.385,0.0,1950.0,0.034637198879210906,0.02107077828221,0.008427648746297799
JSWENERGY,1 month,30,0.0821917808219178,515.05,0.0,1170.0,0.0770123140057919,0.014952395690863391,0.023145891713020228
JSWENERGY,2 month,60,0.1643835616438356,515.05,0.0,1170.0,0.1322567436305775,0.0256784280420498,0.04874108957027276
JSWENERGY,3 month,90,0.2465753424657534,515.05,0.0,1170.0,0.28623720848203504,0.055574644885357745,0.09744699217466285
NHPC,1 month,30,0.0821917808219178,79.56,0.0,153.0,0.007872457027936264,0.009894993750548345,0.002336022045135467
NHPC,2 month,60,0.1643835616438356,79.56,0.0,153.0,0.015514018749714253,0.019499772184155672,0.004874527642848653
NHPC,3 month,90,0.2465753424657534,79.56,0.0,153.0,0.04033733642338433,0.05070052340797427,0.012691162160778724
NTPC,1 month,30,0.0821917808219178,346.15,0.0,750.0,0.02646203118161683,0.00764467172659738,0.0052200943863758885
NTPC,2 month,60,0.1643835616438356,346.15,0.0,750.0,0.03349508248734079,0.009676464679283776,0.009917269316442434
NTPC,3 month,90,0.2465753424657534,346.15,0.0,750.0,0.10513703179519496,0.030373257777031624,0.028250412897311155
POWERGRID,1 month,30,0.0821917808219178,293.4,0.0,630.0,0.022594889909779425,0.0077010531389841265,0.003715590292327162
POWERGRID,2 month,60,0.1643835616438356,293.4,0.0,630.0,0.03603670313962226,0.01228244824118005,0.007176796624990922
POWERGRID,3 month,90,0.2465753424657534,293.4,0.0,630.0,0.08380644494993916,0.028563887167668427,0.022021265475756106
SJVN,1 month,30,0.0821917808219178,97.25,0.0,210.0,0.016173960560823097,0.016631321913442774,0.005246100143780584
SJVN,2 month,60,0.1643835616438356,97.25,0.0,210.0,0.028319087806965015,0.029119884634411328,0.01111167140592463
SJVN,3 month,90,0.2465753424657534,97.25,0.0,210.0,0.06079539128633371,0.06251454116846654,0.02167035822534035
TATAPOWER,1 month,30,0.0821917808219178,395.5,0.0,840.0,0.06648462304914915,0.01681027131457627,0.0132392262944301
TATAPOWER,2 month,60,0.1643835616438356,395.5,0.0,840.0,0.0685461071807758,0.017331506240398434,0.0185978962610624
TATAPOWER,3 month,90,0.2465753424657534,395.5,0.0,840.0,0.07625651022000568,0.019281039246524825,0.031346419547532006
TORNTPOWER,1 month,30,0.0821917808219178,1420.0,0.0,3000.0,0.19909764774462246,0.01402096110877623,0.061260584928731536
TORNTPOWER,2 month,60,0.1643835616438356,1420.0,0.0,3000.0,0.3159881113298866,0.022252683896470886,0.12985054640250382
TORNTPOWER,3 month,90,0.2465753424657534,1420.0,0.0,3000.0,0.5830992854755266,0.041063329963065255,0.23099057418445976
