symbol,engine,kappa,theta,sigma,rho,feller_ratio,feller_gap,v0_training_median,objective,optimizer_evaluations,joint_fit_seconds,training_surface_fits,training_last_date,test_first_date
ADANIENSOL,pinn,14.974802598214925,0.3677005853041455,4.317739644957874,-0.14621361000886135,1.3011091763113785,-7.630388281285615,0.19581226972268795,5.984251494257604e-05,159,2.4135030829929747,12,2026-01-29,2026-05-06
ADANIGREEN,pinn,7.1354374702662655,0.9982246133245157,5.0,-0.06179457264763932,1.3247397476258242,-10.754461380684393,0.25524724254924475,3.065723734883233e-05,212,3.4044182500074385,12,2026-01-28,2026-05-06
ADANIPOWER,pinn,14.843934427922282,0.16722215372172605,2.949798640321309,-0.06374522397759119,1.3239023509322028,-3.736842648958959,0.5035488986883127,1.979815731269342e-05,264,5.012175041993032,12,2026-06-24,2026-07-16
CESC,pinn,14.945517738233532,0.416043662858006,4.75831355870214,0.08538363680506444,1.3493142959605215,-10.205572036680664,0.054362084112299605,3.134338360435953e-05,156,2.2587218749977183,12,2025-06-03,2025-08-01
JSWENERGY,pinn,14.974789524128752,0.3338393275619543,4.216513720354566,-0.0931617935788549,1.333488909560388,-7.780640623704425,0.1269634818760908,3.2365616359094154e-05,128,1.809817874993314,12,2026-01-29,2026-05-07
NHPC,pinn,14.974816401426859,0.22491674761324756,3.9782250217930075,-0.07914204041255968,1.532790133423059,-9.090100321791084,0.14869096708203403,3.6830226687330675e-05,124,1.6874254590074997,12,2026-01-29,2026-05-06
NTPC,pinn,14.974751222646347,0.11420714207810115,2.927857673248797,-0.0688696187509088,1.5831006363767701,-5.151903473863879,0.055351588449651046,1.7441526320153673e-05,105,1.3544072499935282,12,2025-12-09,2026-04-15
POWERGRID,pinn,14.974816336444333,0.12298792226248971,2.6160278474727634,-0.06316779888833268,1.3630612773427186,-3.1601586037896263,0.03400854919274664,1.3935173950014464e-05,119,1.7434268340002745,12,2025-12-15,2026-04-15
SJVN,pinn,14.974812034048236,0.347392028594519,4.46337677168593,-0.11425826413963358,1.3837509653505708,-9.517471545366245,0.15001105568587164,5.4155903903843626e-05,144,2.0006232500018086,12,2025-06-04,2025-07-18
TATAPOWER,pinn,14.974815517196289,0.15269283497349842,3.71522063169205,0.03987329491443292,1.7373188922126237,-9.229770273098602,0.08377526568995923,9.51567868659847e-06,143,2.234325750003336,12,2025-12-15,2026-04-13
TORNTPOWER,pinn,14.974723794284607,0.3209590063642853,3.11226582382007,-0.14117170043991023,1.0038238088578486,-0.0736536189320045,0.105695481373244,3.3508227989934235e-05,173,2.779706207991694,12,2025-11-04,2026-02-17
