symbol,engine,kappa,theta,sigma,rho,feller_ratio,feller_gap,v0_training_median,objective,optimizer_evaluations,joint_fit_seconds,training_surface_fits,training_last_date,test_first_date
ADANIENSOL,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,1.3058761572809066,-7.734857854515434,0.19477515398386686,5.947486780226159e-05,103,102.93429537500197,12,2026-01-29,2026-05-06
ADANIGREEN,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,1.2733551296396624,-9.581542630776974,0.23956242114425808,3.0331424422971396e-05,183,42.957330542005366,12,2026-01-28,2026-05-06
ADANIPOWER,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,1.4338521774491941,-4.735025823759735,0.5094047928052883,1.9761256008637232e-05,181,226.54350566699577,12,2026-06-24,2026-07-16
CESC,fourier,14.974816406144434,0.4132779670096582,4.58635660392697,0.0802087851717419,1.3036197820906932,-8.657143537036033,0.053695983082873516,3.10120251879931e-05,162,141.12594387499848,12,2025-06-03,2025-08-01
JSWENERGY,fourier,14.974816406144434,0.33353198766372516,4.243188567631893,-0.09651612917509389,1.3425418587955793,-8.015488658800562,0.12617331165174117,3.2353052760911064e-05,117,116.97966212499887,12,2026-01-29,2026-05-07
NHPC,fourier,14.97481640614445,0.22576184898229895,3.992177710056641,-0.07849703128401253,1.5352844022445349,-9.175998388629813,0.14809608135001723,3.74567406960537e-05,95,90.8486593330017,12,2026-01-29,2026-05-06
NTPC,fourier,14.97481640614445,0.11299626396728013,2.915425671341476,-0.06529238760207534,1.5847989697833416,-5.115510230136386,0.05602751836482192,1.7777893377016762e-05,79,141.13269912500982,12,2025-12-09,2026-04-15
POWERGRID,fourier,14.974816406144152,0.12369002853648564,2.631058996960251,-0.06043215608849395,1.366996776692372,-3.218000508276276,0.03345422316623953,1.406414932377709e-05,108,122.7127014590078,12,2025-12-15,2026-04-15
SJVN,fourier,14.97481640614445,0.34615672509639844,4.447951331203098,-0.11556717664739502,1.3814268369199318,-9.417004232609843,0.14933582513564064,5.428759689335801e-05,91,80.20057608299248,12,2025-06-04,2025-07-18
TATAPOWER,fourier,14.97481640614445,0.152209108366143,3.6872223724394333,0.04201183521652618,1.7269638955758009,-9.03700191756601,0.08479279180986532,9.53053455694264e-06,100,188.25181699999666,12,2025-12-15,2026-04-13
TORNTPOWER,fourier,14.974816406141953,0.3197603499162348,3.1351709451094183,-0.14301735681602912,1.0131019921319497,-0.25259178713963415,0.10519687680339149,3.3423632141179315e-05,131,90.46554770800867,12,2025-11-04,2026-02-17
