symbol,trade_date,engine,kappa,theta,sigma,rho,v0,calibration_iv_rmse,holdout_iv_rmse
ADANIENSOL,2024-12-05,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.2781264689960858,0.005905920475365663,0.009390354987319658
ADANIENSOL,2024-12-12,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.2755969302714374,0.04041885255044218,0.026571199020739594
ADANIENSOL,2024-12-17,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.21080985265791488,0.051875182750028434,0.04716403862760786
ADANIENSOL,2025-01-01,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.057486959820711586,0.0067806512023027305,0.00645576844572102
ADANIENSOL,2025-01-02,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.005009051952415148,0.00759657553298609,0.008713148848803701
ADANIENSOL,2025-01-14,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.2621225911498731,0.01841126735244944,0.008203427859288735
ADANIENSOL,2025-02-03,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.14123995011850007,0.015925565361361926,0.008541918099951536
ADANIENSOL,2025-02-05,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.21292656625520134,0.01178124542756757,0.011514378377291624
ADANIENSOL,2025-02-07,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.13253652249491862,0.015039552640492948,0.012941371739393673
ADANIENSOL,2025-02-25,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.15999151985834661,0.02901265347095726,0.03010574779429433
ADANIENSOL,2025-03-03,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.22390472252672575,0.011625998097786583,0.010716377175617213
ADANIENSOL,2025-03-13,fourier,14.97481640614445,0.3661670241085489,4.324514513160409,-0.14664767243586285,0.17874045530981886,0.02103428091697017,0.024471003568053096
ADANIGREEN,2024-11-29,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.44888354662746927,0.01638711203964594,0.020086675819455477
ADANIGREEN,2024-12-05,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.36476877554053866,0.007892599605384017,0.009275908725635456
ADANIGREEN,2024-12-12,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.3648082846566932,0.020562533092591314,0.020200082019155064
ADANIGREEN,2024-12-17,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.3333748447849565,0.0326959874814523,0.060723625171852466
ADANIGREEN,2024-12-26,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.03184889430644223,0.014545933199887146,0.012072674262314263
ADANIGREEN,2024-12-31,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.06434538809131524,0.009583127909021005,0.0040852541000009025
ADANIGREEN,2025-01-07,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.11156215098984662,0.00981565653482148,0.008996114491037894
ADANIGREEN,2025-01-16,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.34307782785270946,0.027798912043428565,0.029087652904070872
ADANIGREEN,2025-01-29,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.29875954647666725,0.002332978879439732,0.007942533228424014
ADANIGREEN,2025-02-10,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.16609459161380755,0.013034590949143996,0.014310466866818047
ADANIGREEN,2025-02-27,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.10550563286224772,0.00741830754761965,0.005819319216711663
ADANIGREEN,2025-03-10,fourier,7.72293855217481,0.9982247861392816,5.0,-0.06409210755945127,0.18036529581184887,0.0300116994819834,0.042234211311705315
ADANIPOWER,2026-04-06,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.4857484317859593,0.01850956893135174,0.01675111070161789
ADANIPOWER,2026-04-08,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.4568998493728912,0.024769424007171043,0.012092326087633509
ADANIPOWER,2026-04-21,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.48892982775295585,0.038901712394540114,0.02340571078270679
ADANIPOWER,2026-04-22,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.7149035872557002,0.012898808987319033,0.006892267349708643
ADANIPOWER,2026-04-23,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.7160722807607773,0.007532077086065492,0.015405131163298516
ADANIPOWER,2026-04-24,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.7536140806195495,0.005652970438313271,0.009717369916844557
ADANIPOWER,2026-04-27,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.6977591430670665,0.009261068287267908,0.008350095565469121
ADANIPOWER,2026-04-28,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.5834592064629207,0.010813198383404743,0.006007129832199159
ADANIPOWER,2026-04-29,fourier,14.974815576079004,0.14972519759468242,3.036320185010871,-0.054468622622123264,0.5298797578576208,0.010762596495393193,0.013571821486147438
