scope,split,fold,rows,iv_rmse,iv_mae,iv_bias,iv_r2,raw_price_rmse,raw_price_mae
all_symbols,test,calibration,3115,0.03046915835979797,0.016104390037302966,-0.0021051603152707804,0.8923857815749183,1.0180157588347325,0.44866339491616
all_symbols,test,holdout,1547,0.028111645708325115,0.015564141189260732,-0.0011745786539804398,0.9042257476135556,1.1090869136776875,0.4734209291767705
all_symbols,validation,calibration,3341,0.03225529598418222,0.019251406435510744,-0.0017871199077526825,0.9123445919313613,0.9270053869908267,0.5238121178451921
all_symbols,validation,holdout,1659,0.029783197574275177,0.018758613977671562,-0.0006473105438182082,0.9244340274373953,0.9583207876671961,0.5407125431492852
ADANIENSOL,test,calibration,145,0.04668883765187774,0.015646691801615764,-0.0081700958228399,0.640084370983963,1.1096727267977835,0.797933869753666
ADANIENSOL,test,holdout,73,0.02953471395730008,0.013615824563568048,-0.0037973798897461856,0.7955967634377179,1.358797144567301,0.9992488762951475
ADANIENSOL,validation,calibration,231,0.03307285079384763,0.014971063581401134,-0.006438343497081763,0.8458363959859685,0.8460446076296252,0.6564538171830147
ADANIENSOL,validation,holdout,115,0.028594405594603686,0.01398468565977263,-0.0059933734703342895,0.8883584816435367,0.8279585010772095,0.6551346083465187
ADANIGREEN,test,calibration,419,0.02084531301695711,0.009353999913122092,-0.0026194805578896164,0.8671706903575147,1.486073684086731,0.7759604881549386
ADANIGREEN,test,holdout,209,0.015461972256523987,0.00860987917134754,-0.0013953218957987435,0.9089645661421896,1.4829800113387726,0.7848728535301306
ADANIGREEN,validation,calibration,423,0.03943441287561657,0.022169934544331683,-0.008528649110092745,0.7583529789879029,1.3238665478696716,0.9984976487449942
ADANIGREEN,validation,holdout,208,0.03792054273632917,0.022011931110996082,-0.00846978637603779,0.764893067142836,1.2730633802165559,0.9963204576669557
ADANIPOWER,test,calibration,99,0.044238375088314776,0.03097453921552538,0.011262566109747577,0.6449444741389772,0.7934702488424789,0.4769895217378878
ADANIPOWER,test,holdout,51,0.04071991115360315,0.02886815209749557,0.011713701592385104,0.6215295285406315,0.7698115183823667,0.47465294975425815
ADANIPOWER,validation,calibration,77,0.009165062898086008,0.007518541090892367,-6.842845150667465e-05,0.8668132142709507,0.1499212331185942,0.12168730058165621
ADANIPOWER,validation,holdout,38,0.00862407313250638,0.006877038311110628,-0.0017290756345339673,0.8819745231984797,0.13570969098351912,0.11262923516997851
CESC,test,calibration,92,0.04058073242835639,0.03256741872741817,0.025361009945275504,-0.2724563976193828,0.5187682909739041,0.366343751007477
CESC,test,holdout,45,0.04179139076678627,0.03386469457847017,0.027713006716281234,-0.42117929166037116,0.5445118499643257,0.39200069117625497
