symbol,trade_date,expiry_date,maturity,log_forward_moneyness,strike,heston_price_adjusted,heston_iv,value_origin
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.25,1293.8141446209602,1.5188764947442905,0.5327551297506081,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.2375,1310.0883231416622,1.8667510227476214,0.5270197671314785,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.225,1326.5672056282506,2.2915942294798697,0.5212497549817567,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.2125,1343.25336693964,2.8096437617612082,0.5154497367997108,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.2,1360.1494143224843,3.440324864755212,0.5096256740087373,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.1875,1377.257987818562,4.206800678021182,0.5037851555654524,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.175,1394.5817606772894,5.136590926832696,0.4979377760272158,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.16249999999999998,1412.1234397734213,6.262256141343414,0.49209559328575525,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.15,1429.8857660300052,7.622137552344384,0.4862736759160846,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.1375,1447.8715148466565,9.261131933867318,0.480490746089018,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.125,1466.08349653322,11.231464288113784,0.47476991539060476,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.11249999999999999,1484.5245567488869,13.593397485801916,0.46913949507437736,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.09999999999999998,1503.1975769468347,16.415784917476458,0.46363383592331775,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.0875,1522.1054748244594,19.776328979706705,0.4582941125411648,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.07499999999999998,1541.251204779273,23.761356785290445,0.4531689104408242,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.0625,1560.6377583705334,28.464872934511277,0.4483144043283801,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.04999999999999999,1580.2681647866816,33.98661609419878,0.44379384516899767,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.03749999999999998,1600.145491318658,40.42886417416207,0.4396760313139212,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.024999999999999994,1620.2728438391744,47.891846588446924,0.43603247429228464,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,-0.012499999999999983,1640.6533672880114,56.467871571006526,0.4329331415677844,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.0,1661.2902461634221,66.23466160197825,0.4304410004188971,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.012500000000000011,1682.1867050197175,56.5138310422941,0.4286060518153354,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.025000000000000022,1703.3460089711073,47.80989271542887,0.4274599624141616,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.03750000000000003,1724.7714642018834,40.1210069819748,0.4270125303910598,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.050000000000000044,1746.4664184830158,33.41701678172325,0.42725088586896864,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.0625,1768.4342616952495,27.64317861081571,0.42814160060259776,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.07500000000000001,1790.6784263587808,22.72613050762635,0.42963508479619594,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.08750000000000002,1813.2023881695943,18.580812989737353,0.43167114594679834,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.10000000000000003,1836.009666542548,15.1171158639456,0.4341845411248658,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.11250000000000004,1859.1038251612897,12.24540640738249,0.4371096720520732,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.125,1882.488472535089,9.880567848997003,0.4403840198582467,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.1375,1906.1672625626743,7.9445600799508895,0.44395029628697824,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.15000000000000002,1930.1438951031625,6.367737677024095,0.44775751534129415,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.16250000000000003,1954.422116554169,5.089240261908998,0.45176127282507006,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.17500000000000004,1979.0057204371897,4.0567581597654225,0.4559235107980747,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
ADANIENSOL,2026-07-08,2026-07-28,0.0547945205479452,0.1875,2003.898547990347,3.2259213491959855,0.4602119898654031,HESTON_MODEL_GENERATED_NOT_MARKET_DATA
