window,bucket,model,quotes,dates,equal_date_NRMSE,RMSE_index_points,IV_RMSE_vol_points,joint_IV_quotes,invalid_IV_quotes
covid_march_2020,all,BS,636,21,0.007252608674592858,59.64165405838183,9.084566241035404,617,0
covid_march_2020,all,SH,636,21,0.0057869957201022474,48.093905736666514,13.460075028626598,617,19
covid_march_2020,all,DH_PINN,636,21,0.010596018472896896,82.85622696788717,15.22131465100529,617,2
covid_march_2020,all,DH_EXACT_AT_PINN_FIT,636,21,0.01060426825727701,82.91325601905396,15.23350625231476,617,2
covid_march_2020,7-30d,BS,342,14,0.0032002207807893153,30.15049147940997,8.641741113711332,323,0
covid_march_2020,7-30d,SH,342,14,0.004518925764355174,41.84966665102534,17.169941662070073,323,19
covid_march_2020,7-30d,DH_PINN,342,14,0.006195957893952212,57.737257552393764,17.90165734174752,323,2
covid_march_2020,7-30d,DH_EXACT_AT_PINN_FIT,342,14,0.006197502498287095,57.7546589820871,17.91703063844312,323,2
covid_march_2020,30-90d,BS,278,21,0.008030182694393095,76.34232817370153,9.56976448911593,278,0
covid_march_2020,30-90d,SH,278,21,0.005921333206182084,53.273803159905064,7.6314509904342565,278,0
covid_march_2020,30-90d,DH_PINN,278,21,0.011377782011127784,103.32387876508088,11.723530437232982,278,0
covid_march_2020,30-90d,DH_EXACT_AT_PINN_FIT,278,21,0.011386499842894368,103.4077248791397,11.731061926870046,278,0
covid_march_2020,90-100d,BS,16,5,0.01699342810634209,143.8773086805813,9.150533916532753,16,0
covid_march_2020,90-100d,SH,16,5,0.008686452617604415,72.07413354967092,4.815609266205518,16,0
covid_march_2020,90-100d,DH_PINN,16,5,0.015682757932712975,127.05093053538916,8.773238574694918,16,0
covid_march_2020,90-100d,DH_EXACT_AT_PINN_FIT,16,5,0.015696998830432157,127.1754406335309,8.780784128907582,16,0
iran_june_2025,all,BS,1643,21,0.0008288969203317645,20.909654883495005,3.9971903324398936,1623,11
iran_june_2025,all,SH,1643,21,0.00020481495680692722,5.159279004974448,2.0674711991575285,1623,0
iran_june_2025,all,DH_PINN,1643,21,0.0006022257142861425,15.186604757387544,3.3118833418387306,1623,8
iran_june_2025,all,DH_EXACT_AT_PINN_FIT,1643,21,0.0006000713816723021,15.136055085826293,3.3386146566854196,1623,6
iran_june_2025,7-30d,BS,920,21,0.0005059752680228359,12.659143929855293,4.932334988815264,900,11
iran_june_2025,7-30d,SH,920,21,0.00017804575137334128,4.421460498873427,2.7047543386151265,900,0
iran_june_2025,7-30d,DH_PINN,920,21,0.0005662173754873959,13.459683744162932,4.325887100462585,900,8
iran_june_2025,7-30d,DH_EXACT_AT_PINN_FIT,920,21,0.0005675421172094854,13.491539403864314,4.363473989416497,900,6
iran_june_2025,30-90d,BS,694,21,0.001094043738102694,27.467024026988234,2.0283387069308585,694,0
iran_june_2025,30-90d,SH,694,21,0.0002051999027621073,5.234701644387684,0.41833311156277647,694,0
iran_june_2025,30-90d,DH_PINN,694,21,0.0006526523064054565,16.930775942666692,0.9334976686599198,694,0
iran_june_2025,30-90d,DH_EXACT_AT_PINN_FIT,694,21,0.0006468373502331769,16.794747949308373,0.9340812134629889,694,0
iran_june_2025,90-100d,BS,29,8,0.0016420926535766335,40.39839645206294,6.3820083896250255,29,0
iran_june_2025,90-100d,SH,29,8,0.0006118058356090765,15.235179821520926,2.827410668604712,29,0
iran_june_2025,90-100d,DH_PINN,29,8,0.0008673169820133701,21.434749101231702,3.500038743540272,29,0
iran_june_2025,90-100d,DH_EXACT_AT_PINN_FIT,29,8,0.0008632879623286521,21.334409925641395,3.4695097417048286,29,0
iran_march_2026,all,BS,1624,19,0.0019451976727674748,44.07951233312258,3.7746679140335457,1615,0
iran_march_2026,all,SH,1624,19,0.0009169694999126661,20.68410091179887,4.052185690430198,1615,7
iran_march_2026,all,DH_PINN,1624,19,0.0014960048666180863,34.25952667595291,4.198828669121818,1615,4
iran_march_2026,all,DH_EXACT_AT_PINN_FIT,1624,19,0.0014944448271070206,34.216461872754486,4.193608335520177,1615,4
iran_march_2026,7-30d,BS,819,18,0.001404015847957031,32.936398017882915,4.874523298081167,810,0
iran_march_2026,7-30d,SH,819,18,0.0008359755767649623,19.157638795896215,5.409625806346819,810,7
iran_march_2026,7-30d,DH_PINN,819,18,0.0012992179821491533,30.670632114961546,5.7113762796956475,810,4
iran_march_2026,7-30d,DH_EXACT_AT_PINN_FIT,819,18,0.0012990576883454138,30.65796627287834,5.701111868567715,810,4
iran_march_2026,30-90d,BS,785,19,0.0022697232298910493,52.352478381895814,2.1001226036913505,785,0
iran_march_2026,30-90d,SH,785,19,0.0009730955469848222,22.058248858741443,1.845170897227542,785,0
iran_march_2026,30-90d,DH_PINN,785,19,0.0016197211721816125,37.2070378746071,1.564157068968996,785,0
iran_march_2026,30-90d,DH_EXACT_AT_PINN_FIT,785,19,0.0016169004313406328,37.145315884157,1.5737092636411054,785,0
iran_march_2026,90-100d,BS,20,5,0.003400294837933669,75.98266185259057,3.88628633182762,20,0
iran_march_2026,90-100d,SH,20,5,0.0011124065798585592,24.758081308516932,2.665530358362653,20,0
iran_march_2026,90-100d,DH_PINN,20,5,0.002213805692618308,49.4796669055633,2.550367476808239,20,0
iran_march_2026,90-100d,DH_EXACT_AT_PINN_FIT,20,5,0.002201417872540197,49.20081865051916,2.556251138582482,20,0
