regime,design,maturity,BS_EXPIRY,DH,SH,quotes
calm,A,<=7d,9.48,5.29,5.43,62
calm,A,7-30d,7.08,2.4,2.84,217
calm,A,30-90d,7.55,2.34,2.22,129
calm,A,>90d,3.4,1.9,2.23,102
calm,B,7-30d,9.88,6.07,5.21,208
calm,B,30-90d,7.32,2.81,2.69,63
shock,A,<=7d,27.53,24.47,24.96,136
shock,A,7-30d,11.21,5.81,5.8,279
shock,A,30-90d,11.39,4.41,4.76,258
shock,A,>90d,6.85,3.74,3.79,126
shock,B,7-30d,12.12,6.39,6.71,305
shock,B,30-90d,10.56,5.31,6.05,82
