step,component,weight,raw_loss,scaled_loss,raw_grad_l2,scaled_grad_l2,scaled_grad_max,scaled_grad_mean
0,teacher,1.0,1.8200117434373683e-10,0.455002935859342,3.5128048891589436e-09,8.782012222897357,3.794547492074808,0.03411843672046442
0,iv,1.0,5.25083065221908e-06,1.31270766305477,2.4527819871170536e-06,0.6131954967792634,0.18634021299072626,0.0023090101801038257
0,pde,1.0,0.0004342474925333313,0.4342474925333313,0.01640716646336773,16.40716646336773,4.837620262167185,0.07625816778704635
0,convexity,1.0,7.877416317919288e-07,7.877416317919289e-08,4.4524581069804683e-07,4.4524581069804685e-08,1.1480494796142608e-08,1.7504119511655662e-10
100,teacher,1.0,2.0265347103866714e-10,0.5066336775966678,1.2152347138788732e-08,30.380867846971825,12.66750276879325,0.11528495575241654
100,iv,1.0,2.8249718294012892e-05,7.062429573503223,7.887113271147146e-06,1.9717783177867865,0.718295580154635,0.007474999718407621
100,pde,1.0,0.002013234759583582,2.013234759583582,0.004551478832672432,4.551478832672432,1.0812590896862617,0.019160037644530115
100,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,teacher,1.0,1.7471089043031594e-10,0.4367772260757898,1.4925591416252312e-08,37.31397854063077,16.884311859050378,0.13111840384273687
200,iv,1.0,1.5155572220869297e-06,0.37888930552173244,1.0798007766250975e-06,0.26995019415627436,0.08326233389082559,0.0010199371957789645
200,pde,1.0,0.0006089592831620526,0.6089592831620526,0.0031815413335581346,3.1815413335581346,0.9731538484894399,0.014955453293454124
200,convexity,1.0,4.627803160690024e-07,4.627803160690024e-08,4.284693296033253e-07,4.284693296033253e-08,1.515827672811384e-08,1.6621270794051033e-10
300,teacher,1.0,1.7505189162998336e-10,0.4376297290749583,1.4997589239012377e-08,37.49397309753093,16.877178277954286,0.13276550555939443
300,iv,1.0,2.0973473865033772e-06,0.5243368466258443,2.9218458744065405e-06,0.7304614686016352,0.30274842161472226,0.002519369050247589
300,pde,1.0,0.0005711603534454622,0.5711603534454621,0.0033467578856246146,3.3467578856246147,0.853628834979211,0.014185286373112034
300,convexity,1.0,1.8319298979126028e-07,1.831929897912603e-08,2.8976024462492355e-07,2.8976024462492356e-08,7.945655257001132e-09,1.1589969609819586e-10
400,teacher,1.0,1.8589031046439248e-10,0.4647257761609811,7.884152664084625e-09,19.71038166021156,8.773759016568377,0.06922154456631373
400,iv,1.0,2.8789132076579106e-06,0.7197283019144777,1.199042463314221e-06,0.29976061582855523,0.09026598642962289,0.0011221022461680133
400,pde,1.0,0.0002562707063392043,0.2562707063392043,0.010175847107957638,10.175847107957638,3.8920676083156085,0.044925081205927545
400,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
500,teacher,1.0,1.85913370886527e-10,0.4647834272163174,5.482339856049927e-09,13.705849640124814,3.4698179646101126,0.05240062591035927
500,iv,1.0,3.087343920251152e-06,0.7718359800627881,6.458971238343083e-07,0.16147428095857708,0.04493658369637338,0.0007373302889179872
500,pde,1.0,0.004384838689774816,4.384838689774815,0.00546526470370789,5.46526470370789,1.4310792558147605,0.024359674503359224
500,convexity,1.0,1.479037581927918e-08,1.4790375819279182e-09,6.268658514846854e-08,6.268658514846855e-09,1.5513106000031442e-09,2.4851937268774743e-11
600,teacher,1.0,1.7904898528451947e-10,0.44762246321129856,1.3927908230499995e-08,34.81977057624998,15.59388233933071,0.119118587340379
600,iv,1.0,7.300608987345514e-07,0.18251522468363784,9.623992814400331e-07,0.2405998203600083,0.08484462350796074,0.0008552795072883447
600,pde,1.0,0.0020832002303965715,2.0832002303965713,0.024289624585309057,24.289624585309056,7.645552641383363,0.10667016884396183
600,convexity,1.0,3.6431191708593177e-06,3.643119170859318e-07,1.3452428938544914e-06,1.3452428938544916e-07,4.4076080742047656e-08,5.271081349276474e-10
700,teacher,1.0,1.7590562623377588e-10,0.43976406558443965,3.3508274209884546e-09,8.377068552471135,3.271290207362803,0.03192580836956875
700,iv,1.0,6.165833793385108e-06,1.541458448346277,3.863981793275964e-06,0.965995448318991,0.3536497508428145,0.003690946795542708
700,pde,1.0,0.0010368567326398677,1.0368567326398677,0.00495331233641401,4.95331233641401,1.7365645202130964,0.02279011261543637
700,convexity,1.0,3.8518397997864194e-06,3.8518397997864196e-07,7.828741402739585e-07,7.828741402739585e-08,2.5927150216662365e-08,3.0552374637349337e-10
800,teacher,1.0,1.684906344644743e-10,0.42122658616118563,5.780638336112154e-09,14.451595840280381,6.280873980351234,0.05268359899992923
800,iv,1.0,1.769600816467119e-05,4.424002041167798,7.2323252050859095e-06,1.8080813012714774,0.6470068516771679,0.006670684954485416
800,pde,1.0,0.000987467731766985,0.987467731766985,0.012459790832172402,12.459790832172402,4.27173014046235,0.05738567761208881
800,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
900,teacher,1.0,1.3796159577873697e-10,0.34490398944684236,1.0747619276190075e-08,26.869048190475183,11.265588962783188,0.09942351024986015
900,iv,1.0,3.880526988931626e-06,0.9701317472329064,4.484875413910486e-06,1.1212188534776215,0.4116084585129266,0.003888451525869383
900,pde,1.0,0.00045094286357046917,0.45094286357046914,0.011538096264452397,11.538096264452397,4.1310454463279145,0.04938504755273507
900,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,teacher,1.0,1.5117606102968656e-10,0.3779401525742163,6.42573298998759e-09,16.06433247496897,6.604100158717544,0.061057185187416624
1000,iv,1.0,2.8337573579666802e-06,0.70843933949167,2.7444303458938254e-06,0.6861075864734564,0.25386809098638524,0.0024665949293067456
1000,pde,1.0,0.0010018757779926592,1.0018757779926593,0.01699111438068385,16.99111438068385,5.284524711384495,0.07777930110357181
1000,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,teacher,1.0,2.0659985365855023e-10,0.5164996341463755,1.4164304155317323e-09,3.54107603882933,0.8526665726229318,0.01634784875816344
1100,iv,1.0,1.85660842439249e-05,4.641521060981225,6.987560789733833e-06,1.746890197433458,0.6319637365939221,0.0065550614009101385
1100,pde,1.0,0.0008205157276391502,0.8205157276391501,0.0019010790917962576,1.9010790917962577,0.6878861093576435,0.008576738730722448
1100,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,teacher,1.0,2.173099977364397e-10,0.5432749943410992,8.085070096146685e-09,20.21267524036671,8.379007996567793,0.07751630595097465
1200,iv,1.0,9.660377309494452e-07,0.24150943273736128,4.858554052093104e-07,0.1214638513023276,0.03794394285790799,0.0005219063141718852
1200,pde,1.0,0.0009242811985246235,0.9242811985246235,0.010178453893789094,10.178453893789094,2.805095530958601,0.04570015897173925
1200,convexity,1.0,1.3841106786138981e-06,1.3841106786138982e-07,3.607504386645593e-07,3.607504386645593e-08,1.1302373812122205e-08,1.4266080094744629e-10
1300,teacher,1.0,2.039783244322583e-10,0.5099458110806456,4.2886530410561425e-09,10.721632602640353,3.9684641037956085,0.04180043513142254
1300,iv,1.0,9.61024260023148e-07,0.240256065005787,2.7501783444870306e-06,0.6875445861217576,0.2617207639826645,0.002504799973663465
1300,pde,1.0,0.0005960065829547095,0.5960065829547095,0.01715158064634592,17.15158064634592,5.59138688227545,0.07802385356418075
1300,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,teacher,1.0,1.7131840386624895e-10,0.42829600966562226,5.429934695257796e-09,13.574836738144489,5.4971170195514825,0.05231274206624522
1400,iv,1.0,1.8271103939710082e-06,0.45677759849275207,1.4454719928434341e-06,0.3613679982108585,0.13489769247415836,0.0012899261753235654
1400,pde,1.0,0.00030654373871748773,0.30654373871748775,0.0011704583357086368,1.1704583357086367,0.3675222191687233,0.004834406712356383
1400,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,teacher,1.0,1.4285538046654972e-10,0.3571384511663742,6.291777885499962e-09,15.729444713749903,7.027737069703714,0.0552135408254954
1500,iv,1.0,7.786991245866704e-07,0.1946747811466676,8.416493750790305e-07,0.21041234376975762,0.05860897529371595,0.0008946206678646151
1500,pde,1.0,0.0004684061821525338,0.4684061821525338,0.005468384403804888,5.468384403804888,1.822207289402585,0.024714055525284502
1500,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,teacher,1.0,1.6677147050834353e-10,0.4169286762708587,3.341414270816245e-09,8.353535677040611,3.366017508008458,0.032078477428759675
1600,iv,1.0,2.5156445813509198e-05,6.289111453377299,9.069304288897692e-06,2.267326072224423,0.755467788090675,0.008722629440287077
1600,pde,1.0,0.0008031578616423033,0.8031578616423033,0.0036508626463674734,3.6508626463674734,0.7632682770914381,0.01424181378112157
1600,convexity,1.0,1.2706401645919483e-08,1.2706401645919484e-09,1.908036248549017e-08,1.9080362485490173e-09,4.392037484917544e-10,7.135388214469799e-12
1700,teacher,1.0,1.5725317558448047e-10,0.3931329389612011,3.608306799738161e-09,9.020766999345401,3.881279819555658,0.03315138497777482
1700,iv,1.0,1.5837470085129695e-06,0.39593675212824236,1.2966187897315778e-06,0.32415469743289443,0.07407838999592618,0.0012275761298704035
1700,pde,1.0,0.00034893054724147735,0.3489305472414774,0.010987496164201176,10.987496164201175,2.704013663705318,0.050819107167561516
1700,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,teacher,1.0,2.0482694496618906e-10,0.5120673624154726,7.584033611761014e-09,18.96008402940253,4.937507078513677,0.07384056185136294
1800,iv,1.0,1.609950497956144e-06,0.402487624489036,1.2672241998188358e-06,0.31680604995470896,0.1066159210820832,0.0011984008018531358
1800,pde,1.0,0.0011208664296646226,1.1208664296646225,0.00896655536105025,8.96655536105025,3.1273438125820467,0.04077349912733267
1800,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,teacher,1.0,1.5100556166078418e-10,0.3775139041519604,2.9797153449082127e-09,7.44928836227053,2.104454358837711,0.030634631245940416
1900,iv,1.0,1.2323892780057583e-06,0.30809731950143954,7.731748325067305e-07,0.19329370812668262,0.04512800022976826,0.0007567091691127946
1900,pde,1.0,0.0005742028569246352,0.5742028569246352,0.0055228604676813365,5.522860467681337,1.2559545784358241,0.023312616150686503
1900,convexity,1.0,0.0,0.0,0.0,0.0,0.0,0.0
