model,prediction_column,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse,rmse_improvement_vs_flat
heston_same_day_v0,heston_same_day_iv,4709,0.030028266273159063,0.016281930175787163,-0.001778881193226442,0.9034096867045973,0.6178738345289928,0.02291136111502471,0.015144884616092584,0.010548555731814513
flat_anchor_iv,flat_anchor_iv,4709,0.040576822004973576,0.021449884386469182,-0.011278647411422735,0.823628211889317,-0.008918854611737803,0.0313776622248058,0.02455063896084113,0.0
quadratic_anchor_smile,quadratic_anchor_iv,4709,0.014712035135138718,0.005909881064165987,0.0004338576283956628,0.9768143879413543,0.8623303554420398,0.009349921644976925,0.005841682552612428,0.025864786869834858
heston_training_median_v0,heston_training_median_iv,4709,0.06747296283663111,0.051615364254970986,0.027390437764778886,0.5123226107930319,0.5972453589560677,0.05533643663633325,0.044810933883419155,-0.026896140831657533
heston_prior_available_v0,heston_prior_state_iv,4512,0.042245000447199026,0.027346225750692572,-0.002781679969390325,0.8056142460599588,0.5996502238619796,0.03406209810554914,0.024332302179867104,-0.00166817844222545
heston_shuffled_v0,heston_shuffled_state_iv,4703,0.06899075071721554,0.052214026050764514,-0.007102859944909311,0.4891410923642464,0.359333363613211,0.05716990556032184,0.04704134559461253,-0.028413928712241965
heston_train_half_a,heston_half_a_iv,4709,0.03093244903072024,0.01725029117059013,-0.0007879868156739669,0.897505238279765,0.625542627120045,0.02404588187856458,0.015759090238473494,0.009644372974253336
heston_train_half_b,heston_half_b_iv,4708,0.04131626702705904,0.023067407782447775,0.0045600530967988395,0.8170456633363056,0.6241933556339477,0.029016139003467237,0.016778439519930216,-0.0007394450220854637
